cellnumber     x-coordinate     y-coordinate           y-plus skin-friction-coef       wall-shear     y-wall-shear     x-wall-shear pressure-coefficient         pressure 
         1  4.910858274E-01 -8.355098218E-02  2.436759934E-01  2.599119202E-03  1.840704341E+01 -5.140583220E+00  1.767466128E+01  2.890636532E-01  2.047157825E+03 
         2  5.027721524E-01 -8.695323020E-02  2.444178898E-01  2.614978624E-03  1.851936033E+01 -5.181309485E+00  1.777978456E+01  2.811860742E-01  1.991368565E+03 
         3  5.144501328E-01 -9.036019444E-02  2.451626501E-01  2.630962607E-03  1.863255940E+01 -5.223762275E+00  1.788531737E+01  2.733959743E-01  1.936198834E+03 
         4  5.261126161E-01 -9.377070516E-02  2.459174373E-01  2.647172742E-03  1.874736008E+01 -5.268071505E+00  1.799196856E+01  2.656734745E-01  1.881507849E+03 
         5  5.377523899E-01 -9.718352556E-02  2.466993000E-01  2.664029807E-03  1.886674234E+01 -5.315004664E+00  1.810261561E+01  2.580051187E-01  1.827200313E+03 
         6  5.493624806E-01 -1.005973220E-01  2.475093217E-01  2.681536483E-03  1.899072517E+01 -5.364501808E+00  1.821729296E+01  2.503631663E-01  1.773079767E+03 
         7  5.609356761E-01 -1.040106937E-01  2.483522971E-01  2.699880914E-03  1.912064100E+01 -5.416875050E+00  1.833729470E+01  2.427313121E-01  1.719030737E+03 
         8  5.724650025E-01 -1.074221507E-01  2.491663429E-01  2.717600736E-03  1.924613334E+01 -5.469121002E+00  1.845270614E+01  2.351223135E-01  1.665143571E+03 
         9  5.839434862E-01 -1.108301133E-01  2.500013594E-01  2.735792381E-03  1.937496714E+01 -5.523364742E+00  1.857099334E+01  2.274861364E-01  1.611063927E+03 
        10  5.953640342E-01 -1.142329425E-01  2.509266697E-01  2.756118515E-03  1.951891745E+01 -5.582906138E+00  1.870345683E+01  2.198686564E-01  1.557116696E+03 
        11  6.067198515E-01 -1.176289096E-01  2.518012161E-01  2.775313168E-03  1.965485459E+01 -5.641074547E+00  1.882794696E+01  2.122305624E-01  1.503023475E+03 
        12  6.180039048E-01 -1.210162193E-01  2.527442058E-01  2.796040680E-03  1.980164747E+01 -5.703204292E+00  1.896256057E+01  2.045459735E-01  1.448600977E+03 
        13  6.292094588E-01 -1.243929863E-01  2.537120902E-01  2.817628372E-03  1.995453218E+01 -5.767875545E+00  1.910274761E+01  1.968470709E-01  1.394077108E+03 
        14  6.403296590E-01 -1.277572811E-01  2.546098612E-01  2.837687609E-03  2.009659232E+01 -5.830124495E+00  1.923233401E+01  1.890989675E-01  1.339204797E+03 
        15  6.513578296E-01 -1.311070770E-01  2.556514853E-01  2.860888625E-03  2.026090265E+01 -5.899472340E+00  1.938299260E+01  1.812972994E-01  1.283953140E+03 
        16  6.622872949E-01 -1.344403327E-01  2.566789866E-01  2.883859157E-03  2.042358067E+01 -5.968937075E+00  1.953188259E+01  1.734620731E-01  1.228463822E+03 
        17  6.731114388E-01 -1.377549022E-01  2.577070345E-01  2.907025909E-03  2.058764833E+01 -6.039326889E+00  1.968191542E+01  1.655789245E-01  1.172635118E+03 
        18  6.838237047E-01 -1.410486102E-01  2.588097103E-01  2.932113622E-03  2.076532030E+01 -6.114170843E+00  1.984478375E+01  1.576529226E-01  1.116502924E+03 
        19  6.944177151E-01 -1.443192214E-01  2.598264599E-01  2.955156245E-03  2.092850888E+01 -6.185141636E+00  1.999366167E+01  1.496728330E-01  1.059987681E+03 
        20  7.048870325E-01 -1.475644708E-01  2.610368361E-01  2.982749754E-03  2.112392697E+01 -6.265979297E+00  2.017319494E+01  1.416401355E-01  1.003099866E+03 
        21  7.152252793E-01 -1.507820636E-01  2.621468226E-01  3.008205628E-03  2.130420626E+01 -6.342618628E+00  2.033815118E+01  1.335788545E-01  9.460096221E+02 
        22  7.254263759E-01 -1.539696306E-01  2.633392600E-01  3.035466089E-03  2.149726570E+01 -6.423286207E+00  2.051520965E+01  1.254634040E-01  8.885357477E+02 
        23  7.354840636E-01 -1.571248025E-01  2.645116727E-01  3.062423995E-03  2.168818243E+01 -6.503483716E+00  2.069014154E+01  1.173162922E-01  8.308376478E+02 
        24  7.453922629E-01 -1.602452099E-01  2.656707646E-01  3.089383254E-03  2.187910875E+01 -6.583789427E+00  2.086502136E+01  1.091282426E-01  7.728496244E+02 
        25  7.551451325E-01 -1.633284241E-01  2.669001764E-01  3.118096624E-03  2.208245773E+01 -6.667890681E+00  2.105170238E+01  1.009148943E-01  7.146824354E+02 
        26  7.647366524E-01 -1.663720459E-01  2.681173307E-01  3.146697489E-03  2.228500995E+01 -6.751762760E+00  2.123759328E+01  9.268757604E-02  6.564163100E+02 
        27  7.741611600E-01 -1.693736315E-01  2.693707132E-01  3.176326923E-03  2.249484653E+01 -6.837802940E+00  2.143041230E+01  8.445580001E-02  5.981186149E+02 
        28  7.834128737E-01 -1.723307371E-01  2.706155616E-01  3.205729283E-03  2.270307496E+01 -6.923267550E+00  2.162170158E+01  7.623270182E-02  5.398823766E+02 
