cellnumber     x-coordinate     y-coordinate           y-plus skin-friction-coef       wall-shear     y-wall-shear     x-wall-shear pressure-coefficient         pressure 
         1  5.067754984E-01 -9.284238331E-03  2.645217571E-01  3.131050534E-03  1.629124731E+01  2.217978064E+00  1.613955737E+01 -3.515108980E-01 -1.828955141E+03 
         2  5.189594626E-01 -7.593585644E-03  2.626118258E-01  3.085981313E-03  1.605674652E+01  2.227766408E+00  1.590145168E+01 -3.402594910E-01 -1.770412664E+03 
         3  5.311300755E-01 -5.872804672E-03  2.607189979E-01  3.041651174E-03  1.582609127E+01  2.235418563E+00  1.566742061E+01 -3.291394423E-01 -1.712553661E+03 
         4  5.432801843E-01 -4.124102648E-03  2.588450293E-01  2.998078656E-03  1.559937801E+01  2.241112000E+00  1.543755198E+01 -3.181495855E-01 -1.655372062E+03 
         5  5.554025173E-01 -2.349680988E-03  2.570007967E-01  2.955510951E-03  1.537789292E+01  2.245191381E+00  1.521310968E+01 -3.072847736E-01 -1.598841088E+03 
         6  5.674898624E-01 -5.517328391E-04  2.551696979E-01  2.913558129E-03  1.515960714E+01  2.247514139E+00  1.499207687E+01 -2.965411271E-01 -1.542940552E+03 
         7  5.795350075E-01  1.267560176E-03  2.533428892E-01  2.871994585E-03  1.494334683E+01  2.248040847E+00  1.477328422E+01 -2.859115882E-01 -1.487633732E+03 
         8  5.915308595E-01  3.106030170E-03  2.515288201E-01  2.830994421E-03  1.473001785E+01  2.247032799E+00  1.455761894E+01 -2.753831724E-01 -1.432853069E+03 
         9  6.034701467E-01  4.961525090E-03  2.497435636E-01  2.790952972E-03  1.452167718E+01  2.244930441E+00  1.434710408E+01 -2.649676674E-01 -1.378659895E+03 
        10  6.153457761E-01  6.831910461E-03  2.479685823E-01  2.751428601E-03  1.431602694E+01  2.241502448E+00  1.413945876E+01 -2.546650692E-01 -1.325054188E+03 
        11  6.271507144E-01  8.715070784E-03  2.461887526E-01  2.712068368E-03  1.411123073E+01  2.236565925E+00  1.393286064E+01 -2.444684201E-01 -1.271999748E+03 
        12  6.388778687E-01  1.060891058E-02  2.444137478E-01  2.673110831E-03  1.390852979E+01  2.230411803E+00  1.372852739E+01 -2.343750749E-01 -1.219482812E+03 
        13  6.505202651E-01  1.251135487E-02  2.426472844E-01  2.634607315E-03  1.370819119E+01  2.223176842E+00  1.352671395E+01 -2.243636871E-01 -1.167392310E+03 
        14  6.620709896E-01  1.442035194E-02  2.408891052E-01  2.596560446E-03  1.351022857E+01  2.214952427E+00  1.332742518E+01 -2.144316669E-01 -1.115714767E+03 
        15  6.735230684E-01  1.633386873E-02  2.391160365E-01  2.558481867E-03  1.331210096E+01  2.205401383E+00  1.312814674E+01 -2.045675103E-01 -1.064390327E+03 
        16  6.848697662E-01  1.824989729E-02  2.373450677E-01  2.520717954E-03  1.311561060E+01  2.194890862E+00  1.293064947E+01 -1.947744986E-01 -1.013436063E+03 
        17  6.961042285E-01  2.016644739E-02  2.355858245E-01  2.483494275E-03  1.292193115E+01  2.183688996E+00  1.273608287E+01 -1.850493794E-01 -9.628350524E+02 
        18  7.072197199E-01  2.208155207E-02  2.337982293E-01  2.445967176E-03  1.272667296E+01  2.171117439E+00  1.254011379E+01 -1.753912917E-01 -9.125828145E+02 
        19  7.182097435E-01  2.399326116E-02  2.319928823E-01  2.408330877E-03  1.253084659E+01  2.157394983E+00  1.234373377E+01 -1.657780107E-01 -8.625637119E+02 
        20  7.290675640E-01  2.589965053E-02  2.301903077E-01  2.371039499E-03  1.233681490E+01  2.142977555E+00  1.214926537E+01 -1.562046615E-01 -8.127523794E+02 
        21  7.397868633E-01  2.779880911E-02  2.283662780E-01  2.333615543E-03  1.214209337E+01  2.127481865E+00  1.195425666E+01 -1.466651036E-01 -7.631168670E+02 
        22  7.503610849E-01  2.968884632E-02  2.265212029E-01  2.296051757E-03  1.194664430E+01  2.110938070E+00  1.175866704E+01 -1.371476928E-01 -7.135965891E+02 
        23  7.607839704E-01  3.156788647E-02  2.246404564E-01  2.258063197E-03  1.174898507E+01  2.093114867E+00  1.156103457E+01 -1.276439183E-01 -6.641472625E+02 
