cellnumber     x-coordinate     y-coordinate           y-plus skin-friction-coef       wall-shear     y-wall-shear     x-wall-shear pressure-coefficient         pressure 
         1  4.881886542E-01 -9.180073440E-02  2.248152175E-01  2.212340342E-03  1.566786344E+01 -4.209242779E+00  1.509185939E+01  4.387831040E-01  3.107475654E+03 
         2  4.998978674E-01 -9.506707639E-02  2.255321324E-01  2.226480091E-03  1.576800158E+01 -4.237472369E+00  1.518794594E+01  4.318524604E-01  3.058392620E+03 
         3  5.116012096E-01 -9.833347052E-02  2.262231163E-01  2.240138193E-03  1.586472869E+01 -4.266221062E+00  1.528034601E+01  4.250710114E-01  3.010366186E+03 
         4  5.232914090E-01 -1.015990302E-01  2.269001315E-01  2.253567250E-03  1.595983369E+01 -4.295898475E+00  1.537080179E+01  4.184217949E-01  2.963276227E+03 
         5  5.349614024E-01 -1.048627868E-01  2.275939468E-01  2.267296204E-03  1.605706257E+01 -4.327441239E+00  1.546293991E+01  4.118909441E-01  2.917024538E+03 
         6  5.466039777E-01 -1.081237122E-01  2.282959491E-01  2.281281767E-03  1.615610876E+01 -4.360696216E+00  1.555648350E+01  4.054558802E-01  2.871451214E+03 
         7  5.582119823E-01 -1.113806665E-01  2.290060608E-01  2.295572301E-03  1.625731477E+01 -4.395685483E+00  1.565178050E+01  3.991153575E-01  2.826547434E+03 
         8  5.697783828E-01 -1.146324351E-01  2.297000648E-01  2.309402822E-03  1.635526295E+01 -4.430870994E+00  1.574363390E+01  3.928430896E-01  2.782127037E+03 
         9  5.812960267E-01 -1.178777218E-01  2.303738032E-01  2.322947169E-03  1.645118444E+01 -4.466508117E+00  1.583324903E+01  3.866518674E-01  2.738280608E+03 
        10  5.927578211E-01 -1.211151481E-01  2.310986312E-01  2.337762797E-03  1.655610918E+01 -4.505519735E+00  1.593125994E+01  3.805204965E-01  2.694858047E+03 
        11  6.041569114E-01 -1.243432537E-01  2.317840702E-01  2.351725683E-03  1.665499478E+01 -4.543746119E+00  1.602320886E+01  3.744570717E-01  2.651916684E+03 
        12  6.154862046E-01 -1.275604963E-01  2.325117742E-01  2.366487977E-03  1.675954181E+01 -4.584301414E+00  1.612037289E+01  3.684290525E-01  2.609226063E+03 
        13  6.267389059E-01 -1.307652593E-01  2.332575338E-01  2.381662065E-03  1.686700517E+01 -4.626372228E+00  1.622012773E+01  3.624373069E-01  2.566792334E+03 
        14  6.379080415E-01 -1.339558363E-01  2.340093584E-01  2.397005784E-03  1.697566987E+01 -4.669421196E+00  1.632084168E+01  3.564903074E-01  2.524675497E+03 
        15  6.489868760E-01 -1.371305138E-01  2.346955953E-01  2.410944516E-03  1.707438440E+01 -4.710304035E+00  1.641181400E+01  3.505813480E-01  2.482828062E+03 
        16  6.599686146E-01 -1.402874142E-01  2.354889945E-01  2.427248567E-03  1.718985020E+01 -4.756314365E+00  1.651872948E+01  3.446988873E-01  2.441168292E+03 
        17  6.708465815E-01 -1.434246749E-01  2.362368403E-01  2.442818259E-03  1.730011525E+01 -4.801332884E+00  1.662050511E+01  3.388639977E-01  2.399845421E+03 
        18  6.816141605E-01 -1.465403587E-01  2.370114531E-01  2.458919553E-03  1.741414511E+01 -4.847775205E+00  1.672577429E+01  3.330455429E-01  2.358638942E+03 
        19  6.922648549E-01 -1.496324539E-01  2.377963312E-01  2.475160767E-03  1.752916590E+01 -4.894811204E+00  1.683188879E+01  3.272662279E-01  2.317709653E+03 
        20  7.027921081E-01 -1.526989192E-01  2.385826240E-01  2.491604467E-03  1.764562070E+01 -4.942504810E+00  1.693929090E+01  3.215076454E-01  2.276927192E+03 
        21  7.131894827E-01 -1.557376683E-01  2.393619245E-01  2.508077008E-03  1.776227975E+01 -4.990452212E+00  1.704681696E+01  3.157755693E-01  2.236332450E+03 
        22  7.234507799E-01 -1.587465852E-01  2.401712926E-01  2.525019029E-03  1.788226367E+01 -5.039474724E+00  1.715747792E+01  3.100804760E-01  2.195999621E+03 
        23  7.335696220E-01 -1.617235392E-01  2.409650972E-01  2.541648457E-03  1.800003380E+01 -5.087958975E+00  1.726597493E+01  3.044261290E-01  2.155955359E+03 
        24  7.435399294E-01 -1.646663100E-01  2.417602599E-01  2.558483627E-03  1.811926100E+01 -5.136885593E+00  1.737584604E+01  2.988112632E-01  2.116190704E+03 
