cellnumber     x-coordinate     y-coordinate           y-plus skin-friction-coef       wall-shear     y-wall-shear     x-wall-shear pressure-coefficient         pressure 
         1  4.757793546E-01 -1.282655448E-01  2.281577263E-01  2.390925110E-03  8.639084869E+00 -2.220943491E+00  8.348724297E+00  4.046250472E-01  1.462024096E+03 
         2  4.876842499E-01 -1.314116567E-01  2.289792988E-01  2.408189687E-03  8.701466644E+00 -2.209462266E+00  8.416281735E+00  3.956960159E-01  1.429760995E+03 
         3  4.995916188E-01 -1.345175505E-01  2.297723013E-01  2.424835111E-03  8.761611243E+00 -2.197983266E+00  8.481432728E+00  3.870242169E-01  1.398427346E+03 
         4  5.114938617E-01 -1.375827342E-01  2.305238170E-01  2.440628321E-03  8.818676550E+00 -2.186292333E+00  8.543370642E+00  3.786158559E-01  1.368045573E+03 
         5  5.233832598E-01 -1.406067014E-01  2.312408967E-01  2.455851900E-03  8.873683624E+00 -2.174639366E+00  8.603092740E+00  3.704543399E-01  1.338555720E+03 
         6  5.352523327E-01 -1.435889602E-01  2.319227166E-01  2.470351960E-03  8.926076418E+00 -2.162878442E+00  8.660069115E+00  3.625370440E-01  1.309948304E+03 
         7  5.470932722E-01 -1.465290338E-01  2.325730475E-01  2.484205807E-03  8.976134265E+00 -2.151068608E+00  8.714579174E+00  3.548219582E-01  1.282071529E+03 
         8  5.588985682E-01 -1.494264007E-01  2.332008470E-01  2.497672337E-03  9.024792626E+00 -2.139419740E+00  8.767540426E+00  3.473279898E-01  1.254993713E+03 
         9  5.706607699E-01 -1.522805393E-01  2.337964296E-01  2.510473735E-03  9.071047676E+00 -2.127676568E+00  8.817987206E+00  3.400376914E-01  1.228651815E+03 
        10  5.823722482E-01 -1.550909579E-01  2.343870921E-01  2.523150168E-03  9.116851194E+00 -2.116279130E+00  8.867826020E+00  3.329530937E-01  1.203053171E+03 
        11  5.940255523E-01 -1.578571051E-01  2.349429115E-01  2.535195536E-03  9.160374496E+00 -2.104779707E+00  8.915288177E+00  3.260446061E-01  1.178090862E+03 
        12  6.056132913E-01 -1.605784595E-01  2.354720927E-01  2.546691639E-03  9.201913150E+00 -2.093231081E+00  8.960669018E+00  3.193028195E-01  1.153730891E+03 
        13  6.171281338E-01 -1.632544994E-01  2.359805990E-01  2.557649729E-03  9.241507808E+00 -2.081625828E+00  9.004015797E+00  3.127358607E-01  1.130002622E+03 
        14  6.285626292E-01 -1.658846587E-01  2.364686923E-01  2.568190287E-03  9.279593812E+00 -2.070044348E+00  9.045760207E+00  3.063365153E-01  1.106879987E+03 
