cellnumber     x-coordinate     y-coordinate           y-plus skin-friction-coef       wall-shear     y-wall-shear     x-wall-shear pressure-coefficient         pressure 
         1  4.207321703E-01 -7.204635441E-02  4.093482331E-01  3.679347951E-03  4.786026827E+00 -2.008782916E-01  4.781809355E+00 -4.412405196E-02 -5.739573946E+01 
         2  4.390601814E-01 -7.277041674E-02  4.071427376E-01  3.639807555E-03  4.734593421E+00 -1.751345357E-01  4.731353164E+00 -4.338885591E-02 -5.643941023E+01 
         3  4.574715793E-01 -7.340841740E-02  4.049310973E-01  3.600376183E-03  4.683301832E+00 -1.511861004E-01  4.680860905E+00 -4.224667309E-02 -5.495368022E+01 
         4  4.759408236E-01 -7.396373898E-02  4.027342279E-01  3.561417235E-03  4.632624763E+00 -1.289263020E-01  4.630830401E+00 -4.074289189E-02 -5.299758984E+01 
         5  4.944423139E-01 -7.443981618E-02  4.005479917E-01  3.522847708E-03  4.582454245E+00 -1.082314811E-01  4.581175925E+00 -3.891905184E-02 -5.062517290E+01 
         6  5.129504204E-01 -7.484016567E-02  3.983836816E-01  3.484877334E-03  4.533063095E+00 -8.899251571E-02  4.532189466E+00 -3.681138621E-02 -4.788356097E+01 
         7  5.314396024E-01 -7.516829669E-02  3.962477719E-01  3.447613743E-03  4.484591314E+00 -7.109921165E-02  4.484027671E+00 -3.445594349E-02 -4.481964524E+01 
         8  5.498840809E-01 -7.542774826E-02  3.941319227E-01  3.410895385E-03  4.436828762E+00 -5.444062415E-02  4.436494752E+00 -3.187924072E-02 -4.146791860E+01 
         9  5.682584643E-01 -7.562199980E-02  3.920302366E-01  3.374614612E-03  4.389635413E+00 -3.891502032E-02  4.389462915E+00 -2.909665199E-02 -3.784837935E+01 
        10  5.865372419E-01 -7.575452328E-02  3.899509212E-01  3.338910609E-03  4.343192315E+00 -2.442987060E-02  4.343123607E+00 -2.612888866E-02 -3.398796845E+01 
        11  6.046952009E-01 -7.582871616E-02  3.878911538E-01  3.303729864E-03  4.297429862E+00 -1.089528744E-02  4.297416050E+00 -2.298542503E-02 -2.989900990E+01 
        12  6.227072477E-01 -7.584790885E-02  3.858415499E-01  3.268911562E-03  4.252138867E+00  1.771946028E-03  4.252138498E+00 -1.967685978E-02 -2.559529027E+01 
        13  6.405484080E-01 -7.581538707E-02  3.838083586E-01  3.234550900E-03  4.207443163E+00  1.364797983E-02  4.207421027E+00 -1.621186492E-02 -2.108808991E+01 
        14  6.581941247E-01 -7.573433965E-02  3.817769245E-01  3.200399232E-03  4.163019314E+00  2.480194141E-02  4.162945432E+00 -1.259744002E-02 -1.638651378E+01 
        15  6.756199598E-01 -7.560791820E-02  3.797300189E-01  3.166178693E-03  4.118505878E+00  3.529343744E-02  4.118354652E+00 -8.815441474E-03 -1.146696098E+01 
        16  6.928018928E-01 -7.543918490E-02  3.776857573E-01  3.132183557E-03  4.074285643E+00  4.518103868E-02  4.074035122E+00 -4.877715882E-03 -6.344841362E+00 
        17  7.097162008E-01 -7.523115724E-02  3.756209548E-01  3.098029657E-03  4.029858890E+00  5.450964312E-02  4.029490212E+00 -7.803747701E-04 -1.015096869E+00 
        18  7.263395786E-01 -7.498681545E-02  3.735259998E-01  3.063567395E-03  3.985031025E+00  6.331865349E-02  3.984527954E+00  3.489526384E-03  4.539110491E+00 
        19  7.426490188E-01 -7.470910251E-02  3.714127426E-01  3.028996723E-03  3.940062144E+00  7.164863052E-02  3.939410637E+00  7.941972603E-03  1.033076905E+01 
