cellnumber     x-coordinate     y-coordinate           y-plus skin-friction-coef       wall-shear     y-wall-shear     x-wall-shear pressure-coefficient         pressure 
         1  5.005882382E-01 -7.458618283E-02  2.626962140E-01  3.409554932E-03  4.435085126E+00 -9.875001235E-02  4.433985624E+00 -4.083138980E-02 -5.311270627E+01 
         2  5.128794909E-01 -7.484378666E-02  2.617384458E-01  3.384739665E-03  4.402805892E+00 -8.647970765E-02  4.401956495E+00 -3.941048854E-02 -5.126442454E+01 
         3  5.251623988E-01 -7.506954670E-02  2.607886583E-01  3.360225259E-03  4.370918012E+00 -7.478848088E-02  4.370278132E+00 -3.788573084E-02 -4.928104832E+01 
         4  5.374294519E-01 -7.526449114E-02  2.598469542E-01  3.336005175E-03  4.339412981E+00 -6.364497550E-02  4.338946225E+00 -3.625704078E-02 -4.716247882E+01 
         5  5.496731400E-01 -7.542964816E-02  2.589135120E-01  3.312076436E-03  4.308286927E+00 -5.301906984E-02  4.307960680E+00 -3.453823247E-02 -4.492668520E+01 
         6  5.618860722E-01 -7.556603849E-02  2.579871701E-01  3.288418948E-03  4.277513709E+00 -4.288153087E-02  4.277298763E+00 -3.272979389E-02 -4.257430221E+01 
         7  5.740607381E-01 -7.567468286E-02  2.570690020E-01  3.265053925E-03  4.247120926E+00 -3.320487694E-02  4.246991123E+00 -3.083561062E-02 -4.011038412E+01 
         8  5.861897469E-01 -7.575658709E-02  2.561585322E-01  3.241963458E-03  4.217085280E+00 -2.396219503E-02  4.217017200E+00 -2.886590156E-02 -3.754822351E+01 
         9  5.982656479E-01 -7.581274211E-02  2.552518158E-01  3.219056817E-03  4.187288751E+00 -1.512752450E-02  4.187261425E+00 -2.682110544E-02 -3.488839106E+01 
        10  6.102811098E-01 -7.584412396E-02  2.543513456E-01  3.196390324E-03  4.157804602E+00 -6.677273208E-03  4.157799240E+00 -2.470136795E-02 -3.213107627E+01 
        11  6.222288013E-01 -7.585170865E-02  2.534576264E-01  3.173962237E-03  4.128630566E+00  1.411629531E-03  4.128630324E+00 -2.251700503E-02 -2.928969794E+01 
        12  6.341013908E-01 -7.583644986E-02  2.525677447E-01  3.151707960E-03  4.099682620E+00  9.160931091E-03  4.099672385E+00 -2.026402148E-02 -2.635905919E+01 
        13  6.458917260E-01 -7.579929382E-02  2.516817926E-01  3.129637894E-03  4.070974292E+00  1.659107774E-02  4.070940484E+00 -1.794351024E-02 -2.334058168E+01 
        14  6.575926542E-01 -7.574115694E-02  2.507980056E-01  3.107701814E-03  4.042440250E+00  2.372102079E-02  4.042370652E+00 -1.556005440E-02 -2.024022702E+01 
        15  6.691969633E-01 -7.566297054E-02  2.499125515E-01  3.085791316E-03  4.013939485E+00  3.056761972E-02  4.013823091E+00 -1.310944429E-02 -1.705251934E+01 
        16  6.806975603E-01 -7.556562126E-02  2.490262802E-01  3.063936711E-03  3.985511425E+00  3.714733609E-02  3.985338304E+00 -1.058827311E-02 -1.377302713E+01 
        17  6.920875311E-01 -7.545001805E-02  2.481395028E-01  3.042160092E-03  3.957184807E+00  4.347576382E-02  3.956945976E+00 -7.998413492E-03 -1.040418630E+01 
        18  7.033599615E-01 -7.531703264E-02  2.472510872E-01  3.020421075E-03  3.928907102E+00  4.956658126E-02  3.928594426E+00 -5.342789890E-03 -6.949800912E+00 
        19  7.145079374E-01 -7.516752928E-02  2.463583316E-01  2.998649258E-03  3.900586730E+00  5.543152609E-02  3.900192840E+00 -2.614548843E-03 -3.400956113E+00 
        20  7.255246639E-01 -7.500239462E-02  2.454597699E-01  2.976816504E-03  3.872187093E+00  6.108160027E-02  3.871705299E+00  1.875849399E-04  2.440069727E-01 
        21  7.364034057E-01 -7.482247800E-02  2.445529526E-01  2.954858828E-03  3.843624960E+00  6.652576207E-02  3.843049201E+00  3.063117760E-03  3.984446148E+00 
        22  7.471376657E-01 -7.462862879E-02  2.436350707E-01  2.932712895E-03  3.814817946E+00  7.177148756E-02  3.814142736E+00  6.021527240E-03  7.832689730E+00 
        23  7.577208281E-01 -7.442170382E-02  2.427042714E-01  2.910351988E-03  3.785731296E+00  7.682579259E-02  3.784951684E+00  9.064401993E-03  1.179080415E+01 
        24  7.681465149E-01 -7.420255989E-02  2.417592082E-01  2.887731564E-03  3.756307073E+00  8.169405551E-02  3.755418606E+00  1.219947141E-02  1.586884367E+01 
        25  7.784082890E-01 -7.397203892E-02  2.408006853E-01  2.864876749E-03  3.726577958E+00  8.638252346E-02  3.725576645E+00  1.542683531E-02  2.006693812E+01 
        26  7.884999514E-01 -7.373099029E-02  2.398249294E-01  2.841704200E-03  3.696435541E+00  9.089330182E-02  3.695317864E+00  1.874779473E-02  2.438677986E+01 
        27  7.984153628E-01 -7.348027825E-02  2.388291328E-01  2.818151771E-03  3.665798984E+00  9.522778233E-02  3.664561892E+00  2.217003304E-02  2.883836329E+01 
        28  8.081485629E-01 -7.322075218E-02  2.378054852E-01  2.794045377E-03  3.634441838E+00  9.938214530E-02  3.633082804E+00  2.569721276E-02  3.342645253E+01 
        29  8.176934719E-01 -7.295327634E-02  2.367550860E-01  2.769421048E-03  3.602410972E+00  1.033584685E-01  3.600927913E+00  2.933105483E-02  3.815328617E+01 
        30  8.270444274E-01 -7.267872989E-02  2.356753955E-01  2.744220983E-03  3.569631201E+00  1.071547429E-01  3.568022530E+00  3.308123561E-02  4.303145101E+01 
        31  8.361956477E-01 -7.239798456E-02  2.345648614E-01  2.718413609E-03  3.536061452E+00  1.107690258E-01  3.534326077E+00  3.695312904E-02  4.806793738E+01 
        32  8.451415300E-01 -7.211190462E-02  2.334193101E-01  2.691928108E-03  3.501609610E+00  1.141969260E-01  3.499746979E+00  4.095179254E-02  5.326932388E+01 
        33  8.538767695E-01 -7.182140648E-02  2.322353061E-01  2.664691431E-03  3.466180650E+00  1.174329946E-01  3.464190785E+00  4.508387235E-02  5.864425583E+01 
        34  8.623958826E-01 -7.152736187E-02  2.310111228E-01  2.636667555E-03  3.429727718E+00  1.204725798E-01  3.427611206E+00  4.935497085E-02  6.420002068E+01 
        35  8.706937432E-01 -7.123068720E-02  2.297439064E-01  2.607819394E-03  3.392202571E+00  1.233103744E-01  3.389960594E+00  5.376784122E-02  6.994019971E+01 
        36  8.787652850E-01 -7.093228400E-02  2.284289434E-01  2.578054919E-03  3.353485500E+00  1.259378935E-01  3.351119909E+00  5.832607401E-02  7.586946345E+01 
        37  8.866056204E-01 -7.063306868E-02  2.270625059E-01  2.547303473E-03  3.313484596E+00  1.283469319E-01  3.310997921E+00  6.303528004E-02  8.199511036E+01 
        38  8.942098618E-01 -7.033396512E-02  2.256407378E-01  2.515506330E-03  3.272123468E+00  1.305293911E-01  3.269518936E+00  6.789864127E-02  8.832127947E+01 
        39  9.015734792E-01 -7.003587484E-02  2.241582942E-01  2.482566310E-03  3.229275708E+00  1.324747036E-01  3.226557306E+00  7.291880358E-02  9.485141247E+01 
        40  9.086918831E-01 -6.973973662E-02  2.226092776E-01  2.448373809E-03  3.184798744E+00  1.341711503E-01  3.181971266E+00  7.810160328E-02  1.015931011E+02 
        41  9.155607820E-01 -6.944645941E-02  2.209861264E-01  2.412795023E-03  3.138518526E+00  1.356051628E-01  3.135587629E+00  8.345021443E-02  1.085504742E+02 
        42  9.221759439E-01 -6.915695220E-02  2.192831122E-01  2.375750956E-03  3.090332299E+00  1.367658648E-01  3.087304458E+00  8.896846402E-02  1.157285098E+02 
        43  9.285333157E-01 -6.887214631E-02  2.174944977E-01  2.337153228E-03  3.040125098E+00  1.376417886E-01  3.037007631E+00  9.465706493E-02  1.231281352E+02 
        44  9.346290231E-01 -6.859292835E-02  2.156141961E-01  2.296914987E-03  2.987783948E+00  1.382215487E-01  2.984585017E+00  1.005191771E-01  1.307534609E+02 
        45  9.404593110E-01 -6.832018495E-02  2.136275216E-01  2.254783226E-03  2.932979743E+00  1.384836968E-01  2.929708593E+00  1.065505805E-01  1.385989972E+02 
        46  9.460206032E-01 -6.805481017E-02  2.115307502E-01  2.210737846E-03  2.875686339E+00  1.384208617E-01  2.872352970E+00  1.127468687E-01  1.466590128E+02 
        47  9.513095021E-01 -6.779765338E-02  2.093218319E-01  2.164805379E-03  2.815938246E+00  1.380293490E-01  2.812553307E+00  1.191003039E-01  1.549234422E+02 
        48  9.563227892E-01 -6.754955649E-02  2.069889125E-01  2.116822286E-03  2.753522739E+00  1.372941739E-01  2.750097778E+00  1.256011345E-01  1.633796007E+02 
        49  9.610573053E-01 -6.731133908E-02  2.045117372E-01  2.066462658E-03  2.688015879E+00  1.361899534E-01  2.684563589E+00  1.322363179E-01  1.720105229E+02 
