cellnumber     x-coordinate     y-coordinate           y-plus skin-friction-coef       wall-shear     y-wall-shear     x-wall-shear pressure-coefficient         pressure 
         1  5.028676391E-01 -8.190451562E-02  2.758610596E-01  3.620532809E-03  7.855853475E+00  3.632593097E-01  7.847450318E+00 -2.146096783E-01 -4.656613477E+02 
         2  5.151696801E-01 -8.131317794E-02  2.741966276E-01  3.576980818E-03  7.761354109E+00  3.864100336E-01  7.751729155E+00 -2.077512546E-01 -4.507798993E+02 
         3  5.274624228E-01 -8.067931235E-02  2.725344900E-01  3.533750682E-03  7.667553105E+00  4.079582258E-01  7.656692544E+00 -2.008656384E-01 -4.358394487E+02 
         4  5.397385359E-01 -8.000490069E-02  2.708845722E-01  3.491095337E-03  7.574999285E+00  4.280244948E-01  7.562896879E+00 -1.939427524E-01 -4.208181299E+02 
         5  5.519904494E-01 -7.929191738E-02  2.692564818E-01  3.449257254E-03  7.484218765E+00  4.467315078E-01  7.470874211E+00 -1.869984449E-01 -4.057503304E+02 
         6  5.642107129E-01 -7.854230702E-02  2.676411177E-01  3.407991229E-03  7.394679499E+00  4.641380062E-01  7.380098970E+00 -1.800501475E-01 -3.906738736E+02 
         7  5.763920546E-01 -7.775802165E-02  2.660364746E-01  3.367237180E-03  7.306251123E+00  4.803185862E-01  7.290445771E+00 -1.730961840E-01 -3.755851225E+02 
         8  5.885268450E-01 -7.694099844E-02  2.644470232E-01  3.327112411E-03  7.219188163E+00  4.953688659E-01  7.202172410E+00 -1.661356233E-01 -3.604820568E+02 
         9  6.006079316E-01 -7.609313726E-02  2.628607872E-01  3.287322602E-03  7.132852001E+00  5.093198231E-01  7.114644825E+00 -1.591608636E-01 -3.453481821E+02 
        10  6.126279235E-01 -7.521634549E-02  2.612821238E-01  3.247953081E-03  7.047427782E+00  5.222527264E-01  7.028050258E+00 -1.521723490E-01 -3.301844618E+02 
