cellnumber     x-coordinate     y-coordinate           y-plus skin-friction-coef       wall-shear     y-wall-shear     x-wall-shear pressure-coefficient         pressure 
         1  5.073845387E-01 -2.224298753E-02  2.542395427E-01  3.370548454E-03  2.025795658E+00  1.908266623E-01  2.016787850E+00 -1.081473029E-01 -6.499961046E+01 
         2  5.195814371E-01 -2.108028345E-02  2.525615863E-01  3.326205574E-03  1.999144323E+00  1.911134226E-01  1.989988363E+00 -1.002823175E-01 -6.027253013E+01 
         3  5.317676067E-01 -1.990178786E-02  2.508908115E-01  3.282345949E-03  1.972783439E+00  1.912024927E-01  1.963495889E+00 -9.246687109E-02 -5.557522418E+01 
         4  5.439358354E-01 -1.870915294E-02  2.492246817E-01  3.238896680E-03  1.946669191E+00  1.911050773E-01  1.937266060E+00 -8.467236375E-02 -5.089050318E+01 
         5  5.560789108E-01 -1.750400476E-02  2.475636342E-01  3.195863131E-03  1.920804801E+00  1.908361258E-01  1.911301300E+00 -7.690873474E-02 -4.622434094E+01 
         6  5.681895614E-01 -1.628794335E-02  2.459023267E-01  3.153117687E-03  1.895113571E+00  1.904019168E-01  1.885524478E+00 -6.916992038E-02 -4.157309301E+01 
         7  5.802605748E-01 -1.506252866E-02  2.442316549E-01  3.110419461E-03  1.869450721E+00  1.898008151E-01  1.859790754E+00 -6.144559463E-02 -3.693055314E+01 
         8  5.922847986E-01 -1.382929739E-02  2.425441949E-01  3.067586628E-03  1.843706968E+00  1.890336136E-01  1.833990642E+00 -5.370734967E-02 -3.227964743E+01 
         9  6.042549610E-01 -1.258974522E-02  2.408380909E-01  3.024582395E-03  1.817860199E+00  1.881091223E-01  1.808101396E+00 -4.593508109E-02 -2.760829256E+01 
        10  6.161639690E-01 -1.134533342E-02  2.391033032E-01  2.981162295E-03  1.791763481E+00  1.870224931E-01  1.781976139E+00 -3.810951124E-02 -2.290490211E+01 
        11  6.280046701E-01 -1.009748783E-02  2.373285690E-01  2.937070400E-03  1.765262996E+00  1.857670921E-01  1.755461203E+00 -3.022230028E-02 -1.816446359E+01 
        12  6.397700310E-01 -8.847596124E-03  2.355015944E-01  2.892021166E-03  1.738187123E+00  1.843333894E-01  1.728385280E+00 -2.222245496E-02 -1.335632862E+01 
        13  6.514528990E-01 -7.597011048E-03  2.335989961E-01  2.845479484E-03  1.710214246E+00  1.826947975E-01  1.700427999E+00 -1.407797752E-02 -8.461265614E+00 
        14  6.630463600E-01 -6.347047165E-03  2.315907524E-01  2.796766989E-03  1.680936648E+00  1.808140627E-01  1.671183500E+00 -5.716176206E-03 -3.435584770E+00 
        15  6.745433807E-01 -5.098984111E-03  2.294479855E-01  2.745251241E-03  1.649974216E+00  1.786553406E-01  1.640273509E+00  2.935725692E-03  1.764454788E+00 
        16  6.859371662E-01 -3.854066133E-03  2.273330914E-01  2.694873092E-03  1.619695513E+00  1.764808830E-01  1.610052190E+00  1.214314324E-02  7.298375082E+00 
        17  6.971918941E-01 -2.617628314E-03  2.243486440E-01  2.624581390E-03  1.577448198E+00  1.726500919E-01  1.567971544E+00  2.225796907E-02  1.337767361E+01 
        18  7.082865238E-01 -1.406913390E-03  2.217094118E-01  2.563195935E-03  1.540553790E+00  1.656116789E-01  1.531626179E+00  3.238061994E-02  1.946167520E+01 
        19  7.192470431E-01 -2.351730654E-04  2.203050362E-01  2.530825169E-03  1.521098038E+00  1.598442974E-01  1.512676119E+00  4.108169156E-02  2.469126717E+01 
        20  7.300848365E-01  8.969045011E-04  2.191406067E-01  2.504138012E-03  1.505058296E+00  1.545445570E-01  1.497102686E+00  4.852449228E-02  2.916460247E+01 
        21  7.407932281E-01  1.989449840E-03  2.180621843E-01  2.479549403E-03  1.490279841E+00  1.494771989E-01  1.482764503E+00  5.530482221E-02  3.323977394E+01 
        22  7.513656616E-01  3.042682074E-03  2.171127456E-01  2.458004912E-03  1.477330988E+00  1.446938702E-01  1.470228054E+00  6.150661854E-02  3.696723025E+01 
        23  7.617955804E-01  4.056904931E-03  2.162683890E-01  2.438924936E-03  1.465863379E+00  1.401529318E-01  1.459147903E+00  6.722355403E-02  4.040327137E+01 
        24  7.720764279E-01  5.032498855E-03  2.155062207E-01  2.421765014E-03  1.455549777E+00  1.358177443E-01  1.449199328E+00  7.252248073E-02  4.358807730E+01 
        25  7.822019458E-01  5.969917867E-03  2.148087598E-01  2.406111847E-03  1.446141777E+00  1.316616352E-01  1.440135846E+00  7.746090912E-02  4.655621347E+01 
        26  7.921656966E-01  6.869682577E-03  2.141656014E-01  2.391723855E-03  1.437494184E+00  1.276691186E-01  1.431813579E+00  8.208296758E-02  4.933420231E+01 
        27  8.019614220E-01  7.732375525E-03  2.135663749E-01  2.378360556E-03  1.429462461E+00  1.238258336E-01  1.424089214E+00  8.642760423E-02  5.194545272E+01 
        28  8.115829825E-01  8.558632806E-03  2.130059955E-01  2.365894331E-03  1.421969904E+00  1.201241808E-01  1.416886936E+00  9.052350054E-02  5.440720311E+01 
        29  8.210242391E-01  9.349141270E-03  2.124770539E-01  2.354158623E-03  1.414916409E+00  1.165550558E-01  1.410107572E+00  9.439552562E-02  5.673440051E+01 
        30  8.302792907E-01  1.010463107E-02  2.119706647E-01  2.342950263E-03  1.408179865E+00  1.131082033E-01  1.403629961E+00  9.806836079E-02  5.894187909E+01 
        31  8.393421173E-01  1.082586963E-02  2.114845443E-01  2.332213971E-03  1.401727048E+00  1.097810778E-01  1.397421494E+00  1.015653759E-01  6.104368481E+01 
        32  8.482069373E-01  1.151365880E-02  2.110103351E-01  2.321770404E-03  1.395450167E+00  1.065654707E-01  1.391375208E+00  1.049079608E-01  6.305267358E+01 
        33  8.568681479E-01  1.216882654E-02  2.105423249E-01  2.311483134E-03  1.389267224E+00  1.034556866E-01  1.385409810E+00  1.081158908E-01  6.498073092E+01 
        34  8.653200865E-01  1.279221941E-02  2.100742138E-01  2.301211008E-03  1.383093384E+00  1.004461684E-01  1.379441146E+00  1.112079480E-01  6.683914537E+01 
        35  8.735573292E-01  1.338470541E-02  2.096032277E-01  2.290901427E-03  1.376897032E+00  9.753549602E-02  1.373438118E+00  1.142019032E-01  6.863859775E+01 
        36  8.815744519E-01  1.394715998E-02  2.091239080E-01  2.280438105E-03  1.370608277E+00  9.471954264E-02  1.367331437E+00  1.171143449E-01  7.038905820E+01 
        37  8.893662691E-01  1.448046695E-02  2.086308681E-01  2.269702654E-03  1.364155965E+00  9.199430565E-02  1.361050530E+00  1.199606632E-01  7.209977665E+01 
        38  8.969277143E-01  1.498551201E-02  2.081193517E-01  2.258587736E-03  1.357475583E+00  8.935639816E-02  1.354531429E+00  1.227552664E-01  7.377941276E+01 
        39  9.042538404E-01  1.546317898E-02  2.075843069E-01  2.246988278E-03  1.350503978E+00  8.680263772E-02  1.347711504E+00  1.255126257E-01  7.543666428E+01 
        40  9.113398194E-01  1.591434330E-02  2.070236906E-01  2.234862997E-03  1.343216339E+00  8.433233864E-02  1.340566369E+00  1.282469070E-01  7.708004524E+01 
        41  9.181808829E-01  1.633987576E-02  2.064284867E-01  2.222027370E-03  1.335501762E+00  8.193936499E-02  1.332985707E+00  1.309717356E-01  7.871774484E+01 
        42  9.247725606E-01  1.674062386E-02  2.057932713E-01  2.208377033E-03  1.327297520E+00  7.962080285E-02  1.324907255E+00  1.337003104E-01  8.035769605E+01 
        43  9.311105013E-01  1.711742766E-02  2.051138956E-01  2.193816747E-03  1.318546373E+00  7.737405606E-02  1.316274209E+00  1.364454673E-01  8.200761359E+01 
        44  9.371904135E-01  1.747110300E-02  2.043839448E-01  2.178227701E-03  1.309176912E+00  7.519567926E-02  1.307015607E+00  1.392193098E-01  8.367477198E+01 
        45  9.430083036E-01  1.780244336E-02  2.035961846E-01  2.161472890E-03  1.299106793E+00  7.308163364E-02  1.297049550E+00  1.420330662E-01  8.536591971E+01 
