cellnumber     x-coordinate     y-coordinate           y-plus skin-friction-coef       wall-shear     y-wall-shear     x-wall-shear pressure-coefficient         pressure 
         1  5.073845387E-01 -2.224298753E-02  2.504965920E-01  3.272187302E-03  1.966677803E+00  1.852578563E-01  1.957932866E+00 -1.090556620E-01 -6.554556015E+01 
         2  5.195814371E-01 -2.108028345E-02  2.488534045E-01  3.229400104E-03  1.940961478E+00  1.855512815E-01  1.932071992E+00 -1.011852113E-01 -6.081519508E+01 
         3  5.317676067E-01 -1.990178786E-02  2.472174500E-01  3.187082687E-03  1.915527504E+00  1.856532381E-01  1.906509505E+00 -9.336796794E-02 -5.611680906E+01 
         4  5.439358354E-01 -1.870915294E-02  2.455819808E-01  3.145055397E-03  1.890267906E+00  1.855681468E-01  1.881137214E+00 -8.558521910E-02 -5.143915526E+01 
         5  5.560789108E-01 -1.750400476E-02  2.439480896E-01  3.103342382E-03  1.865197195E+00  1.853113895E-01  1.855968821E+00 -7.781493564E-02 -4.676899350E+01 
         6  5.681895614E-01 -1.628794335E-02  2.423176710E-01  3.062002407E-03  1.840350692E+00  1.848998945E-01  1.831038694E+00 -7.006524170E-02 -4.211120663E+01 
         7  5.802605748E-01 -1.506252866E-02  2.406845307E-01  3.020869349E-03  1.815628552E+00  1.843363803E-01  1.806246700E+00 -6.233062809E-02 -3.746248347E+01 
         8  5.922847986E-01 -1.382929739E-02  2.390386441E-01  2.979695717E-03  1.790882026E+00  1.836175199E-01  1.781444088E+00 -5.459336133E-02 -3.281216569E+01 
         9  6.042549610E-01 -1.258974522E-02  2.373722298E-01  2.938296361E-03  1.765999834E+00  1.827426988E-01  1.756519433E+00 -4.682713750E-02 -2.814444388E+01 
        10  6.161639690E-01 -1.134533342E-02  2.356760851E-01  2.896451837E-03  1.740850083E+00  1.817082031E-01  1.731340850E+00 -3.901408163E-02 -2.344857469E+01 
        11  6.280046701E-01 -1.009748783E-02  2.339371547E-01  2.853866459E-03  1.715255057E+00  1.805045168E-01  1.705730937E+00 -3.111890208E-02 -1.870334682E+01 
        12  6.397700310E-01 -8.847596124E-03  2.321508978E-01  2.810447960E-03  1.689159302E+00  1.791340272E-01  1.679633933E+00 -2.310688237E-02 -1.388789469E+01 
        13  6.514528990E-01 -7.597011048E-03  2.302963387E-01  2.765723563E-03  1.662278665E+00  1.775740465E-01  1.652766716E+00 -1.496423076E-02 -8.993929060E+00 
        14  6.630463600E-01 -6.347047165E-03  2.283314065E-01  2.718732679E-03  1.634035805E+00  1.757690588E-01  1.624554785E+00 -6.615534748E-03 -3.976124880E+00 
        15  6.745433807E-01 -5.098984111E-03  2.262705751E-01  2.669877209E-03  1.604672275E+00  1.737501526E-01  1.595237912E+00  2.022938612E-03  1.215843746E+00 
        16  6.859371662E-01 -3.854066133E-03  2.243521026E-01  2.624792718E-03  1.577575212E+00  1.718914846E-01  1.568182664E+00  1.120590236E-02  6.735066609E+00 
        17  6.971918941E-01 -2.617628314E-03  2.209938162E-01  2.546803355E-03  1.530701382E+00  1.675337007E-01  1.521505564E+00  2.124347091E-02  1.276793130E+01 
        18  7.082865238E-01 -1.406913390E-03  2.187122226E-01  2.494491171E-03  1.499260269E+00  1.611725679E-01  1.490571956E+00  3.128881998E-02  1.880547232E+01 
        19  7.192470431E-01 -2.351730654E-04  2.176813341E-01  2.471030810E-03  1.485159924E+00  1.560677476E-01  1.476936985E+00  3.996880366E-02  2.402238983E+01 
        20  7.300848365E-01  8.969045011E-04  2.167324559E-01  2.449531772E-03  1.472238389E+00  1.511744962E-01  1.464456263E+00  4.740338814E-02  2.849078693E+01 
        21  7.407932281E-01  1.989449840E-03  2.157794082E-01  2.428034295E-03  1.459317793E+00  1.463716612E-01  1.451958594E+00  5.415885177E-02  3.255101306E+01 
        22  7.513656616E-01  3.042682074E-03  2.149091701E-01  2.408490301E-03  1.447571296E+00  1.417791239E-01  1.440611446E+00  6.034777838E-02  3.627073430E+01 
        23  7.617955804E-01  4.056904931E-03  2.141210351E-01  2.390859361E-03  1.436974599E+00  1.373908414E-01  1.430391469E+00  6.605608862E-02  3.970159140E+01 
        24  7.720764279E-01  5.032498855E-03  2.134004774E-01  2.374795842E-03  1.427319966E+00  1.331836131E-01  1.421092682E+00  7.134366956E-02  4.287957820E+01 
        25  7.822019458E-01  5.969917867E-03  2.127342167E-01  2.359987829E-03  1.418419928E+00  1.291377444E-01  1.412529127E+00  7.626888232E-02  4.583977140E+01 
        26  7.921656966E-01  6.869682577E-03  2.121144709E-01  2.346256692E-03  1.410167124E+00  1.252421024E-01  1.404594508E+00  8.087593941E-02  4.860874398E+01 
        27  8.019614220E-01  7.732375525E-03  2.115332553E-01  2.333418665E-03  1.402451104E+00  1.214860004E-01  1.397179391E+00  8.519967011E-02  5.120742933E+01 
        28  8.115829825E-01  8.558632806E-03  2.109826888E-01  2.321287014E-03  1.395159636E+00  1.178593216E-01  1.390172504E+00  8.927425470E-02  5.365637076E+01 
        29  8.210242391E-01  9.349141270E-03  2.104583272E-01  2.309763274E-03  1.388233540E+00  1.143570295E-01  1.383515388E+00  9.312911253E-02  5.597325016E+01 
        30  8.302792907E-01  1.010463107E-02  2.099562720E-01  2.298756273E-03  1.381618018E+00  1.109746955E-01  1.377153937E+00  9.678583914E-02  5.817104704E+01 
        31  8.393421173E-01  1.082586963E-02  2.094686108E-01  2.288088333E-03  1.375206283E+00  1.077040128E-01  1.370982190E+00  1.002651862E-01  6.026223374E+01 
        32  8.482069373E-01  1.151365880E-02  2.089916563E-01  2.277684410E-03  1.368953228E+00  1.045419955E-01  1.364955645E+00  1.035879181E-01  6.225929029E+01 
        33  8.568681479E-01  1.216882654E-02  2.085211733E-01  2.267441744E-03  1.362797094E+00  1.014845140E-01  1.359013177E+00  1.067742481E-01  6.417436539E+01 
        34  8.653200865E-01  1.279221941E-02  2.080522497E-01  2.257250622E-03  1.356671940E+00  9.852732991E-02  1.353089471E+00  1.098433362E-01  6.601897484E+01 
        35  8.735573292E-01  1.338470541E-02  2.075797263E-01  2.247006993E-03  1.350515227E+00  9.566668344E-02  1.347122587E+00  1.128124531E-01  6.780349870E+01 
        36  8.815744519E-01  1.394715998E-02  2.070989378E-01  2.236612924E-03  1.344268095E+00  9.289923406E-02  1.341054229E+00  1.156987070E-01  6.953821948E+01 
        37  8.893662691E-01  1.448046695E-02  2.066064801E-01  2.225993921E-03  1.337885772E+00  9.022272798E-02  1.334840139E+00  1.185169662E-01  7.123207357E+01 
        38  8.969277143E-01  1.498551201E-02  2.060973637E-01  2.215038439E-03  1.331301215E+00  8.763345942E-02  1.328413829E+00  1.212805242E-01  7.289305070E+01 
        39  9.042538404E-01  1.546317898E-02  2.055657638E-01  2.203625565E-03  1.324441753E+00  8.512750757E-02  1.321703168E+00  1.240049581E-01  7.453051307E+01 
