cellnumber     x-coordinate     y-coordinate           y-plus skin-friction-coef       wall-shear     y-wall-shear     x-wall-shear pressure-coefficient         pressure 
         1  5.026038289E-01 -5.907976627E-02  2.602269555E-01  3.029294389E-03  1.558174636E+01 -2.144435521E-01  1.558027065E+01 -3.814078008E-02 -1.961842874E+02 
         2  5.148857832E-01 -5.923581868E-02  2.593632744E-01  3.009223008E-03  1.547850543E+01 -1.802721126E-01  1.547745561E+01 -3.672398436E-02 -1.888967317E+02 
         3  5.271586180E-01 -5.936624110E-02  2.585080734E-01  2.989408807E-03  1.537658735E+01 -1.476927813E-01  1.537587804E+01 -3.522901566E-02 -1.812070786E+02 
         4  5.394148231E-01 -5.947190151E-02  2.576611273E-01  2.969835733E-03  1.527590956E+01 -1.166189337E-01  1.527546441E+01 -3.365192523E-02 -1.730950169E+02 
         5  5.516469479E-01 -5.955365673E-02  2.568257557E-01  2.950606613E-03  1.517700096E+01 -8.697106160E-02  1.517675177E+01 -3.200762532E-02 -1.646372506E+02 
         6  5.638476014E-01 -5.961236358E-02  2.559963495E-01  2.931593617E-03  1.507920403E+01 -5.866397984E-02  1.507908992E+01 -3.029677076E-02 -1.558371478E+02 
         7  5.760093927E-01 -5.964887142E-02  2.551755923E-01  2.912832594E-03  1.498270317E+01 -3.162212509E-02  1.498266980E+01 -2.852285828E-02 -1.467126948E+02 
         8  5.881249309E-01 -5.966402590E-02  2.543609720E-01  2.894266036E-03  1.488720259E+01 -5.771426496E-03  1.488720147E+01 -2.669240041E-02 -1.372973899E+02 
         9  6.001867652E-01 -5.965866148E-02  2.535537363E-01  2.875922077E-03  1.479284698E+01  1.895787851E-02  1.479283483E+01 -2.480315302E-02 -1.275796901E+02 
        10  6.121876836E-01 -5.963359401E-02  2.527513506E-01  2.857744164E-03  1.469934546E+01  4.263219234E-02  1.469928363E+01 -2.285486812E-02 -1.175583196E+02 
        11  6.241204143E-01 -5.958963931E-02  2.519582055E-01  2.839843793E-03  1.460727153E+01  6.531701865E-02  1.460712550E+01 -2.085253661E-02 -1.072589503E+02 
        12  6.359776855E-01 -5.952759832E-02  2.511671059E-01  2.822032329E-03  1.451565491E+01  8.706912737E-02  1.451539377E+01 -1.880201764E-02 -9.671171970E+01 
        13  6.477522254E-01 -5.944825709E-02  2.503830431E-01  2.804436496E-03  1.442514742E+01  1.079485189E-01  1.442474351E+01 -1.669843232E-02 -8.589153237E+01 
        14  6.594370008E-01 -5.935239792E-02  2.495990836E-01  2.786913005E-03  1.433501205E+01  1.280037163E-01  1.433444054E+01 -1.454403667E-02 -7.480999246E+01 
        15  6.710249186E-01 -5.924078450E-02  2.488161149E-01  2.769456216E-03  1.424521977E+01  1.472832831E-01  1.424445835E+01 -1.233918393E-02 -6.346891703E+01 
        16  6.825088859E-01 -5.911418051E-02  2.480359171E-01  2.752119965E-03  1.415604749E+01  1.658363000E-01  1.415507608E+01 -1.007713842E-02 -5.183365981E+01 
