sim_name,p_rel_l2,tau_rel_l2,p_mae,tau_mae,cl_head,cd_head,cl_int,cd_int,cl_true,cd_true,sym_residual,antisym_cl_gap
airFoil2D_SST_31.812_1.334_0.371_3.287_0.0_19.548,4.115039468,3.834839346,1219.550672,5.141383603,0.6723895669,0.01244576741,0.02753134258,0.02256348357,0.1494156718,0.01156413369,0,0
airFoil2D_SST_31.863_-1.58_1.567_6.956_10.028,4.919262116,3.060042647,1192.541036,5.482572802,0.6723895669,0.01244576741,0.02765762433,0.0205802191,0.05126406252,0.009225948714,0,0
airFoil2D_SST_32.137_12.122_4.854_5.202_9.247,0.8149842039,0.8992937603,1638.412189,7.102194973,0.6723895669,0.01244576741,0.02162183635,0.02605358697,1.674978018,0.02423187718,0,0
airFoil2D_SST_32.432_14.036_6.578_2.722_5.928,0.8806860763,0.993640535,2278.098051,8.203431938,0.6723895669,0.01244576741,0.02026701346,0.02661927417,1.846978068,0.03541012481,0,0
airFoil2D_SST_32.66_1.2_3.249_6.689_1.0_18.317,3.875185315,3.690562152,1228.888484,5.14191875,0.6723895669,0.01244576741,0.02609075233,0.02134072036,0.4176615775,0.01192494482,0,0
airFoil2D_SST_32.892_-0.128_5.528_3.635_15.155,3.906777271,3.550707672,1225.78616,5.282600455,0.6723895669,0.01244576741,0.02592432313,0.02032686397,0.5279270411,0.01148022804,0,0
airFoil2D_SST_33.012_6.968_1.841_4.84_5.618,0.8672896129,0.9444488334,1420.72893,8.042875874,0.6723895669,0.01244576741,0.02245513536,0.02264532261,0.9567072988,0.01227645855,0,0
airFoil2D_SST_33.33_14.375_1.036_3.451_12.655,0.8124267377,0.8808495459,1544.72588,6.679108251,0.6723895669,0.01244576741,0.01932002418,0.02524946071,1.477641344,0.02493859828,0,0
airFoil2D_SST_33.984_-1.17_6.811_0.0_14.338,4.035388464,3.360157884,1219.099709,5.366629112,0.6723895669,0.01244576741,0.02455241419,0.01848673634,-0.1185160354,0.009997952729,0,0
airFoil2D_SST_34.806_8.99_2.295_5.593_1.0_19.795,2.074665808,1.426197815,964.2438908,4.126487153,0.6723895669,0.01244576741,0.02030233666,0.02180338092,1.025509834,0.01789497398,0,0
airFoil2D_SST_35.44_14.039_5.196_1.691_9.27,0.8284099759,0.9405688544,1670.617413,6.572028776,0.6723895669,0.01244576741,0.01711511239,0.02238269895,1.787724257,0.02860809118,0,0
