sim_name,p_rel_l2,tau_rel_l2,p_mae,tau_mae,cl_head,cd_head,cl_int,cd_int,cl_true,cd_true,sym_residual,antisym_cl_gap
airFoil2D_SST_31.283_-4.156_0.919_6.98_14.32,3.294948074,2.878684808,827.9860685,5.985079819,0.151789248,0.01295480691,0.02969032712,0.02024847828,-0.3210462332,0.01063739508,0.0001928968502,0.2512515187
airFoil2D_SST_31.468_13.713_3.339_3.51_6.993,0.9019568036,0.9429509093,2303.866678,9.068983533,1.27180624,0.01798686199,0.02138531394,0.02771673538,1.620353222,0.02925499529,0.0001928968502,0.5455520749
airFoil2D_SST_31.534_-3.342_0.303_3.977_17.149,3.349095577,3.45296868,874.3361309,5.776518838,-0.03392344713,0.01253895275,0.0292290803,0.02049010247,-0.309717983,0.0112127848,0.0001928968502,0.1822344065
airFoil2D_SST_32.432_14.036_6.578_2.722_5.928,0.9037856113,0.9949332601,2203.048207,8.206237976,1.516507626,0.02021453902,0.02005327307,0.02648627944,1.846978068,0.03541012481,0.0001928968502,0.978695631
airFoil2D_SST_33.137_-2.653_2.78_5.876_1.0_14.328,3.114597916,2.776087345,853.8209769,5.813010783,0.204175204,0.01236987021,0.02606108785,0.0188283138,-0.02958230674,0.01020305511,0.0001928968502,0.2447828352
airFoil2D_SST_33.16_12.978_4.208_5.336_7.291,0.9013625853,0.9266194079,2547.139537,9.660532215,1.434508085,0.01889371313,0.01960677654,0.02460603416,1.678831816,0.02765114233,0.0001928968502,0.874222517
airFoil2D_SST_33.272_14.436_4.837_2.403_9.237,0.859101311,0.9288232753,1701.280081,6.980507099,1.361100197,0.01934549399,0.01895723492,0.02529542334,1.775222182,0.03050182201,0.0001928968502,0.6069820523
airFoil2D_SST_33.312_-4.457_1.296_2.993_5.575,0.9962912302,1.308652725,877.4004289,8.079382676,0.005697548389,0.01006052271,0.02577486075,0.01753127575,-0.3537110686,0.009332218207,0.0001928968502,0.002512395382
airFoil2D_SST_33.33_14.375_1.036_3.451_12.655,0.8353323329,0.8829219797,1480.583947,6.69338005,1.089491367,0.01715223119,0.01905368827,0.02515268698,1.477641344,0.02493859828,0.0001928968502,0.0656144619
airFoil2D_SST_33.941_-4.025_1.706_6.295_1.0_12.199,2.393806176,2.140434983,772.4282558,6.218385468,0.07314097881,0.01156915445,0.02507925592,0.01722099446,-0.2691526115,0.009948133491,0.0001928968502,0.1044752002
airFoil2D_SST_34.136_14.393_2.103_3.685_0.0_6.065,0.9304252705,0.9643888011,2810.567372,10.11321509,1.122211099,0.01596303657,0.01786058955,0.02386775054,1.502096057,0.0345864445,0.0001928968502,0.1032913923
airFoil2D_SST_34.613_-4.801_4.017_0.0_12.213,2.181888056,2.077899766,751.5844922,6.325903956,-0.005862772465,0.01081323717,0.02433619834,0.01621976867,-0.5125815272,0.01041198336,0.0001928968502,0.02125626802
airFoil2D_SST_34.943_-3.548_0.916_2.445_11.722,2.676239703,2.188415714,798.8531707,6.055784727,-0.05664974451,0.01070934348,0.02348436229,0.01642592438,-0.2938226759,0.009715449996,0.0001928968502,0.1861334443
airFoil2D_SST_34.973_-4.736_2.29_6.323_9.19,1.638908854,1.691561678,726.8500968,6.819691136,0.2062187493,0.01151439641,0.02358018421,0.01576066203,-0.2121504247,0.009490421042,0.0001928968502,0.4438869655
airFoil2D_SST_35.32_-4.403_1.396_0.0_5.379,1.000236045,1.294330881,878.0746431,8.040825156,-0.1517322063,0.008915364742,0.02292577177,0.01560044568,-0.4802631438,0.009195334278,0.0001928968502,0.2978056073
airFoil2D_SST_35.399_-4.028_4.452_4.653_5.733,1.025707575,1.295673786,851.3500057,8.238625855,0.3511143327,0.01095000654,0.02272307128,0.0156186996,0.07075808942,0.009130680002,0.0001928968502,0.6745373011
airFoil2D_SST_35.424_-3.014_1.51_5.078_1.0_5.743,1.246007342,1.35783409,788.4146924,7.410622621,0.06896650791,0.009755415842,0.02242487483,0.01610926166,-0.2039197981,0.008673842065,0.0001928968502,0.02002710104
airFoil2D_SST_35.445_12.572_6.569_0.0_16.397,0.8188845695,0.9204495579,980.1191986,5.409737728,1.297199726,0.02065204084,0.01775627024,0.0219032187,1.226105928,0.01959559694,0.0001928968502,0.5641083121
airFoil2D_SST_35.44_14.039_5.196_1.691_9.27,0.8504478474,0.942408772,1598.765842,6.584479977,1.367348075,0.01917043328,0.01691695303,0.02227263711,1.787724257,0.02860809118,0.0001928968502,0.5787450075
airFoil2D_SST_35.575_-4.221_6.432_5.051_16.214,2.432591542,2.488578533,860.8207676,5.992590831,0.4463338852,0.01331927162,0.02320647612,0.01576577872,0.2215632796,0.01169918384,0.0001928968502,0.8832480311
airFoil2D_SST_36.077_-4.685_0.316_7.601_1.0_18.579,2.489619205,2.638366236,851.9479333,5.958009308,-0.04858392477,0.01244568918,0.02280000411,0.01518394984,-0.4319538176,0.0118119549,0.0001928968502,0.06161874533
airFoil2D_SST_36.198_-2.544_2.402_5.395_1.0_14.297,2.742059408,2.504817622,867.1671138,5.73760427,0.1424867511,0.01165607758,0.02179928869,0.01581130922,-0.06277164817,0.01000546478,0.0001928968502,0.1273337007
airFoil2D_SST_36.564_-3.341_0.981_5.647_1.0_9.449,2.129005034,1.786631346,766.9673316,6.339249957,0.01573133469,0.01030566171,0.02128196321,0.01503074635,-0.2763627768,0.009171822108,0.0001928968502,0.05021941662
airFoil2D_SST_36.716_13.365_2.832_4.656_6.353,0.9347458241,0.9473749353,3614.096193,12.64050766,1.347457409,0.01726358756,0.01581400074,0.0201648958,1.548651695,0.03142219409,0.0001928968502,0.5554921627
airFoil2D_SST_37.191_-4.384_1.742_3.249_0.0_5.697,1.952367587,1.628701237,697.1990781,6.8252776,-0.08958983421,0.008730772883,0.02070006356,0.01418899652,-0.3303033113,0.03460441902,0.0001928968502,0.1588099003
airFoil2D_SST_37.572_14.235_3.712_0.0_9.577,0.9069210156,0.901012252,2648.84034,9.937420104,1.18960762,0.01750683226,0.01492975466,0.01965196244,1.403351903,0.0253373608,0.0001928968502,0.1342686415
airFoil2D_SST_37.655_12.984_3.731_6.149_0.0_7.245,0.9058606097,0.9310972407,2484.709921,9.085789458,1.371516228,0.01746094413,0.01524354704,0.01925973594,1.62688303,0.0231014844,0.0001928968502,0.6101822853
airFoil2D_SST_37.804_-3.618_1.043_5.557_0.0_6.776,1.209169943,1.387527542,780.9273773,7.366931541,0.01075041294,0.009363476187,0.01986617409,0.01392199751,-0.303781867,0.008824780583,0.0001928968502,0.02526456118
airFoil2D_SST_38.052_-3.281_6.341_2.939_9.861,1.474881894,1.592931564,804.6371708,6.770753116,0.4112361968,0.01130659226,0.01976346038,0.01406086329,0.2807906866,0.009895913303,0.0001928968502,0.7451798618
airFoil2D_SST_38.274_12.815_1.091_3.782_1.0_13.709,0.83258298,0.8681015655,1392.097553,6.487392446,1.003878474,0.01606046595,0.01501586009,0.01876171678,1.348144889,0.01985839196,0.0001928968502,0.1278914213
airFoil2D_SST_38.382_-2.604_2.772_5.791_0.0_9.112,1.854397853,1.641857164,795.1850463,6.461173915,0.2083538175,0.01029114611,0.01915253513,0.01392548438,-0.0306372419,0.008971730247,0.0001928968502,0.2757228017
airFoil2D_SST_39.497_-4.94_0.473_3.219_1.0_16.447,2.051158665,2.123598637,837.5301853,6.174801759,-0.2973504066,0.0103068212,0.01894991286,0.01252823323,-0.4783183634,0.01114715543,0.0001928968502,0.4993523955
airFoil2D_SST_39.741_14.642_3.175_3.316_1.0_10.583,0.8812665766,0.8932163073,2061.430595,7.898329403,1.232825756,0.017526187,0.01326566935,0.01782261394,1.618652463,0.02643126249,0.0001928968502,0.1109170914
airFoil2D_SST_40.386_12.852_6.446_2.175_5.908,0.919596073,0.9717029438,2723.631884,9.000824717,1.527853489,0.01892359182,0.0133015858,0.01685144752,1.835400581,0.02533341199,0.0001928968502,0.8522250652
airFoil2D_SST_40.39_-2.548_1.735_6.956_1.0_14.447,2.331064198,2.23042423,902.98975,5.670161595,0.1500424147,0.01128993277,0.01749881543,0.01266403031,-0.09501345456,0.009857013822,0.0001928968502,0.161963582
airFoil2D_SST_40.539_-2.945_3.79_7.613_1.0_16.903,2.169665392,2.265431988,918.720631,5.775811468,0.3109146357,0.0123915365,0.01763215289,0.01255934313,0.08598602563,0.0107203899,0.0001928968502,0.523799777
airFoil2D_SST_40.585_14.545_0.315_2.716_9.25,0.923586673,0.9107833036,3259.783004,11.43960831,1.104964614,0.01548357308,0.01268842723,0.0168980509,1.449517965,0.02672524191,0.0001928968502,0.1667598486
airFoil2D_SST_40.758_12.911_3.336_5.667_0.0_6.882,0.9243772414,0.9361645157,3050.110785,10.52645649,1.343037128,0.01669434085,0.01300979406,0.01641339064,1.584694743,0.02216781862,0.0001928968502,0.4661511779
airFoil2D_SST_41.311_-3.941_2.322_4.945_6.189,1.016601892,1.270802808,880.2946873,8.229998385,0.157628119,0.009699577466,0.01665611379,0.0114830751,-0.1560763717,0.00861195568,0.0001928968502,0.3276843429
airFoil2D_SST_41.343_-4.157_6.892_0.0_19.804,2.074354288,2.330335362,932.7494392,5.874351113,0.1580634117,0.01188877411,0.01732397079,0.01175607182,-0.3955182433,0.01177091524,0.0001928968502,0.3502453566
airFoil2D_SST_41.402_13.739_1.243_5.342_1.0_17.799,0.8149973257,0.8460998288,1223.684671,6.00192683,1.137541175,0.01755356602,0.01274460275,0.01638730057,1.352400899,0.02486327477,0.0001928968502,0.04541599751
airFoil2D_SST_42.444_-2.735_2.719_5.132_0.0_18.918,2.082153323,2.299290649,946.5011477,5.613784948,0.09783035517,0.01143360604,0.01613341458,0.01157911401,-0.05645048618,0.01088625938,0.0001928968502,0.08512467146
airFoil2D_SST_42.531_-3.927_1.264_6.838_0.0_7.489,1.061986001,1.325795108,846.1913078,7.712084653,0.03966706991,0.009144103155,0.01577423699,0.01090627257,-0.3007561564,0.008814417757,0.0001928968502,0.0987136364
airFoil2D_SST_42.847_13.708_0.655_3.944_0.0_7.77,0.939824428,0.931365316,3837.917257,13.00164359,1.081756115,0.01452285144,0.01155999675,0.0149847595,1.411524177,0.02484939247,0.0001928968502,0.201544404
airFoil2D_SST_43.562_-3.431_1.767_5.139_0.0_15.991,1.988392237,1.984792606,906.4696306,5.91233265,-0.01929783821,0.01039881725,0.01528598275,0.01071360335,-0.2104423195,0.01021450758,0.0001928968502,0.06724894047
airFoil2D_SST_43.705_13.408_1.172_7.422_1.0_10.039,0.9112891814,0.8945798097,2964.216257,10.60989072,1.282530308,0.01630563848,0.01124986447,0.01436401531,1.464735389,0.02127373219,0.0001928968502,0.2051827908
airFoil2D_SST_44.227_-4.876_2.759_4.844_17.236,1.748317647,1.883595337,920.0562409,6.325203555,0.02576655149,0.01123022567,0.01511814073,0.01000604592,-0.2270797789,0.0108504761,0.0001928968502,0.1904681921
airFoil2D_SST_44.662_-4.881_1.733_0.0_7.201,0.9264068642,1.259276166,1005.139303,8.47237234,-0.2435756922,0.0078405682,0.01446471829,0.009652122855,-0.533626318,0.009193212725,0.0001928968502,0.3431146741
airFoil2D_SST_44.775_13.681_6.843_0.0_15.993,0.8522385508,0.842634828,1758.08524,7.640830007,1.442882538,0.02039386891,0.01084554289,0.01392451674,1.32709384,0.02113178186,0.0001928968502,0.4631193876
