sim_name,p_rel_l2,tau_rel_l2,p_mae,tau_mae,cl_head,cd_head,cl_int,cd_int,cl_true,cd_true,sym_residual,antisym_cl_gap
airFoil2D_SST_31.812_1.334_0.371_3.287_0.0_19.548,4.115039468,3.834839346,1219.550672,5.141383603,0.00574451685,0.01389966067,0.02753373981,0.02256356925,0.1494156718,0.01156413369,0,0.4098765254
airFoil2D_SST_31.863_-1.58_1.567_6.956_10.028,4.919262116,3.060042647,1192.541036,5.482572802,0.2513067722,0.01352816168,0.0276573319,0.02058024704,0.05126406252,0.009225948714,0,0.3348910809
airFoil2D_SST_32.137_12.122_4.854_5.202_9.247,0.8149842039,0.8992937603,1638.412189,7.102194973,1.41495049,0.02141561173,0.02162142657,0.02605357766,1.674978018,0.02423187718,0,0.9058064222
airFoil2D_SST_32.432_14.036_6.578_2.722_5.928,0.8806860763,0.993640535,2278.098051,8.203431938,1.490549803,0.02248790115,0.0202671513,0.02661927603,1.846978068,0.03541012481,0,0.9473845363
airFoil2D_SST_32.66_1.2_3.249_6.689_1.0_18.317,3.875185315,3.690562152,1228.888484,5.14191875,0.4226873517,0.01474353857,0.02609208226,0.02134069614,0.4176615775,0.01192494482,0,0.3643779755
airFoil2D_SST_32.892_-0.128_5.528_3.635_15.155,3.906777271,3.550707672,1225.78616,5.282600455,0.4838595688,0.01423583552,0.02592372708,0.02032684907,0.5279270411,0.01148022804,0,0.5942362845
airFoil2D_SST_33.012_6.968_1.841_4.84_5.618,0.8672896129,0.9444488334,1420.72893,8.042875874,0.6897163987,0.01235242281,0.02245517075,0.02264535986,0.9567072988,0.01227645855,0,0.54463166
airFoil2D_SST_33.33_14.375_1.036_3.451_12.655,0.8124267377,0.8808495459,1544.72588,6.679108251,1.108406067,0.01977309585,0.01931981742,0.02524938621,1.477641344,0.02493859828,0,0.01110827923
airFoil2D_SST_33.984_-1.17_6.811_0.0_14.338,4.035388464,3.360157884,1219.099709,5.366629112,0.3799794912,0.01365304086,0.02455256321,0.0184867084,-0.1185160354,0.009997952729,0,0.4412636161
airFoil2D_SST_34.806_8.99_2.295_5.593_1.0_19.795,2.074665808,1.426197815,964.2438908,4.126487153,1.03249979,0.0180847235,0.02030238137,0.0218034368,1.025509834,0.01789497398,0,0.3217407465
airFoil2D_SST_35.44_14.039_5.196_1.691_9.27,0.8284099759,0.9405688544,1670.617413,6.572028776,1.356498957,0.02143865824,0.01711472124,0.02238268033,1.787724257,0.02860809118,0,0.5467655063
airFoil2D_SST_35.49_10.54_0.884_6.154_1.0_10.173,0.8356889916,0.8930857506,1422.032437,6.683341282,1.064209819,0.01726469398,0.01837667264,0.02100816555,1.184661388,0.01546059549,0,0.1723274589
airFoil2D_SST_35.507_5.777_1.428_6.645_0.0_10.474,1.939213614,1.088554251,927.136171,4.765450605,0.5789194703,0.01245434489,0.02005218342,0.01939160749,0.765158236,0.01096434426,0,0.353633076
airFoil2D_SST_35.516_-1.874_3.784_5.907_1.0_18.714,3.430316012,3.127800509,1218.405883,5.537379069,0.26508829,0.014133933,0.0230628103,0.01689736173,0.1334129274,0.01132505853,0,0.2877432406
airFoil2D_SST_36.155_8.69_3.296_7.636_1.0_8.571,0.8678790226,0.9104212511,1191.679901,6.226655811,1.272040486,0.01808049157,0.01829669997,0.01961529255,1.273425817,0.01437043864,0,0.7851822376
airFoil2D_SST_37.191_5.448_2.812_0.0_12.933,2.226261266,1.166795257,989.9977906,4.464434178,0.457116127,0.01144164242,0.01851281151,0.01765237004,0.5829787254,0.01075567957,0,0.1143414676
airFoil2D_SST_37.251_6.299_1.193_5.155_17.506,2.432528917,1.372533411,1032.317951,4.095844693,0.562607348,0.01242647786,0.01841925271,0.01800778136,0.7558131814,0.01295448467,0,0.2953277826
airFoil2D_SST_37.291_-2.407_6.767_0.0_6.039,3.203650619,1.582035724,1060.603298,6.289467288,0.3835553527,0.0118973637,0.02031859942,0.01475667953,-0.2631423175,0.008393038064,0,0.5665078163
airFoil2D_SST_38.268_-1.682_6.363_5.449_13.343,3.05199854,2.517705689,1255.234679,5.31987241,0.5792344213,0.01323579345,0.01942248829,0.01435350534,0.5399146676,0.01120305341,0,0.9032874703
airFoil2D_SST_38.731_9.437_2.626_6.388_1.0_14.922,1.116490653,0.9612172001,892.0287283,4.907471516,1.173986793,0.01759363711,0.01599419676,0.01752221026,1.197959661,0.01623897441,0,0.4753826857
airFoil2D_SST_39.019_-2.224_0.696_4.875_13.154,3.264559551,2.396418371,1212.615791,5.535058862,0.006105482578,0.01168351993,0.0187993329,0.01363089588,-0.1619052142,0.009600533172,0,0.06619536877
