sim_name,p_rel_l2,tau_rel_l2,p_mae,tau_mae,cl_head,cd_head,cl_int,cd_int,cl_true,cd_true,sym_residual,antisym_cl_gap
airFoil2D_SST_31.382_3.588_1.994_6.206_0.0_13.271,5.140828835,2.594812458,1301.208257,4.999569003,0.6262749434,0.0122635588,0.02944408357,0.02478318103,0.5692192912,0.01092164312,0.001017401897,0.6494073868
airFoil2D_SST_31.68_0.424_0.273_4.301_1.0_11.616,5.410885492,3.733257832,1354.833288,5.458903326,0.1970086694,0.01129461639,0.03006108105,0.02262335084,0.06675511599,0.009451651946,0.001017401897,0.02906578779
airFoil2D_SST_31.803_7.291_3.243_6.962_0.0_10.641,2.026059259,1.23600536,1008.790648,4.97531148,0.9778158665,0.01294028107,0.02688134275,0.02583570965,1.10050714,0.01345183328,0.001017401897,1.069435298
airFoil2D_SST_31.812_1.334_0.371_3.287_0.0_19.548,4.597932822,4.136715483,1370.161756,5.51972504,0.2020694315,0.01095968485,0.03018131293,0.02324064262,0.1494156718,0.01156413369,0.001017401897,0.03015613556
airFoil2D_SST_32.499_12.136_1.194_6.108_1.0_8.121,0.8458719684,0.9181581159,1939.660043,8.197740618,1.260848522,0.01765288785,0.02338359691,0.02668959461,1.349646211,0.01973366365,0.001017401897,0.5501412153
airFoil2D_SST_32.642_-0.627_0.31_3.451_0.0_8.252,5.823395333,3.058431526,1336.764795,5.64848054,0.1052017808,0.01066275407,0.02847242728,0.02071371116,-0.04785453156,0.008720623329,0.001017401897,0.07525759935
airFoil2D_SST_32.66_1.2_3.249_6.689_1.0_18.317,4.323555922,3.98059258,1379.499568,5.520260187,0.6329399347,0.01227707136,0.02859648131,0.02197693475,0.4176615775,0.01192494482,0.001017401897,0.8326993585
airFoil2D_SST_32.677_5.679_0.493_6.223_1.0_9.86,2.21892485,1.17823941,1052.018695,5.13738394,0.6301468611,0.01204928383,0.02606554516,0.02367618866,0.6611272693,0.01061729621,0.001017401897,0.4876182675
airFoil2D_SST_32.706_8.859_2.638_5.49_0.0_18.856,2.62064186,1.678360579,1098.658467,4.557760422,1.284698486,0.01765617728,0.02537248842,0.02556031197,1.055125594,0.01774419099,0.001017401897,0.8431910276
airFoil2D_SST_32.717_11.377_2.913_6.33_1.0_13.804,1.077991904,1.065944967,952.2299541,5.161628871,1.398915052,0.01889930107,0.02380963042,0.02632229961,1.386225343,0.02006067149,0.001017401897,0.8811007738
airFoil2D_SST_32.902_8.203_2.59_6.258_1.0_14.519,2.166622532,1.37713813,1035.244526,4.613610425,0.9472619295,0.01266302355,0.0249918811,0.02470983006,1.079285979,0.01491541509,0.001017401897,0.9208052754
airFoil2D_SST_32.966_-0.849_3.413_3.675_1.0_19.214,4.392397482,4.103215966,1365.509733,5.787274376,0.3519311249,0.01139819343,0.02894480713,0.0207185857,0.1367206424,0.01144481823,0.001017401897,0.4299567044
airFoil2D_SST_33.137_-2.653_2.78_5.876_1.0_14.328,4.600833575,2.973441679,1299.452386,6.193417639,0.3326352835,0.01170901954,0.02878040634,0.01930603571,-0.02958230674,0.01020305511,0.001017401897,0.5357266665
airFoil2D_SST_33.163_-1.909_2.306_3.054_0.0_11.764,5.06345792,2.77507029,1292.692029,6.119927709,0.1738777757,0.01079512015,0.02828811668,0.0196339488,-0.06056886166,0.009507825598,0.001017401897,0.1600151062
airFoil2D_SST_33.187_10.15_2.61_7.828_0.0_5.27,0.8746625263,0.9649365914,2254.46973,10.11093226,1.455938339,0.01845262386,0.02317205258,0.02466217615,1.322238684,0.01932104491,0.001017401897,1.076436073
airFoil2D_SST_33.191_2.869_2.039_7.426_1.0_13.149,4.698582675,2.564002382,1329.38758,4.970218143,0.6780692339,0.01221705973,0.02657848224,0.02177664638,0.5230796933,0.01059215888,0.001017401897,0.79201442
airFoil2D_SST_33.243_9.415_0.453_6.549_1.0_9.924,0.9080123801,0.9321204028,1238.009043,6.309697745,1.185565948,0.01622395217,0.0236452315,0.02446956374,1.040150523,0.01391228475,0.001017401897,0.5863800645
airFoil2D_SST_33.798_10.426_3.185_5.957_0.0_11.232,0.9854751236,0.9902059439,1057.44941,5.615311599,1.402758837,0.01844192669,0.02255519666,0.02420815267,1.357674122,0.01717693731,0.001017401897,0.9354837537
airFoil2D_SST_33.846_6.261_0.922_3.023_1.0_12.36,2.495374876,1.320774473,1087.812303,4.773051032,0.5264337063,0.01112299226,0.0242304001,0.02244279534,0.7245303392,0.01148311514,0.001017401897,0.2171877027
airFoil2D_SST_33.941_-4.025_1.706_6.295_1.0_12.199,3.607457143,2.272933074,1201.243524,6.596966709,0.1925155818,0.01136470214,0.02766979858,0.0176167246,-0.2691526115,0.009948133491,0.001017401897,0.3729093373
airFoil2D_SST_34.136_14.393_2.103_3.685_0.0_6.065,0.9029318394,0.9616205725,2964.305235,10.32618567,1.264269352,0.01816184446,0.02011019178,0.02513692901,1.502096057,0.0345864445,0.001017401897,0.3363500237
airFoil2D_SST_34.283_1.149_2.438_6.56_0.0_11.452,4.549802884,3.143097627,1369.962862,5.276803241,0.5774435401,0.011569486,0.02541351505,0.01963695884,0.3659406304,0.009723678231,0.001017401897,0.7204469442
airFoil2D_SST_34.55_9.924_0.765_3.332_0.0_6.065,0.8741653752,0.943928378,2125.248239,9.350177084,1.05268383,0.01546198316,0.02148985304,0.02282366715,1.093092084,0.01613582857,0.001017401897,0.2524289489
airFoil2D_SST_34.806_8.99_2.295_5.593_1.0_19.795,2.346933484,1.529258118,1092.475273,4.457293486,1.287446499,0.01713917032,0.02242024243,0.02266074903,1.025509834,0.01789497398,0.001017401897,0.7943293452
airFoil2D_SST_34.878_7.93_3.081_6.388_1.0_15.071,2.211618773,1.347735687,1058.438568,4.520083383,1.02481401,0.01226405893,0.0223947186,0.02191828005,1.093785763,0.0151553005,0.001017401897,1.05904144
airFoil2D_SST_35.112_7.306_1.701_4.965_1.0_14.943,2.33478574,1.355666917,1079.120532,4.565665468,0.7943499088,0.01156219188,0.02229943126,0.02137609385,0.893651247,0.01324825548,0.001017401897,0.6474001408
airFoil2D_SST_35.424_-3.014_1.51_5.078_1.0_5.743,1.755019847,1.404884687,1116.03833,7.787750763,0.1602855325,0.01072311215,0.02476863004,0.01657932997,-0.2039197981,0.008673842065,0.001017401897,0.23410815
airFoil2D_SST_35.429_-0.673_3.556_7.908_1.0_10.289,4.347119163,2.71483252,1356.086955,5.760800741,0.6388193965,0.01192361582,0.02430731617,0.0175636299,0.3331289887,0.009499906562,0.001017401897,0.9893345833
airFoil2D_SST_35.486_8.246_3.212_7.038_0.0_8.761,1.016134932,0.9485736691,1094.951677,5.996992339,1.45033288,0.01780273765,0.02114113234,0.02104127966,1.203431129,0.01371342223,0.001017401897,1.168898404
airFoil2D_SST_35.49_10.54_0.884_6.154_1.0_10.173,0.8428566736,0.8974824242,1470.749529,6.856665661,1.248394251,0.01641967334,0.02032912336,0.02188279293,1.184661388,0.01546059549,0.001017401897,0.5726411939
airFoil2D_SST_35.507_5.777_1.428_6.645_0.0_10.474,2.193067204,1.143363752,1060.907283,4.98581272,0.7961465716,0.01150569692,0.02206900716,0.0200979989,0.765158236,0.01096434426,0.001017401897,0.7703691721
airFoil2D_SST_35.516_-1.874_3.784_5.907_1.0_18.714,3.822650283,3.351139243,1369.016967,5.91400034,0.4639775157,0.01142809261,0.02520994283,0.01732398383,0.1334129274,0.01132505853,0.001017401897,0.7410123348
airFoil2D_SST_35.655_-1.157_0.274_7.435_1.0_6.16,5.366172361,2.116277059,1312.645818,5.845124042,0.3145675659,0.01105239615,0.02392304502,0.01707589813,-0.09714650363,0.00825944636,0.001017401897,0.3877459764
airFoil2D_SST_35.823_8.293_0.329_6.252_0.0_11.422,1.089721592,0.9565881696,1046.779715,5.666233522,1.179489136,0.01508218888,0.02085417323,0.02071570233,0.9117211103,0.01262109075,0.001017401897,0.6107694507
airFoil2D_SST_35.839_-2.434_2.439_5.397_1.0_6.142,1.995410485,1.448134846,1130.958697,7.561932228,0.2900931537,0.01092946157,0.02406402677,0.01645861566,-0.05456737429,0.008642389439,0.001017401897,0.4444321096
airFoil2D_SST_35.856_7.149_0.902_4.514_0.0_12.985,1.82371995,1.143869976,1027.89833,4.880937146,0.7166293263,0.01099295821,0.02131100185,0.02035409585,0.8258786201,0.01215830725,0.001017401897,0.4939184487
airFoil2D_SST_36.026_2.687_1.952_5.57_1.0_8.173,4.54480152,1.734002878,1309.097476,4.575088695,0.5799373388,0.01105736755,0.0223464705,0.0183445774,0.4688556194,0.009180890396,0.001017401897,0.5886372328
airFoil2D_SST_36.077_-4.685_0.316_7.601_1.0_18.579,3.622764945,2.821761949,1291.352926,6.336355537,0.1132537127,0.01089843269,0.02514592372,0.0154720135,-0.4319538176,0.0118119549,0.001017401897,0.2903663516
airFoil2D_SST_36.155_8.69_3.296_7.636_1.0_8.571,0.8982561643,0.9183958697,1241.830637,6.407598312,1.502159119,0.01814393699,0.02019668929,0.02039007284,1.273425817,0.01437043864,0.001017401897,1.223085791
airFoil2D_SST_36.198_-2.544_2.402_5.395_1.0_14.297,3.995243134,2.682035223,1312.798523,6.117174159,0.2802988291,0.01084107719,0.02407966368,0.01621831767,-0.06277164817,0.01000546478,0.001017401897,0.435791254
