case_id,sim,model,cd_airfrans,cl_airfrans,cd_fluent,cl_fluent,delta_cd,delta_cl,reldelta_cd,reldelta_cl
offset_1_naca0016_a2p4,airFoil2D_SST_60.541_2.401_0.081_0.0_16.295,sa,0.009701866656541824,0.25090283155441284,0.01048208744382088,0.2608724352006407,0.0007802207872790561,0.009969603646227843,0.08041965684541384,0.03973491883078152
offset_1_naca0016_a2p4,airFoil2D_SST_60.541_2.401_0.081_0.0_16.295,sst,0.009701866656541824,0.25090283155441284,0.01019218546733952,0.2505243573293369,0.0004903188107976963,-0.0003784742250759199,0.05053860542054365,-0.00150844939744668
offset_2_naca0109_a8p6,airFoil2D_SST_62.607_8.578_0.875_0.0_8.812,sa,0.011507520452141762,0.9258393049240112,0.01300764594684594,0.9410598244289289,0.0015001254947041784,0.015220519504917651,0.1303604456705508,0.016439699010366474
offset_2_naca0109_a8p6,airFoil2D_SST_62.607_8.578_0.875_0.0_8.812,sst,0.011507520452141762,0.9258393049240112,0.01303900946250816,0.9344288633836425,0.0015314890103663974,0.008589558459631275,0.1330859255680366,0.009277591061373516
offset_3_naca2211_a3p3,airFoil2D_SST_71.226_3.333_2.424_2.411_10.928,sa,0.009051933884620667,0.6070307493209839,0.009919041598157203,0.6245228282434895,0.000867107713536536,0.017492078922505594,0.0957925372179045,0.028815803716816635
offset_3_naca2211_a3p3,airFoil2D_SST_71.226_3.333_2.424_2.411_10.928,sst,0.009051933884620667,0.6070307493209839,0.009785736801951722,0.6224095888683895,0.0007338029173310553,0.015378839547405598,0.08106587240741941,0.025334531347231015
offset_4_naca2710_am1p6,airFoil2D_SST_31.863_-1.58_1.567_6.956_10.028,sa,0.009225948713719845,0.05126406252384186,0.009718763031407682,0.06346490013363361,0.0004928143176878372,0.012200837609791751,0.053416112855144804,0.2379998191543519
offset_4_naca2710_am1p6,airFoil2D_SST_31.863_-1.58_1.567_6.956_10.028,sst,0.009225948713719845,0.05126406252384186,0.009553131765836262,0.06102411948051302,0.00032718305211641707,0.009760056956671162,0.03546335041185145,0.1903878950703909
offset_5_naca0010_a3p8,airFoil2D_SST_93.213_3.79_0.418_0.0_9.665,sa,0.008057542145252228,0.4185880720615387,0.008809709685760043,0.4258751011218523,0.0007521675405078154,0.007287029060313588,0.09334950124350483,0.017408592233469772
offset_5_naca0010_a3p8,airFoil2D_SST_93.213_3.79_0.418_0.0_9.665,sst,0.008057542145252228,0.4185880720615387,0.008598641166918112,0.4248886650933543,0.0005410990216658841,0.006300593031815627,0.06715435202342909,0.01505201283157764
offset_6_naca5_17_a0p9,airFoil2D_SST_64.144_0.932_1.956_3.115_0.0_17.336,sa,0.009805364534258842,0.21855337917804718,0.01081666161409946,0.2297800361460694,0.001011297079840618,0.01122665696802222,0.10313712216483738,0.05136803196658097
