case_id,arm,model,K,naca,re,aoa_deg,status,cd_fluent,cd_fluent_corrected,cl_fluent,cl_fluent_corrected,cd_int_mean,cd_int_std,cd_head_mean,cd_head_std,cl_int_mean,cl_int_std,cl_head_mean,cl_head_std,err_cd_int,err_cd_head,err_cl_int,err_cl_head,fsc,q90_halfwidth_cd_int,q90_halfwidth_cd_head,covered90_cd_int,covered90_cd_head,pred_source
al_acq_naca0010_re3e6_a18,acquisition,transolver,5,0010,3000000.0,18.0,diverged,4.759925837851459e+86,4.759925837851459e+86,1.003253796376343e+88,1.003253796376343e+88,0.16546206772327424,0.195430033110687,0.04078697189688683,0.0022811560061550586,2.351802039146423,0.40211271753431566,1.6290982961654663,0.047024239539096825,nan,nan,nan,nan,0.12467509582638742,0.0030909661203622828,0.00043474845588207384,,,score_pool
al_acq_naca0010_re7e6_a18,acquisition,transolver,5,0010,7000000.0,18.0,diverged,-2.617874504553676e+77,-2.617874504553676e+77,9.631497962325955e+78,9.631497962325955e+78,0.3431027546525002,0.17039090436982401,0.031224514171481133,0.002983808560601233,2.3671700716018678,0.2892414872393951,1.5378357648849488,0.20398057855224933,nan,nan,nan,nan,0.31187824048101903,0.0030909661203622828,0.00043474845588207384,,,score_pool
al_acq_naca0015_re6e6_a18,acquisition,transolver,5,0015,6000000.0,18.0,diverged,-2.075194625355277e+93,-2.075194625355277e+93,-8.156634963804784e+96,-8.156634963804784e+96,0.10882123112678528,0.24050992040356042,0.031656397879123686,0.002248491518570928,2.4696812629699707,0.2758093036036064,1.5920248985290528,0.112168956639065,nan,nan,nan,nan,0.0771648332476616,0.0030909661203622828,0.00043474845588207384,,,score_pool
al_acq_naca24015_re7e6_a18,acquisition,transolver,5,24015,7000000.0,18.0,diverged,2.848177194021061e+43,2.848177194021061e+43,-1.194901779093571e+43,-1.194901779093571e+43,0.13336946070194244,0.18656473074963745,0.03229707404971123,0.0022102972489030613,2.411327838897705,0.22354322715473707,1.6176295280456543,0.16532448449193987,nan,nan,nan,nan,0.10107238665223121,0.0030909661203622828,0.00043474845588207384,,,score_pool
al_acq_naca2410_re5e6_a18,acquisition,transolver,5,2410,5000000.0,18.0,diverged,4.20513649951044e+98,4.20513649951044e+98,-7.966097562414808e+97,-7.966097562414808e+97,0.19111471772193908,0.177551258710055,0.03738934472203255,0.0010987312846438585,2.394679856300354,0.26192293585897247,1.7218120098114014,0.07805242725878118,nan,nan,nan,nan,0.15372537299990652,0.0030909661203622828,0.00043474845588207384,,,score_pool
al_acq_naca33012_re7e6_a18,acquisition,transolver,5,33012,7000000.0,18.0,diverged,-1.286300632386008e+99,-1.286300632386008e+99,-5.426346458419336e+99,-5.426346458419336e+99,0.18751347996294498,0.17064487161028938,0.03252323940396309,0.0023479775517742493,2.2822508335113527,0.2700416773412958,1.6148645401000976,0.18241878714865487,nan,nan,nan,nan,0.1549902405589819,0.0030909661203622828,0.00043474845588207384,,,score_pool
al_acq_naca4410_re7e6_a18,acquisition,transolver,5,4410,7000000.0,18.0,diverged,-5.90382628445189e+99,-5.90382628445189e+99,-1.877783904687683e+101,-1.877783904687683e+101,0.20280492007732392,0.15839059780301187,0.034897607564926145,0.0024152441838149862,2.2425109148025513,0.33909353437617135,1.675866436958313,0.2361086554256324,nan,nan,nan,nan,0.16790731251239777,0.0030909661203622828,0.00043474845588207384,,,score_pool
al_acq_naca4415_re7e6_a18,acquisition,transolver,5,4415,7000000.0,18.0,diverged,1.476640512375506e+98,1.476640512375506e+98,1.92393706722437e+100,1.92393706722437e+100,0.15787395946681498,0.18467698017551903,0.03497860878705979,0.001762873393226771,2.67916579246521,0.4213274299005502,1.7052302837371827,0.17706009947494988,nan,nan,nan,nan,0.1228953506797552,0.0030909661203622828,0.00043474845588207384,,,score_pool
al_rand_naca0010_re7e6_a6,random,transolver,5,0010,7000000.0,6.0,converged,0.009794227190491759,0.008893605034899086,0.6703239045171162,0.6580911168984864,0.04404000751674175,0.018431818525742858,0.010501828603446483,0.0003810783513245455,1.0348596096038818,0.23454179094778985,0.7329237580299377,0.047254196935187995,0.03514640248184267,0.0016082235685473973,0.37676849270539536,0.07483264113145127,0.03353817891329527,0.0030909661203622828,0.00043474845588207384,False,False,score_pool
al_rand_naca22012_re3e6_a12,random,transolver,5,22012,3000000.0,12.0,quasi_steady,0.01943327861487682,0.018532656459284147,1.357544227399134,1.3453114397805044,-0.021694222651422023,0.055213039962743383,0.02463471069931984,0.0028883516371739065,1.7333691596984864,0.20371936659282083,1.300360870361328,0.06083594184370027,-0.040226879110706174,0.006102054240035692,0.388057719917982,-0.0449505694191763,0.04632893335074186,0.0030909661203622828,0.00043474845588207384,False,False,score_pool
al_rand_naca2410_re2e6_a18,random,transolver,5,2410,2000000.0,18.0,diverged,2.670691706153084e+16,2.670691706153084e+16,8.056372726697165e+16,8.056372726697165e+16,0.03216020573599963,0.12974798048890507,0.044008099287748334,0.0029086372358520574,2.162027096748352,0.2850458807414081,1.5605737686157226,0.05373743361756789,nan,nan,nan,nan,0.011847893551748707,0.0030909661203622828,0.00043474845588207384,,,score_pool
al_rand_naca2415_re6e6_a0,random,transolver,5,2415,6000000.0,0.0,converged,0.00946058505929252,0.008559962903699845,0.2245047724320183,0.21227198481338852,0.05640423521399498,0.00746669423629542,0.009230463206768036,0.00017628146031625983,0.1384664200246334,0.06109544938338322,0.13544303178787231,0.03552768990859675,0.04784427231029513,0.0006705003030681913,-0.07380556478875511,-0.0768289530255162,0.047173772007226944,0.0030909661203622828,0.00043474845588207384,False,False,score_pool
al_rand_naca32015_re7e6_a18,random,transolver,5,32015,7000000.0,18.0,diverged,-1.220308021262662e+86,-1.220308021262662e+86,-3.968213237314786e+87,-3.968213237314786e+87,0.12996826488524676,0.19019994002443144,0.03214329481124878,0.002190292351852581,2.3479922294616697,0.21874951865234885,1.612050199508667,0.16343212490231104,nan,nan,nan,nan,0.09782497007399799,0.0030909661203622828,0.00043474845588207384,,,score_pool
al_rand_naca33012_re6e6_am6,random,transolver,5,33012,6000000.0,-6.0,converged,0.01020161177850081,0.009300989622908137,-0.4718244455496277,-0.4840572331682575,0.04362693727016449,0.004276054512555061,0.009883490577340125,0.0005466489408406674,-0.6155494928359986,0.19152204357003577,-0.517782199382782,0.17081470072591282,0.034325947647256355,0.000582500954431988,-0.13149225966774108,-0.03372496621452453,0.033743446692824364,0.0030909661203622828,0.00043474845588207384,False,False,score_pool
al_rand_naca4412_re7e6_a18,random,transolver,5,4412,7000000.0,18.0,quasi_steady,0.1143191526821818,0.11341853052658914,1.716867844427101,1.7046350568084714,0.18657665178179741,0.17047712622007732,0.03490546271204949,0.002017518876222987,2.43689022064209,0.3599336853910932,1.694727110862732,0.19859536769273856,0.07315812125520828,-0.07851306781453965,0.7322551638336185,-0.009907945945739405,0.1516711890697479,0.0030909661203622828,0.00043474845588207384,False,False,score_pool
al_rand_naca4415_re2e6_a0,random,transolver,5,4415,2000000.0,0.0,converged,0.01166529433833695,0.010764672182744277,0.4295811354919816,0.41734834787335184,0.04016687758266926,0.020281364631854402,0.012717864103615284,0.0006264602009087006,0.3402858316898346,0.05212255677938995,0.2951964259147644,0.04218219874417217,0.02940220539992498,0.001953191920871006,-0.07706251618351723,-0.12215192195858743,0.02744901347905397,0.0030909661203622828,0.00043474845588207384,False,False,score_pool
al_var_naca0010_re3e6_a18,variance,transolver,5,0010,3000000.0,18.0,diverged,4.759925837851459e+86,4.759925837851459e+86,1.003253796376343e+88,1.003253796376343e+88,0.16546208113431932,0.19543006238408475,0.04078697115182876,0.0022811548430505817,2.351802039146423,0.402112838890752,1.6290983200073241,0.04702423856391875,nan,nan,nan,nan,0.12467510998249055,0.0030909661203622828,0.00043474845588207384,,,score_pool
al_var_naca0010_re6e6_a18,variance,transolver,5,0010,6000000.0,18.0,diverged,9.889275284792381e+95,9.889275284792381e+95,-4.93758075438704e+95,-4.93758075438704e+95,0.3211359042674303,0.19762569013787623,0.03241103813052178,0.0025176636112140467,2.517256808280945,0.344132368331481,1.5999294519424438,0.1264841557919777,nan,nan,nan,nan,0.28872486613690856,0.0030909661203622828,0.00043474845588207384,,,score_pool
al_var_naca0015_re6e6_a18,variance,transolver,5,0015,6000000.0,18.0,diverged,-2.075194625355277e+93,-2.075194625355277e+93,-8.156634963804784e+96,-8.156634963804784e+96,0.10882116258144378,0.24050997321323658,0.03165639713406563,0.0022484914495998817,2.469681406021118,0.2758090864591753,1.5920248985290528,0.11216878170629775,nan,nan,nan,nan,0.07716476544737816,0.0030909661203622828,0.00043474845588207384,,,score_pool
al_var_naca22015_re7e6_a18,variance,transolver,5,22015,7000000.0,18.0,diverged,1.11367761742687e+99,1.11367761742687e+99,-3.251127505987094e+100,-3.251127505987094e+100,0.14385087341070174,0.20001152994631274,0.03159914091229439,0.002433695276585632,2.368973970413208,0.2076325827058035,1.592344880104065,0.16586153796074823,nan,nan,nan,nan,0.11225173249840735,0.0030909661203622828,0.00043474845588207384,,,score_pool
al_var_naca24015_re5e6_a18,variance,transolver,5,24015,5000000.0,18.0,diverged,-1.4430032336942e+98,-1.4430032336942e+98,1.239433789193163e+100,1.239433789193163e+100,0.028989345673471688,0.19351463293267648,0.03701614737510681,0.0011240346292453267,2.2965278148651125,0.17466754884549338,1.7091584920883178,0.07703402087046267,nan,nan,nan,nan,0.008026801701635125,0.0030909661203622828,0.00043474845588207384,,,score_pool
al_var_naca2415_re7e6_a18,variance,transolver,5,2415,7000000.0,18.0,diverged,1.177500478392463e+96,1.177500478392463e+96,-1.048882324605794e+98,-1.048882324605794e+98,0.14879244118928908,0.1909367883978814,0.03280973881483078,0.002255406563881735,2.5022736549377442,0.24755235576996495,1.6349870681762695,0.1716362499870558,nan,nan,nan,nan,0.1159827023744583,0.0030909661203622828,0.00043474845588207384,,,score_pool
al_var_naca32012_re6e6_a18,variance,transolver,5,32012,6000000.0,18.0,converged,0.1662419920093399,0.16534136985374723,1.993301247476732,1.9810684598581023,0.1481464147567749,0.19299948405119463,0.03367144465446472,0.0016072008227107284,2.3230863571166993,0.2069358274951881,1.6580026388168334,0.12115390733528217,-0.01719495509697233,-0.1316699251992825,0.342017897258597,-0.3230658210412689,0.11447497010231017,0.0030909661203622828,0.00043474845588207384,False,False,score_pool
al_var_naca4415_re6e6_a18,variance,transolver,5,4415,6000000.0,18.0,diverged,2.735064878775752e+96,2.735064878775752e+96,9.253019656770345e+97,9.253019656770345e+97,0.0756229804828763,0.19351613416320013,0.03731965124607086,0.000986087323393786,2.582230234146118,0.2650480508803131,1.7816205978393556,0.128726022218452,nan,nan,nan,nan,0.03830332923680544,0.0030909661203622828,0.00043474845588207384,,,score_pool
gridstudy_naca0012_re3e6_a5_L2,gridstudy,transolver,5,0012,3000000.0,5.0,converged,0.01075519408233563,0.009854571926742956,0.5529727501678109,0.5407399625491811,0.021603768318891527,0.00732579809878364,0.01198569368571043,0.00047361304409740634,0.7244916558265686,0.09794854024258522,0.5282556295394898,0.0246269452690887,0.01174919639214857,0.0021311217589674736,0.1837516932773875,-0.012484333009691317,0.009618074633181097,0.0030909661203622828,0.00043474845588207384,False,False,score_pool
offset_1_naca0016_a2p4,offset,transolver,5,0016,3906337.720820305,2.4010000228881836,converged,0.01048208744382088,0.009581465288228206,0.2608724352006407,0.2486396475820109,0.009958158247800001,0.00017914242436254128,0.0096998956054,3.870527343201066e-06,0.2530075997,0.002454232358291486,0.25134019848,0.000824903792917958,0.00037669295957179494,0.00011843031717179327,0.004367952117989071,0.0027005508979890958,0.00025826264240000167,0.0030909661203622828,0.00043474845588207384,True,True,per_sim
offset_2_naca0109_a8p6,offset,transolver,5,1009,4039643.846785233,8.57800006866455,converged,0.01300764594684594,0.012107023791253266,0.9410598244289289,0.9288270368102991,0.011415117608,0.00044852333944492626,0.011542119644,5.453468014359353e-05,0.9381460309000001,0.0065923798508800945,0.9315464616,0.004451134739620846,-0.0006919061832532658,-0.0005649041472532666,0.00931899408970105,0.002719424789700886,0.00012700203599999918,0.0030909661203622828,0.00043474845588207384,True,False,per_sim
offset_3_naca2211_a3p3,offset,transolver,5,2211,4595774.775998254,3.3329999446868896,converged,0.009919041598157203,0.00901841944256453,0.6245228282434895,0.6122900406248597,0.0090264650064,0.0002086576798914092,0.009050242416600001,1.5549647077235483e-05,0.60435981748,0.004619159509065112,0.60492768288,0.004086520696751248,8.04556383546956e-06,3.182297403547113e-05,-0.007930223144859694,-0.0073623577448597155,2.377741020000157e-05,0.0030909661203622828,0.00043474845588207384,True,True,per_sim
offset_4_naca2710_am1p6,offset,transolver,5,2710,2055923.1172781568,-1.5800000429153442,converged,0.009718763031407682,0.00881814087581501,0.06346490013363361,0.051232112515003835,0.009188888222,0.0004148505777881329,0.0091985180974,1.5305322907692013e-05,0.033633229136000004,0.005285202462265094,0.028983640669999998,0.002352137491172996,0.0003707473461849898,0.0003803772215849911,-0.01759888337900383,-0.022248471845003837,9.629875400001334e-06,0.0030909661203622828,0.00043474845588207384,True,True,per_sim
offset_5_naca0010_a3p8,offset,transolver,5,0010,6014460.378164495,3.7899999618530273,converged,0.008809709685760043,0.00790908753016737,0.4258751011218523,0.4136423135032225,0.0081491965798,0.0003314058996575304,0.008063961938000002,1.1712556274819769e-05,0.42362998129999996,0.0027390476826023697,0.41484479903999993,0.004060704733252274,0.0002401090496326301,0.00015487440783263154,0.009987667796777455,0.0012024855367774312,8.523464179999857e-05,0.0030909661203622828,0.00043474845588207384,True,True,per_sim
offset_6_naca5_17_a0p9,offset,transolver,5,5_17,4138816.905586573,0.9319999814033508,quasi_steady,0.01081666161409946,0.009916039458506786,0.2297800361460694,0.21754724852743962,0.0102043472224,0.00037425924601564026,0.0097748707982,9.076731108088045e-06,0.21942952574,0.0037617465906102814,0.21714547276,0.0030689481555847163,0.0002883077638932141,-0.0001411686603067855,0.0018822772125603737,-0.00040177576743960497,0.0004294764241999996,0.0030909661203622828,0.00043474845588207384,True,True,per_sim
al_acq_naca0010_re3e6_a18,acquisition,sdf_fno,5,0010,3000000.0,18.0,diverged,4.759925837851459e+86,4.759925837851459e+86,1.003253796376343e+88,1.003253796376343e+88,-0.021638428419828416,0.06511547927791735,0.043199657648801806,0.006449232153052737,1.5020659685134887,0.0480272646591285,1.65514018535614,0.0696151712372426,nan,nan,nan,nan,0.06483808606863023,0.0040276082232594485,0.00034998971968889207,,,score_pool
al_acq_naca0010_re7e6_a18,acquisition,sdf_fno,5,0010,7000000.0,18.0,diverged,-2.617874504553676e+77,-2.617874504553676e+77,9.631497962325955e+78,9.631497962325955e+78,-0.012389273568987846,0.11507885881613442,0.06834654733538628,0.012314434335274833,1.4624647617340087,0.21448823702050054,2.404727077484131,0.19053502240630327,nan,nan,nan,nan,0.08073582090437413,0.0040276082232594485,0.00034998971968889207,,,score_pool
al_acq_naca0015_re6e6_a18,acquisition,sdf_fno,5,0015,6000000.0,18.0,diverged,-2.075194625355277e+93,-2.075194625355277e+93,-8.156634963804784e+96,-8.156634963804784e+96,0.006828933302313089,0.053132807878620715,0.03999396935105324,0.006166662561285021,1.4388922452926636,0.053969745420204975,1.9422586917877198,0.09662935529091315,nan,nan,nan,nan,0.03316503604874015,0.0040276082232594485,0.00034998971968889207,,,score_pool
al_acq_naca24015_re7e6_a18,acquisition,sdf_fno,5,24015,7000000.0,18.0,diverged,2.848177194021061e+43,2.848177194021061e+43,-1.194901779093571e+43,-1.194901779093571e+43,-0.001720522018149495,0.08487058791344099,0.04434378072619438,0.0058241481910569865,1.4639174699783326,0.10428032337791153,2.106690835952759,0.17184302114278965,nan,nan,nan,nan,0.04606430274434388,0.0040276082232594485,0.00034998971968889207,,,score_pool
al_acq_naca2410_re5e6_a18,acquisition,sdf_fno,5,2410,5000000.0,18.0,diverged,4.20513649951044e+98,4.20513649951044e+98,-7.966097562414808e+97,-7.966097562414808e+97,0.036552543938159945,0.046695750461480466,0.050135410577058795,0.008602551977798923,1.6364389896392821,0.06494334583560805,2.010072040557861,0.06997733100909306,nan,nan,nan,nan,0.01358286663889885,0.0040276082232594485,0.00034998971968889207,,,score_pool
