epoch,train_loss,train_p_rel_l2,train_tau_rel_l2,train_head,train_force,train_sym,val_loss,val_p_rel_l2,val_tau_rel_l2,val_cl_mae,val_cd_mae,lr,epoch_time_s
0,1.740003298,0.812605684,0.8656559438,1.375246714,0,0,1.478600462,0.6874955644,0.7505751053,0.282610679,0.001964443557,0.001,8.04672907
1,1.559040467,0.7451406916,0.7739813526,0.8891518712,0,0,1.322052697,0.5999421328,0.6838176747,0.2894426592,0.001666704794,0.0009999845942,7.488385039
2,1.494925598,0.6881826992,0.7682394385,0.8576348126,0,0,1.459537963,0.6928691169,0.7331360181,0.2262132722,0.001689525079,0.0009999383779,7.842723478
3,1.413104872,0.6467274229,0.7287375232,0.8383995046,0,0,1.209135493,0.5516582678,0.6215664248,0.2615083405,0.001646828023,0.0009998613539,7.94760035
4,1.227459848,0.548024103,0.6432467004,0.8060822537,0,0,1.235390782,0.5576910178,0.6471383174,0.2123215916,0.00148787363,0.0009997535269,7.720087455
5,1.228115906,0.5716372008,0.6247633994,0.7064332813,0,0,1.121340692,0.4880644629,0.6024221877,0.2151732952,0.001495207854,0.0009996149036,7.623122271
6,1.344272832,0.6237816537,0.6872962862,0.7393899014,0,0,2.32911106,1.315679461,0.9846895834,0.1757195067,0.001601534876,0.0009994454925,7.490860519
7,1.28811125,0.5927172105,0.6650491307,0.6759088462,0,0,1.051137487,0.4514802098,0.5713064472,0.1993038912,0.001360500096,0.0009992453042,7.402952902
8,1.155886809,0.4946377948,0.6290303171,0.7176461915,0,0,1.037894696,0.4533374657,0.5571929564,0.1819488993,0.001401100424,0.0009990143508,7.28434165
9,1.291165123,0.619009157,0.6445814272,0.6142008156,0,0,1.034777443,0.4578712185,0.5513097545,0.1808339267,0.001220788729,0.0009987526468,7.29582866
10,1.170987124,0.5507815654,0.5922407657,0.6228939394,0,0,0.9458545645,0.4256384224,0.4951130003,0.1710430337,0.001250479429,0.0009984602082,7.309428332
11,1.145152748,0.5413629239,0.5740159402,0.6631899327,0,0,0.92053924,0.410226653,0.4847833812,0.1743175235,0.00126856775,0.0009981370531,7.350343166
12,1.083133335,0.4997376601,0.5588749573,0.5461798112,0,0,1.422969123,0.7357781033,0.6646742225,0.162795438,0.00104251891,0.0009977832013,7.416520902
13,1.310621123,0.6149185946,0.6712433944,0.5448082536,0,0,1.387904386,0.7649519046,0.5985973477,0.1666013502,0.001207689153,0.0009973986748,7.430171239
14,1.067493598,0.4643017873,0.5797092269,0.5230559607,0,0,1.007142872,0.4555730124,0.5290286144,0.1689660721,0.0009930629749,0.0009969834972,7.485996015
15,1.050860092,0.4687541897,0.5585429793,0.5248457417,0,0,1.452862581,0.788271745,0.6386961639,0.1628684644,0.001404425867,0.0009965376942,7.531637063
16,0.9564342896,0.4220302577,0.512235947,0.4937768678,0,0,0.8265981972,0.3632370755,0.440441077,0.1519811827,0.0011770701,0.0009960612933,7.501414446
17,0.8759893974,0.3482569555,0.500219211,0.6128359983,0,0,1.242523462,0.6403828164,0.5756581972,0.2178378489,0.001003545447,0.0009955543238,7.431563344
18,0.9958938509,0.4586002529,0.5135423765,0.529039969,0,0,0.8492210309,0.381499519,0.4452477495,0.1613017069,0.001050505399,0.000995016817,7.416907755
19,0.818109711,0.3407861739,0.4513762568,0.5779550473,0,0,1.071609557,0.445253546,0.5871319175,0.2395660629,0.00218761561,0.0009944488061,7.375223482
20,0.8460420618,0.3593980571,0.4553132678,0.6978673711,0,0,0.845577995,0.3822690447,0.4394129962,0.1405830501,0.001378010318,0.0009938503261,7.365556083
21,0.8127095898,0.3564638992,0.4318586911,0.543200997,0,0,0.8262295524,0.3236189882,0.4791290313,0.1571515258,0.001193691414,0.000993221414,7.348576512
22,0.8554506948,0.3696341912,0.4657158206,0.4477269575,0,0,0.6965704163,0.2817397465,0.3929197739,0.1491171118,0.001092941403,0.0009925621084,7.356257438
23,0.7999797761,0.3564477029,0.416101334,0.6109983474,0,0,0.8433792492,0.3499028136,0.4408595711,0.2627280693,0.003429469109,0.0009918724502,7.34380143
24,0.9776879251,0.4382857308,0.4998052965,0.8819895983,0,0,0.7732972403,0.3340884273,0.4123940667,0.1757533724,0.001394414246,0.0009911524817,7.346780773
25,0.7819030037,0.3394115058,0.4183293308,0.5381931911,0,0,0.7869487802,0.2849726776,0.476201872,0.1606290188,0.001410397526,0.0009904022476,7.405169438
26,0.7559306671,0.3173470845,0.4143527473,0.5397227158,0,0,1.093313952,0.531763042,0.5409689397,0.1407756858,0.001020719879,0.0009896217939,7.388752002
27,0.8813748906,0.4059390922,0.4548657164,0.458182469,0,0,0.7364216745,0.3224619205,0.3941230327,0.1461178434,0.0008956501842,0.0009888111689,7.397486467
28,0.8602128923,0.383275494,0.453388609,0.5245306666,0,0,0.7529646158,0.3269755989,0.3997370849,0.1884430156,0.001226909691,0.0009879704226,7.426490502
29,0.8238497128,0.3457579116,0.458246246,0.4420443848,0,0,0.9253397485,0.4389322847,0.4665878912,0.1373294007,0.0009679853004,0.0009870996068,7.44403852
30,0.775439923,0.3422587191,0.415470615,0.394489564,0,0,1.103850673,0.5534296433,0.5306833684,0.1306329515,0.001015712594,0.0009861987752,7.447244569
31,0.8150603722,0.3587622369,0.4379978801,0.4076238995,0,0,0.7793525159,0.3125091592,0.4465692341,0.1505024697,0.0009055845827,0.0009852679835,7.44607979
32,0.7385849953,0.317852286,0.4025990665,0.4039126982,0,0,0.8093671103,0.3373790681,0.4523269037,0.1314752734,0.00100039097,0.000984307289,7.44894338
33,0.8057695478,0.351864405,0.4305596054,0.5200035895,0,0,0.91514949,0.3956960241,0.4762503008,0.2937221602,0.00215757126,0.000983316751,7.442801831
34,0.797281752,0.3403827908,0.4298957263,0.6014761676,0,0,0.7517989775,0.2988379647,0.4221077363,0.2148070938,0.001498216492,0.0009822964305,7.486624164
35,0.7219070643,0.2945509168,0.405870008,0.4785868799,0,0,0.8503336112,0.3997057229,0.431673338,0.1320619307,0.0009196080694,0.0009812463906,7.475691598
36,0.7658964023,0.3396397407,0.4045591131,0.4832956443,0,0,0.7595933179,0.2854621013,0.4531314274,0.1326601013,0.001134057684,0.000980166696,7.479890057
37,0.6889409249,0.2823061881,0.3873436215,0.429694357,0,0,0.6975182941,0.2799606547,0.3993320167,0.1284444379,0.0008719108688,0.0009790574133,7.451941977
38,0.7482730399,0.3233523654,0.4055213109,0.4321057474,0,0,0.795766145,0.3865120411,0.385190467,0.1818740894,0.00104749876,0.0009779186109,7.469163486
39,0.749464194,0.3396011281,0.3891137863,0.4621740008,0,0,0.753328979,0.3276793386,0.4052747587,0.1158047483,0.001209255686,0.0009767503591,7.445944307
40,0.769482245,0.309710176,0.4407861009,0.4228976419,0,0,0.8127089938,0.3411221504,0.4516209165,0.1358114995,0.0009965054536,0.0009755527299,7.445649666
41,1.008266702,0.4650909677,0.5206959521,0.5007194653,0,0,0.8804755211,0.4036092609,0.4599457135,0.1049784127,0.0009299057613,0.0009743257972,7.493852965
42,0.8485952566,0.378019092,0.4541319137,0.3662824258,0,0,0.7960621317,0.4106500298,0.3691023936,0.09478679175,0.000950367481,0.0009730696367,7.454385493
43,0.8362308592,0.3889421461,0.4326934988,0.3250968009,0,0,0.739650478,0.2876860251,0.4297988762,0.1477684396,0.001131656929,0.0009717843259,7.461896981
44,0.7229776531,0.316920386,0.3883510058,0.3943932851,0,0,0.7121204436,0.2996017387,0.3947994014,0.1286890466,0.0008155066365,0.0009704699441,7.445232988
45,0.5998340324,0.2364435742,0.3482086137,0.3381637856,0,0,0.7518713574,0.3244845296,0.4108364185,0.1110463242,0.0008389675738,0.0009691265723,7.440882666
46,0.5766319558,0.2291318079,0.3340245609,0.3001581753,0,0,0.4893871446,0.1866085952,0.2886724646,0.09702721673,0.0006949607438,0.0009677542934,7.432314174
47,0.6534387122,0.2700339121,0.3665593316,0.3752194643,0,0,0.680819879,0.2862884377,0.3753818621,0.1175003075,0.001063442091,0.0009663531921,7.426784135
48,0.8065389668,0.3645963433,0.4254075463,0.3683056807,0,0,1.235775252,0.6011214902,0.603173991,0.2080445196,0.001622528769,0.0009649233547,7.430878522
49,0.6772034119,0.279796809,0.3768908679,0.456971921,0,0,0.606168588,0.2488419612,0.3391679972,0.1020883055,0.001087174149,0.0009634648695,7.411797952
50,0.5824530994,0.2466850045,0.3186014891,0.3823727792,0,0,0.4733407348,0.1798158313,0.2774470126,0.1043688436,0.0008446149101,0.0009619778265,7.400625101
51,0.6052967583,0.2416926958,0.3447986494,0.4188759973,0,0,0.622055769,0.2511383494,0.355662475,0.1064856304,0.0007384269848,0.0009604623173,7.40593146
52,0.6339597801,0.2711050945,0.3493164976,0.3015525937,0,0,0.6885661781,0.2413582082,0.4324579984,0.08903627594,0.0008315101732,0.0009589184355,7.446218061
53,0.5750692859,0.2158117543,0.346747448,0.2786523538,0,0,0.5352680186,0.2134751851,0.308007367,0.09823662291,0.0006503431165,0.0009573462763,7.415488005
54,0.6893329198,0.3059687205,0.3640816684,0.4295031838,0,0,0.7283345064,0.3585065504,0.3547499627,0.1112204346,0.0006794730434,0.0009557459367,7.387711436
55,0.6851656983,0.3170521532,0.3414008071,0.5950049187,0,0,0.5997053583,0.2586138844,0.310144792,0.1313694539,0.002212474647,0.0009541175153,7.387796683
56,0.5440208117,0.2282874125,0.2960292151,0.4388952603,0,0,0.5675369104,0.246899503,0.3022243381,0.1248562016,0.0009223129212,0.0009524611127,7.402563452
57,0.4941058606,0.1947660781,0.28575987,0.3024818848,0,0,0.4891174138,0.1895051673,0.2863866712,0.08237141728,0.0007241616064,0.000950776831,7.383525057
