epoch,train_loss,train_p_rel_l2,train_tau_rel_l2,train_head,train_force,train_sym,val_loss,val_p_rel_l2,val_tau_rel_l2,val_cl_mae,val_cd_mae,lr,epoch_time_s
0,3.006180863,0.8670038829,0.9523660888,1.585248729,6.668240805,0,2.143966377,0.7776416639,0.9320288599,0.6471745026,0.002827938142,0.001,8.254135046
1,2.159539203,0.8235509992,0.9074786305,1.441951821,2.174289872,0,2.00153476,0.7856153051,0.83049649,0.4859644117,0.001930253153,0.0009999845942,7.684921617
2,2.098207027,0.8321227928,0.8407242397,1.094168415,2.248788605,0,1.982030729,0.7772085269,0.7870128949,0.2942934729,0.001814291085,0.0009999383779,7.971022062
3,2.020952314,0.8194484711,0.8229633272,0.8592852602,2.031974643,0,1.888106704,0.7645382285,0.7793568869,0.2479643514,0.001777775527,0.0009998613539,8.098388144
4,1.991753777,0.8087929438,0.8084099342,0.8413566152,2.012939374,0,1.893690983,0.7609171967,0.7783555587,0.3202533224,0.001695789261,0.0009997535269,7.961257129
5,1.97079731,0.8055974096,0.7890810321,0.8047037125,2.032146841,0,1.871362408,0.7555559874,0.7408919831,0.2668554873,0.001607671264,0.0009996149036,7.818367501
6,1.949942787,0.8118149936,0.7866959025,0.76727434,1.894635111,0,1.836533328,0.7627320091,0.7390729189,0.2985759486,0.001509297348,0.0009994454925,7.734553808
7,1.931295077,0.8059993982,0.7772472451,0.7790848464,1.871243258,0,1.880108853,0.7494804263,0.7226484915,0.2517339323,0.001531584693,0.0009992453042,7.692724328
8,1.98738572,0.8057895402,0.7778853824,0.8182542622,2.193428953,0,1.905481696,0.7692460219,0.7764809926,0.2669683673,0.001422591488,0.0009990143508,7.586988967
9,1.954629908,0.8009954939,0.7765526573,0.7339104066,2.056898455,0,1.792663058,0.7495885293,0.6945043802,0.3938835077,0.001438277288,0.0009987526468,7.596060373
10,1.891774108,0.7877333512,0.7348729024,0.7837659965,1.996218801,0,1.716682653,0.7314468225,0.6622546415,0.3173689274,0.001126753516,0.0009984602082,7.655534487
11,1.858130395,0.7887851844,0.6946902076,0.7542710553,2.036930134,0,1.764621039,0.7482134004,0.620321999,0.2812368929,0.001028819863,0.0009981370531,7.690921905
12,1.835142622,0.7753226956,0.6907432328,0.6936095729,2.019866516,0,1.725712677,0.7092229823,0.595962127,0.2539907082,0.00119191542,0.0009977832013,7.748133462
