sim_name,p_rel_l2,tau_rel_l2,p_mae,tau_mae,cl_head,cd_head,cl_int,cd_int,cl_true,cd_true,sym_residual,antisym_cl_gap
airFoil2D_SST_31.382_3.588_1.994_6.206_0.0_13.271,0.5640496426,0.5174500989,108.4187607,0.6553790258,0.4703037739,0.01310808863,0.3762624264,0.01813216135,0.5692192912,0.01092164312,7.626791386,0.123264432
airFoil2D_SST_31.68_0.424_0.273_4.301_1.0_11.616,0.5294187898,0.7460053732,92.0482664,0.7200556378,0.05731809139,0.01062899642,-0.2019708455,0.001870169304,0.06675511599,0.009451651946,11.71237217,0.07221323252
airFoil2D_SST_31.803_7.291_3.243_6.962_0.0_10.641,0.4534853124,0.3109318715,179.0375755,0.7810513043,0.966925621,0.01669151708,0.9843053222,0.04245345294,1.10050714,0.01345183328,4.26399959,0.4154090881
airFoil2D_SST_31.812_1.334_0.371_3.287_0.0_19.548,0.4418333402,0.3868480381,95.70671277,0.4053390079,0.1807752252,0.01283516642,-0.06444444507,0.005734767299,0.1494156718,0.01156413369,4.152061652,0.0517847538
airFoil2D_SST_32.499_12.136_1.194_6.108_1.0_8.121,0.2169543864,0.1833866422,342.1014821,1.18234877,1.238742828,0.02068524063,1.145688176,0.02624482475,1.349646211,0.01973366365,1.046377176,0.3226944208
airFoil2D_SST_32.642_-0.627_0.31_3.451_0.0_8.252,0.6545089146,0.9247065251,102.0211339,1.011860815,0.001400053501,0.009621265344,-0.2190322578,0.001702090027,-0.04785453156,0.008720623329,23.26418439,0.1628401875
airFoil2D_SST_32.66_1.2_3.249_6.689_1.0_18.317,0.336548771,0.3821941146,82.10637645,0.4074575747,0.4704298675,0.01420539431,0.2950549126,0.01769176498,0.4176615775,0.01192494482,4.283989007,0.2308088541
airFoil2D_SST_32.677_5.679_0.493_6.223_1.0_9.86,0.6520304815,0.4645696545,228.3402395,1.10508553,0.5078799725,0.01199023146,0.3935844898,0.01235183328,0.6611272693,0.01061729621,6.573632669,0.1390678585
airFoil2D_SST_32.706_8.859_2.638_5.49_0.0_18.856,0.3501942301,0.2417295353,120.0152578,0.4982162278,0.9478322864,0.02004618384,0.9895234704,0.04140710831,1.055125594,0.01774419099,1.79640335,0.08593720198
airFoil2D_SST_32.717_11.377_2.913_6.33_1.0_13.804,0.1467078209,0.128843554,95.25509695,0.4603436638,1.177728891,0.02136922255,1.39565444,0.04974828288,1.386225343,0.02006067149,1.226053112,0.06455862522
airFoil2D_SST_32.902_8.203_2.59_6.258_1.0_14.519,0.3192951278,0.2078143208,121.3944838,0.4975576383,0.9006761909,0.01724507846,0.9926469922,0.03687824309,1.079285979,0.01491541509,2.306754805,0.04636621475
airFoil2D_SST_32.966_-0.849_3.413_3.675_1.0_19.214,0.3779390899,0.3894485467,94.57442568,0.431939138,0.2544673085,0.01297789905,0.02069338597,0.01831910573,0.1367206424,0.01144481823,4.235410733,0.1695513725
airFoil2D_SST_33.137_-2.653_2.78_5.876_1.0_14.328,0.4268056209,0.2176427223,94.81313548,0.3772154273,0.1484459639,0.01149373315,-0.04677176103,0.01352420077,-0.02958230674,0.01020305511,8.997585261,0.1700539589
airFoil2D_SST_33.163_-1.909_2.306_3.054_0.0_11.764,0.4034830988,0.2568613961,73.33180643,0.4354691398,0.04813098907,0.01038690004,-0.1106783003,0.01500478946,-0.06056886166,0.009507825598,12.11339589,0.1342768669
airFoil2D_SST_33.187_10.15_2.61_7.828_0.0_5.27,0.1887544203,0.5458312212,411.9210998,4.450519503,1.303645253,0.01874791086,1.142949939,0.03279856965,1.322238684,0.01932104491,0.8774991564,0.7031404972
airFoil2D_SST_33.191_2.869_2.039_7.426_1.0_13.149,0.4605811191,0.4817399769,100.5145018,0.6203719698,0.44372648,0.01231381111,0.3695655465,0.01678069867,0.5230796933,0.01059215888,7.657432654,0.101349771
airFoil2D_SST_33.243_9.415_0.453_6.549_1.0_9.924,0.2864888739,0.2342384097,266.4513132,0.9422053809,0.8756713867,0.0154474834,0.8018820882,0.01484570466,1.040150523,0.01391228475,1.198751768,0.09977072477
airFoil2D_SST_33.798_10.426_3.185_5.957_0.0_11.232,0.1472101295,0.1300138895,115.2455439,0.5149026432,1.215432167,0.01958250441,1.338193893,0.04085734114,1.357674122,0.01717693731,1.19965269,0.2320978045
airFoil2D_SST_33.846_6.261_0.922_3.023_1.0_12.36,0.4752911202,0.3214791708,159.1137891,0.6995857906,0.5558623672,0.01267420314,0.5207775235,0.01428260002,0.7245303392,0.01148311514,4.358106191,0.01579785347
airFoil2D_SST_33.941_-4.025_1.706_6.295_1.0_12.199,0.4176686196,0.1863018096,109.0569388,0.476278927,-0.06806635857,0.0104566114,-0.2625597715,0.01468267292,-0.2691526115,0.009948133491,12.29800238,0.09375447035
airFoil2D_SST_34.136_14.393_2.103_3.685_0.0_6.065,0.112964761,0.3499194287,351.5741964,2.992815382,1.617074132,0.02885455824,1.40073204,0.02525775135,1.502096057,0.0345864445,1.038300904,0.6612083912
airFoil2D_SST_34.283_1.149_2.438_6.56_0.0_11.452,0.3277510717,0.4690987006,71.57851406,0.5480115945,0.3704400957,0.01123337727,0.2637597919,0.0133961346,0.3659406304,0.009723678231,10.44592991,0.2105347812
airFoil2D_SST_34.55_9.924_0.765_3.332_0.0_6.065,0.1830871564,0.2922115322,336.2689029,2.309495479,1.119456053,0.01653018035,0.9197391272,0.01764914393,1.093092084,0.01613582857,0.8946450513,0.4470629692
airFoil2D_SST_34.806_8.99_2.295_5.593_1.0_19.795,0.2656807848,0.1928881659,104.8174685,0.4368091976,0.9580695629,0.01974027418,0.9939255714,0.03510533273,1.025509834,0.01789497398,1.605420278,0.03986185789
airFoil2D_SST_34.878_7.93_3.081_6.388_1.0_15.071,0.2476308663,0.163367263,97.19104854,0.413475297,0.9707381725,0.01743301749,1.049985647,0.03492664918,1.093785763,0.0151553005,2.197775674,0.1073996425
airFoil2D_SST_35.112_7.306_1.701_4.965_1.0_14.943,0.2903256041,0.186685545,107.5446962,0.4466453282,0.7536152601,0.01474981941,0.797046423,0.02341269143,0.893651247,0.01324825548,2.455054555,0.0797495842
airFoil2D_SST_35.424_-3.014_1.51_5.078_1.0_5.743,0.2633305731,0.206320005,119.203666,0.8628383655,0.07794737816,0.009250366129,-0.2109107375,0.01169378404,-0.2039197981,0.008673842065,20.90841086,0.3704460263
airFoil2D_SST_35.429_-0.673_3.556_7.908_1.0_10.289,0.282786438,0.2865349409,65.24479104,0.4655939097,0.4492403567,0.01122033317,0.2551302016,0.0130663095,0.3331289887,0.009499906562,13.28994694,0.4230808914
airFoil2D_SST_35.486_8.246_3.212_7.038_0.0_8.761,0.2197799322,0.154770313,177.2146914,0.6664094062,1.18239522,0.01628561877,1.147868633,0.03184881061,1.203431129,0.01371342223,1.621779755,0.5407877564
airFoil2D_SST_35.49_10.54_0.884_6.154_1.0_10.173,0.1580974182,0.1210820464,198.4795318,0.6555102795,1.055561781,0.01700716652,1.044573784,0.01722625457,1.184661388,0.01546059549,1.102344984,0.05243360996
airFoil2D_SST_35.507_5.777_1.428_6.645_0.0_10.474,0.4369658981,0.2988245172,165.5307272,0.7652209681,0.6407958269,0.01212971937,0.6281019449,0.01884331368,0.765158236,0.01096434426,4.960982106,0.1246564984
airFoil2D_SST_35.516_-1.874_3.784_5.907_1.0_18.714,0.3261174995,0.2296668002,98.36480938,0.3185301554,0.2481773794,0.01242857147,0.1096613109,0.0135743022,0.1334129274,0.01132505853,4.714464835,0.1798349917
