epoch,train_loss,train_p_rel_l2,train_tau_rel_l2,train_head,train_force,train_sym,val_loss,val_p_rel_l2,val_tau_rel_l2,val_cl_mae,val_cd_mae,lr,epoch_time_s
0,1.931858689,0.9465204328,0.9178278297,1.407585099,0,0,1.840928756,0.8694119774,0.8805139432,0.5071659467,0.003603206095,0.001,3.996916995
1,1.748700231,0.8583174497,0.8143880069,1.58448194,0,0,1.784458087,0.8857844059,0.8119563185,0.4747938088,0.003506641607,0.0009999845942,2.887203671
2,1.714214027,0.8605092317,0.7963809967,1.195194483,0,0,1.746658545,0.8577860548,0.8088924839,0.4337794141,0.003280626633,0.0009999383779,2.906710074
3,1.658858001,0.8512149602,0.7502156496,1.197354019,0,0,1.703940171,0.8430978014,0.7967656988,0.3229582973,0.002845552438,0.0009998613539,2.929287109
4,1.494932294,0.7748598456,0.6832277626,0.76820755,0,0,1.691157845,0.8228900478,0.8065571831,0.3119744051,0.002617916716,0.0009997535269,2.935050179
5,1.490775198,0.7416115105,0.7058028877,0.9040678591,0,0,1.648429981,0.8115151845,0.7753338309,0.3510283698,0.002331353622,0.0009996149036,2.995121543
6,1.523264021,0.7856684476,0.6977867633,0.8300090283,0,0,1.644890849,0.8278337442,0.7642243596,0.2478780399,0.002492869068,0.0009994454925,3.036080721
7,1.423537493,0.7091677189,0.6773374528,0.7721207961,0,0,1.576368286,0.7668156532,0.7578854744,0.2461144876,0.002383284937,0.0009992453042,3.077955593
8,1.443061322,0.7196858823,0.6863112301,0.7727851272,0,0,2.00668158,0.9759405026,0.9789985969,0.2436631724,0.002403715639,0.0009990143508,3.073252361
9,1.474795714,0.7056272477,0.736747995,0.6759634912,0,0,1.665055477,0.8478067334,0.7718395728,0.2168993649,0.002110956549,0.0009987526468,3.118150635
10,1.509307504,0.7737318724,0.7049643248,0.6382421181,0,0,1.584980726,0.7904308301,0.749474287,0.2174709816,0.002086571208,0.0009984602082,3.051330687
11,1.409553945,0.7127612978,0.6605740041,0.7551549226,0,0,2.053821582,1.014770737,0.9924049653,0.2195828687,0.002194020203,0.0009981370531,3.010991129
12,2.033099115,1.042051151,0.9604314417,0.6383523643,0,0,1.593900552,0.7793763326,0.7547537409,0.2908108359,0.002674337756,0.0009977832013,2.996076094
13,1.405189216,0.6990832835,0.6677355021,0.800018616,0,0,1.564148692,0.7775518757,0.7403703103,0.2254757155,0.002099837963,0.0009973986748,2.986203542
14,1.394967169,0.6779808551,0.6838803887,0.6902544051,0,0,1.458145463,0.6972931348,0.7107037948,0.2425991015,0.002264136733,0.0009969834972,2.975117748
15,1.414776504,0.6894115061,0.6961216182,0.6097206548,0,0,1.518346025,0.6804550153,0.7930071721,0.1938277364,0.002218682724,0.0009965376942,2.964558389
16,1.389027566,0.6168354303,0.7339953482,0.7963991538,0,0,1.449563439,0.6638821501,0.7366550886,0.2198917849,0.002360367854,0.0009960612933,2.947926533
17,1.252836108,0.5546163097,0.6662940681,0.6656482071,0,0,1.427320343,0.6587004341,0.724866326,0.1905074544,0.002156163962,0.0009955543238,2.939507397
18,1.137974232,0.5054071695,0.6056319475,0.56159392,0,0,1.824458801,0.9428040477,0.8313814035,0.2372765122,0.00234809712,0.000995016817,2.938949668
19,1.650733709,0.8735853285,0.7458740324,0.6520670652,0,0,1.561394508,0.7636514077,0.7449508493,0.2400360191,0.002537345611,0.0009944488061,2.93804667
20,1.380721211,0.6627639979,0.685840115,0.6696377769,0,0,1.48124914,0.6947581722,0.7397510914,0.2283427592,0.002112656455,0.0009938503261,2.932136991
21,1.205984235,0.5764787048,0.5993784368,0.6281462833,0,0,1.35867559,0.6472665759,0.6671879016,0.2102041917,0.002042878908,0.000993221414,2.924566841
22,1.103931561,0.5120589882,0.5511554554,0.8489470035,0,0,1.475877578,0.7446672366,0.6857017737,0.1998746237,0.002230521864,0.0009925621084,2.920509487
23,1.294744313,0.6849651486,0.5811059922,0.5978320464,0,0,1.413705367,0.6746537273,0.6927903799,0.1998979184,0.002290588315,0.0009918724502,2.935816389
24,1.344154865,0.6519177407,0.6608017534,0.6554239243,0,0,1.364208928,0.6549699306,0.6668942296,0.1968616362,0.001991835372,0.0009911524817,2.937167707
25,1.12654759,0.5301476419,0.5690142959,0.5709872618,0,0,1.432972385,0.720154964,0.6640763833,0.2453720862,0.002130629853,0.0009904022476,2.957167024
26,1.192912966,0.5861395001,0.5737609714,0.6883075535,0,0,1.321191072,0.6395080456,0.6338661313,0.2409518009,0.002107123057,0.0009896217939,2.952348108
27,1.17928414,0.5958776399,0.5562252998,0.5667256042,0,0,1.340801322,0.6404087956,0.658972598,0.1902945014,0.001981182052,0.0009888111689,2.940959443
28,1.215287447,0.5637490153,0.6231749207,0.5913758799,0,0,1.394224763,0.655274758,0.6939491584,0.1989499094,0.002201429182,0.0009879704226,2.935798017
29,1.390553474,0.7039769143,0.655952245,0.6385129541,0,0,1.447605353,0.7263572399,0.6772509401,0.1923255239,0.002161113862,0.0009870996068,2.954953971
30,1.283764631,0.6295529306,0.6272465587,0.5622208491,0,0,1.477028113,0.7134767129,0.7220698137,0.18752216,0.002013121578,0.0009861987752,2.972268759
31,1.329182744,0.6481297016,0.653674081,0.5708483309,0,0,1.660407268,0.8477845696,0.7659842234,0.2472117288,0.001947317454,0.0009852679835,2.958186446
32,1.335244477,0.6821433157,0.6209199131,0.6709761918,0,0,1.352746037,0.6429410898,0.6666109745,0.2112061907,0.001944052265,0.000984307289,2.950800648
33,1.254594892,0.600615561,0.6133313328,0.847505331,0,0,1.912169695,0.9800437139,0.8908570088,0.2074501173,0.001830741209,0.000983316751,2.948650396
34,2.265788585,1.228604689,0.9935946614,0.9088304043,0,0,1.703951276,0.8207155191,0.805868268,0.4022143545,0.003224380217,0.0009822964305,2.964766011
35,1.347653627,0.6472548544,0.6380718201,1.299510419,0,0,1.362680114,0.6432376183,0.6386178503,0.4249526671,0.003335194024,0.0009812463906,2.951250997
36,1.185575724,0.5931469202,0.5400563031,1.091960773,0,0,1.34740348,0.6481348826,0.6281581063,0.3569227961,0.003082859782,0.000980166696,2.94336704
37,1.046873972,0.4767834023,0.5263871849,0.9112109393,0,0,1.384254712,0.6835115185,0.6491013215,0.2389865029,0.002421611832,0.0009790574133,2.948114578
38,1.115965784,0.5249478221,0.5529240444,0.7942542583,0,0,1.727550525,0.8603036679,0.8147083429,0.3045266865,0.002034537164,0.0009779186109,2.968975301
39,1.479793489,0.7924705446,0.6483864412,0.8118219227,0,0,1.313337106,0.627875594,0.6395810659,0.2401433456,0.001969515136,0.0009767503591,2.96728316
40,1.171712935,0.5820216984,0.5569400638,0.6828585342,0,0,1.25326893,0.5641530592,0.6453836973,0.2118111093,0.002011373327,0.0009755527299,2.962739585
41,1.035715356,0.4921196215,0.5162090957,0.5710086487,0,0,1.243901895,0.5740067111,0.6260241499,0.2042196695,0.002082101754,0.0009743257972,2.964272196
42,0.9684487134,0.4514254108,0.4880070016,0.6049864441,0,0,1.239301636,0.5849797175,0.6103958854,0.195881458,0.002138920841,0.0009730696367,2.95412812
43,0.9742553532,0.468210116,0.4809229225,0.5237974301,0,0,1.205278736,0.5639117314,0.5983878466,0.2012104239,0.002024880624,0.0009717843259,2.953884178
44,1.099100024,0.5242430717,0.5347211212,0.8368273079,0,0,1.19286406,0.559561342,0.5909628914,0.2018949913,0.001965731508,0.0009704699441,2.96435882
45,1.054455847,0.5147060528,0.5123601258,0.5710710585,0,0,1.282561073,0.6316569035,0.6097679963,0.1870452131,0.001972290766,0.0009691265723,2.954207041
46,0.9067192525,0.4215081334,0.4597654268,0.5305399597,0,0,1.469375152,0.7503104164,0.6776299798,0.200646482,0.001907134098,0.0009677542934,2.957158193
47,1.331144363,0.6811066717,0.6208506972,0.6085460261,0,0,1.32009597,0.6073095753,0.6714793673,0.1866250768,0.001989329695,0.0009663531921,2.973869949
48,1.080702871,0.4647715241,0.5923348069,0.4919868149,0,0,1.172574126,0.5294700219,0.6025970441,0.1832969806,0.00192838917,0.0009649233547,2.969089669
49,1.078934073,0.5063928142,0.5290705636,0.9063588679,0,0,1.32869239,0.6579124836,0.6311026216,0.1963029745,0.001750506074,0.0009634648695,2.975116415
50,1.223943844,0.63953197,0.5590886325,0.5279857069,0,0,1.41578965,0.6730674024,0.6987947776,0.1984882192,0.002101670862,0.0009619778265,2.977504756
51,1.22826919,0.5900705159,0.6092687994,0.6031852253,0,0,1.415441091,0.6798267915,0.6920055151,0.1989038426,0.002054446009,0.0009604623173,2.977802627
52,1.172392935,0.5646176636,0.5757285058,0.668172732,0,0,1.295143503,0.6408585516,0.6169623389,0.167967816,0.001787475818,0.0009589184355,2.986194713
53,1.038707137,0.4942738488,0.519047372,0.5292935148,0,0,1.332806376,0.6633131733,0.6202446956,0.2335272454,0.002261436065,0.0009573462763,2.972035392
54,1.154918253,0.5721981153,0.5525585413,0.6288657486,0,0,1.260059549,0.5875214338,0.6337969945,0.1704673386,0.001886909953,0.0009557459367,2.94878638
55,1.000641212,0.4886089563,0.4836734012,0.5912789553,0,0,1.15729105,0.5714075221,0.5467229623,0.18642614,0.001816224824,0.0009541175153,2.968613722
56,0.9764200896,0.4229678214,0.5199695826,0.698110655,0,0,1.135306808,0.5576680761,0.5410471604,0.1820111397,0.001645629345,0.0009524611127,2.970121314
57,0.8902812153,0.4158554003,0.4487563521,0.5352055728,0,0,1.065969398,0.4822429808,0.5480332191,0.1783371077,0.001598295835,0.000950776831,2.9604092
58,0.814035669,0.358988151,0.4297831506,0.5267589092,0,0,1.033315915,0.4789099647,0.5180142453,0.1695200989,0.001721569849,0.0009490647741,2.955884548
59,0.8192932755,0.376923576,0.4187247083,0.4929953068,0,0,1.07001395,0.5095994473,0.523620014,0.1730274183,0.001716998378,0.0009473250476,2.951111473
60,0.9216557443,0.4376258105,0.4615099132,0.4695400968,0,0,0.983635288,0.4509653312,0.4969518414,0.1762061851,0.001616038405,0.0009455577588,2.956033051
61,0.9247723371,0.4736081436,0.4263375252,0.5176333189,0,0,1.018179279,0.4702581557,0.5123819594,0.1763607875,0.001594478884,0.0009437630168,2.960321188
62,0.8572778851,0.4158626944,0.4158524349,0.5329800174,0,0,0.9408747508,0.4252060239,0.4805368346,0.1725258272,0.001594228721,0.0009419409322,2.950796016
63,0.7626714855,0.3348802999,0.4036272094,0.5038161501,0,0,1.068491849,0.5151640956,0.5167479309,0.1729658432,0.001676683635,0.0009400916175,2.952707775
64,0.9105404317,0.4239068292,0.4633190483,0.4861055613,0,0,1.555775211,0.7371848271,0.7783049483,0.2063294317,0.001735005281,0.0009382151867,2.951772821
65,1.376722455,0.6763509065,0.6701683253,0.6297345087,0,0,1.143763533,0.5343390405,0.5673194207,0.1992372055,0.001926602409,0.0009363117555,2.952874691
66,0.9317304045,0.4275507182,0.4696587026,0.719758302,0,0,1.117995606,0.5177552448,0.5656179419,0.1783823456,0.001480140216,0.0009343814415,2.96861651
67,0.9554495513,0.4428458735,0.4817326367,0.643657878,0,0,1.213498331,0.5790590071,0.5931616953,0.2345424102,0.001592845996,0.0009324243635,2.969024416
68,0.9686657637,0.4412033856,0.4966518283,0.6423962265,0,0,1.235771353,0.5645915041,0.6364715237,0.1811783601,0.001481131297,0.0009304406425,2.955671197
69,0.9640827924,0.4390659407,0.5022912696,0.4738257304,0,0,1.088287298,0.5006802288,0.5533192158,0.1874471127,0.001413251949,0.0009284304007,2.972516929
70,0.8325936496,0.3748029023,0.4370651841,0.4321256503,0,0,1.020332942,0.4553274168,0.5209497282,0.1926679408,0.00214606205,0.0009263937621,2.941787277
71,0.8524444848,0.3654884174,0.4523373842,0.7217951566,0,0,1.109906527,0.5293181722,0.5355639045,0.1872615376,0.0022782409,0.0009243308524,2.955429614
72,0.8455110937,0.4050594941,0.4139997289,0.5515186191,0,0,0.9449329697,0.4164870358,0.4888370794,0.2105348375,0.001640424193,0.0009222417988,2.969603708
73,0.7203266174,0.2917599827,0.3968159407,0.6619985402,0,0,0.9736197866,0.442144018,0.4925122926,0.2090120777,0.001615006211,0.0009201267302,2.955639721
74,1.036209121,0.5714035332,0.4444838464,0.42370639,0,0,1.155449436,0.5604002843,0.552811861,0.170287624,0.002151400326,0.000917985777,2.949952151
75,0.8691679537,0.4289644733,0.3973575607,0.8933320791,0,0,0.9371304008,0.4095554673,0.4736899848,0.2188015031,0.002716946681,0.0009158190713,2.945203608
76,0.7148244083,0.321846161,0.3559671938,0.7716757208,0,0,0.8714291591,0.389216705,0.4435975827,0.1718669134,0.0018564509,0.0009136267469,2.957785847
77,0.8029909432,0.3585910201,0.4119815752,0.6759191006,0,0,1.0615312,0.501325903,0.5093090397,0.2598451775,0.00216699868,0.0009114089388,2.945281066
78,0.7983905673,0.346838735,0.4116652012,0.8316318244,0,0,1.187749459,0.5678617794,0.5774748234,0.2392945109,0.001646482018,0.0009091657839,2.953523905
79,1.114789248,0.5477995723,0.5187155306,1.006509617,0,0,1.171722155,0.5472945502,0.571260317,0.2193925139,0.002678129007,0.0009068974205,2.950288797
80,0.9325624704,0.4300238565,0.4698399007,0.681763947,0,0,1.198374404,0.5591373375,0.5878842656,0.2391655818,0.002390149864,0.0009046039887,2.95661263
81,1.054220468,0.5331855863,0.488499634,0.6783556491,0,0,1.004912729,0.4405149565,0.5156862919,0.226818286,0.002282502917,0.0009022856298,2.970505398
82,0.73670955,0.309420988,0.394857958,0.6761744469,0,0,0.9867478609,0.4574230153,0.4874355908,0.1891992497,0.002010905785,0.0008999424869,2.950055754
83,0.9299696535,0.4776010886,0.422333762,0.6262222528,0,0,1.287919888,0.6399491361,0.6075736422,0.2182712685,0.001677489593,0.0008975747045,2.950372732
84,0.8793253154,0.424867183,0.4291118681,0.5284667462,0,0,1.216489902,0.6077218056,0.5707443196,0.1790809666,0.001770047448,0.0008951824287,2.967719033
85,1.147268057,0.5828110576,0.5403341055,0.5029596463,0,0,1.11317006,0.5389419152,0.535429817,0.1915281288,0.001741872025,0.000892765807,2.951044378
86,1.084624439,0.5464335531,0.4986312836,0.8248135597,0,0,1.471150174,0.7425152018,0.6820166799,0.2543592372,0.001906804317,0.0008903249885,2.950757377
