epoch,train_loss,train_p_rel_l2,train_tau_rel_l2,train_head,train_force,train_sym,val_loss,val_p_rel_l2,val_tau_rel_l2,val_cl_mae,val_cd_mae,lr,epoch_time_s
0,2.395149074,0.8137165281,0.8743179021,1.211072719,3.755803452,0,2.073982285,0.825953048,0.8299680398,0.2362260948,0.002191441753,0.001,30.92984159
1,1.945603235,0.7881998366,0.7603244429,0.7867249535,2.07087895,0,1.991101063,0.8178925423,0.7518826127,0.2166802901,0.001870869221,0.0009999845942,27.91296328
2,1.874513762,0.7792600867,0.7169612213,0.7564796379,1.970404224,0,1.919009841,0.8175918597,0.7118752507,0.2531469538,0.001726204623,0.0009999383779,27.32169276
3,1.819663739,0.7631314627,0.6774492426,0.7296637717,1.984689648,0,1.910590043,0.8014673682,0.7298417183,0.1958176397,0.001589323529,0.0009998613539,28.53962646
4,1.769444501,0.7502858585,0.6520959897,0.64841568,1.942563634,0,1.774711856,0.770768702,0.6370912011,0.2173942823,0.001457670289,0.0009997535269,28.05010892
5,1.771425911,0.7132028802,0.6449290473,0.6501501189,2.215848435,0,1.747000685,0.7471253368,0.6209168755,0.1830778946,0.00144919611,0.0009996149036,27.85336445
6,1.64535766,0.675828018,0.5678459792,0.6217077842,2.157244796,0,1.927545667,0.7257987215,0.6191079754,0.1880526938,0.001311340318,0.0009994454925,28.13748301
7,1.584924346,0.6434297968,0.5331822031,0.5898520872,2.207923575,0,1.639437804,0.6460644098,0.5556398447,0.1897074826,0.001426314241,0.0009992453042,28.33698976
8,1.551661047,0.5991942049,0.5274244554,0.6052730944,2.301522138,0,1.586656891,0.6198512178,0.4988021186,0.1722593037,0.001658125618,0.0009990143508,28.34883057
9,1.57630666,0.5786061402,0.5341966863,0.5397344232,2.552860073,0,1.556381033,0.5976883219,0.549336885,0.2209340143,0.001205737493,0.0009987526468,28.28788113
10,1.523480768,0.5623359463,0.5272833664,0.5345997323,2.379076966,0,1.572137787,0.5962383403,0.5323234384,0.1863563,0.001318152691,0.0009984602082,28.2602106
11,1.422944139,0.5231214437,0.4916160892,0.5080579662,2.236583531,0,1.416504787,0.5207564418,0.5088280485,0.1621579949,0.001258704276,0.0009981370531,28.28730553
12,1.425177601,0.4933867841,0.4814173464,0.493072421,2.491774163,0,1.495909984,0.5483461229,0.511835449,0.1902783564,0.001166318688,0.0009977832013,28.26091737
13,1.328342557,0.4693116234,0.4377543621,0.4595457966,2.331388503,0,1.390136196,0.532616668,0.4761331907,0.2250530053,0.001852361537,0.0009973986748,28.2274091
14,1.333035347,0.4640484202,0.4425879961,0.474873897,2.356248788,0,1.192173316,0.4595447527,0.419683837,0.1614109261,0.001034018653,0.0009969834972,28.21481396
15,1.323283072,0.453619449,0.4371280636,0.4277748706,2.409470111,0,1.276870608,0.4519112913,0.4273868295,0.1660808126,0.001283508795,0.0009965376942,28.2092223
16,1.277069947,0.4341217483,0.4211683842,0.434743166,2.343250705,0,1.319721621,0.4916015772,0.4516408787,0.1497793185,0.001066260454,0.0009960612933,28.19930808
17,1.228546497,0.4127316116,0.4054385146,0.4846112125,2.257833744,0,1.929716074,0.5428601595,0.4569827754,0.1767830635,0.0009777421877,0.0009955543238,28.16753871
18,1.438398116,0.5033169666,0.4598481364,0.4659026103,2.64878726,0,1.183788593,0.4209310986,0.414363641,0.1648465278,0.00105772336,0.000995016817,28.18445952
19,1.250638248,0.4345097345,0.415467964,0.4310725514,2.219440162,0,1.327642578,0.4073429635,0.4494066536,0.1532456899,0.001273436523,0.0009944488061,28.12945251
20,1.373813743,0.4410987192,0.4612206139,0.4635517279,2.627478811,0,1.325663466,0.4601099033,0.4998953549,0.2070295456,0.00176710749,0.0009938503261,28.15306822
21,1.201958152,0.4076501436,0.4194620048,0.4483706226,2.060303612,0,1.316496647,0.4356209292,0.4794723919,0.1754688986,0.00167232295,0.000993221414,28.11451858
22,1.240902585,0.4134317836,0.423265764,0.4772026417,2.223923122,0,1.423454349,0.4498829452,0.4225868583,0.1422270627,0.0008695615968,0.0009925621084,28.14583651
23,1.161727687,0.382652425,0.3869464966,0.4107800614,2.176157702,0,1.05772946,0.405172199,0.3709700268,0.143248804,0.0008463668032,0.0009918724502,28.12276447
24,1.12408329,0.3657347966,0.3771647777,0.4352066395,2.102565955,0,1.170266367,0.3869782342,0.3890174559,0.1651742931,0.001064511896,0.0009911524817,28.1362186
25,1.073805224,0.3500076095,0.3776553795,0.5042338304,1.87024113,0,1.35257256,0.3561629309,0.4132839464,0.1654306205,0.001023486224,0.0009904022476,28.15444668
26,1.078236657,0.3474474258,0.3624647497,0.4307851172,2.027962208,0,1.06430283,0.3464464591,0.3922660362,0.1422185142,0.001380039756,0.0009896217939,28.12000774
27,1.044022678,0.3311512084,0.3478273167,0.4100779854,2.015941436,0,1.198676137,0.348538683,0.439185773,0.1269859471,0.0009651996754,0.0009888111689,28.14941924
28,1.093889162,0.3397409716,0.3770886768,0.3892889378,2.094572138,0,1.016393308,0.3273152858,0.3954694523,0.1244575674,0.0008703656448,0.0009879704226,28.14267611
29,1.163701234,0.3679567511,0.3950623274,0.4070732461,2.22816104,0,1.383165277,0.4277581343,0.404363082,0.147189093,0.0009155202983,0.0009870996068,28.14255007
30,1.229708913,0.3859978047,0.3939747235,0.4186555757,2.514644642,0,1.172516594,0.3997366222,0.3887424675,0.1267970703,0.00131161659,0.0009861987752,28.14487622
31,1.102971072,0.3491337543,0.3548309925,0.4404020574,2.206298909,0,1.110064222,0.3633372669,0.3805345205,0.1575058048,0.001317588822,0.0009852679835,28.15315077
32,1.144478312,0.3618944944,0.3440644169,0.4009857858,2.454514205,0,1.100358977,0.331844982,0.3041094553,0.1513590392,0.0009459686372,0.000984307289,28.12532075
33,0.9988619441,0.3136402406,0.3440347036,0.3855610541,1.88337372,0,1.014770118,0.359026118,0.357034078,0.148206751,0.0009141031606,0.000983316751,28.13241834
34,1.054594179,0.3180080087,0.3598599251,0.4138369787,2.083808197,0,1.029032606,0.3336963791,0.3344418464,0.1441554537,0.001100074798,0.0009822964305,28.13658335
35,1.071381158,0.3148721426,0.3586052202,0.3983746374,2.214814678,0,1.13136424,0.3160475401,0.369109759,0.1571759692,0.0007804234046,0.0009812463906,28.18018981
36,1.178499608,0.3521737013,0.4214132123,0.391218031,2.258902561,0,1.112724465,0.3431181954,0.4030655898,0.1559230047,0.0008840522263,0.000980166696,28.14785515
