epoch,train_loss,train_p_rel_l2,train_tau_rel_l2,train_head,train_force,train_sym,val_loss,val_p_rel_l2,val_tau_rel_l2,val_cl_mae,val_cd_mae,lr,epoch_time_s
0,1.675894334,0.7656867665,0.8252355181,1.259410679,0,0,1.562595808,0.740296075,0.7518063371,0.2925946172,0.002494849861,0.001,17.63920428
1,1.483563203,0.6863270562,0.744944937,0.7750328069,0,0,1.308411296,0.607977161,0.6545015711,0.1798089264,0.001732307347,0.0009999845942,18.55027402
2,1.625591434,0.7946344201,0.7863392876,0.6613004322,0,0,1.287149173,0.6039747412,0.6413589028,0.1652375395,0.00155744866,0.0009999383779,17.94312859
3,1.214988213,0.5461470416,0.6254374855,0.64330648,0,0,1.501648078,0.7436141165,0.7166787294,0.1610373487,0.001583796851,0.0009998613539,16.85378325
4,1.174805238,0.525089061,0.6090424187,0.6028449352,0,0,1.179227485,0.5357297384,0.6007946753,0.1775179821,0.001551981624,0.0009997535269,16.82105956
5,1.232471613,0.5565551898,0.6371772415,0.5741716165,0,0,1.059479998,0.4697396343,0.5576387139,0.1365415587,0.001127407583,0.0009996149036,17.34523918
6,1.052737048,0.4636778889,0.5564615417,0.4831446553,0,0,1.219300408,0.5769328865,0.6082868232,0.1493536231,0.001146986294,0.0009994454925,17.62853451
7,0.9280631634,0.3841024339,0.5105015613,0.4959140088,0,0,1.281728946,0.6622758783,0.580949091,0.1403249758,0.001555107478,0.0009992453042,17.38458382
8,0.9144613032,0.4011788907,0.4830186677,0.4485532,0,0,0.949716701,0.4068781183,0.5176812227,0.1231175908,0.0007569971262,0.0009990143508,17.19386705
9,0.9389160711,0.4103998828,0.4996605985,0.4276822347,0,0,0.8406837858,0.368778497,0.4464772183,0.1173174478,0.0008335377788,0.0009987526468,17.19809765
10,0.9047323511,0.3813148049,0.4926928717,0.4553847794,0,0,0.8090064251,0.348125867,0.4328554915,0.1168185424,0.0009992183512,0.0009984602082,17.31685562
11,0.9857099515,0.4295800225,0.5263176411,0.4418618954,0,0,1.24890194,0.5951953691,0.6161244214,0.1532727282,0.001337857437,0.0009981370531,17.36873727
12,1.209117014,0.5474793636,0.623785976,0.5610176015,0,0,1.181239678,0.5681716479,0.5843252035,0.1354032381,0.0008966209926,0.0009977832013,17.42767182
13,1.012081568,0.4491926569,0.5318161398,0.4605443409,0,0,0.9320550561,0.4317849622,0.4746465843,0.1175638621,0.0008295759978,0.0009973986748,17.45434432
14,0.8961601464,0.3988295759,0.4713501575,0.3850680137,0,0,0.8902184688,0.4288999094,0.4209267726,0.1664455348,0.001512396592,0.0009969834972,17.45390175
15,0.858857313,0.3709467478,0.452773187,0.5207875497,0,0,0.8215614924,0.3550958404,0.4409567095,0.1144646174,0.0008039644593,0.0009965376942,17.47298477
16,0.765885509,0.3281711833,0.4133849213,0.3605974597,0,0,0.7575168953,0.3644328725,0.3703736273,0.1073820435,0.0006936621526,0.0009960612933,17.38369993
17,0.702341333,0.2970517983,0.3811616118,0.3576112166,0,0,0.6816944228,0.3102470396,0.3469591049,0.1086820149,0.000776021597,0.0009955543238,17.38543194
18,0.8748706235,0.4042789053,0.4454914572,0.3720228431,0,0,1.002854618,0.4754850429,0.508518368,0.09185187056,0.0005681678699,0.000995016817,17.36673947
19,0.7347038205,0.3243721489,0.3862681205,0.3566572638,0,0,0.712457932,0.2890778184,0.4018603838,0.1024945572,0.0006667148648,0.0009944488061,17.30792449
20,0.6345204459,0.2579012708,0.3483044677,0.4196655452,0,0,0.7310374471,0.3275914353,0.3822136361,0.1060079069,0.0006048475299,0.0009938503261,17.29487094
21,0.6520915135,0.2726840337,0.3550073287,0.3616461823,0,0,0.6357508989,0.2819049484,0.3197539093,0.1033958375,0.001490161517,0.000993221414,17.29480653
22,0.7574139833,0.3472759007,0.3700841539,0.5936579739,0,0,0.6980486031,0.3274902885,0.3358869438,0.1875675227,0.0008536281204,0.0009925621084,17.27559609
23,0.6814720493,0.276465428,0.3708564949,0.5061550186,0,0,0.7004168974,0.3208019195,0.3540467299,0.1053586556,0.0009327331232,0.0009918724502,17.28682685
24,0.7035165521,0.2768227905,0.3929591523,0.4999963985,0,0,0.6921006533,0.2913628152,0.3765840003,0.1096925714,0.0007537461957,0.0009911524817,17.21203982
25,0.7134868388,0.300736899,0.3837521901,0.42978924,0,0,0.8695764587,0.4113754882,0.4340573549,0.1059184881,0.0008101022104,0.0009904022476,17.25945717
26,0.6725899887,0.2873968574,0.3624207171,0.3375206074,0,0,0.6177000839,0.2449889217,0.3470543634,0.1201767471,0.0007913759537,0.0009896217939,17.20078737
27,0.6581027049,0.2758994401,0.3561906482,0.3855452641,0,0,0.8066475162,0.3677089512,0.4188010165,0.1058484666,0.0005198674137,0.0009888111689,17.26075263
28,0.5947136833,0.2412860978,0.3329434819,0.3036046097,0,0,0.5619137035,0.2392265373,0.3071779448,0.07125499579,0.0004911162797,0.0009879704226,17.22412672
29,0.5503026201,0.2108496456,0.3193884372,0.2973860187,0,0,0.4999344441,0.1994929285,0.2826917676,0.06922307685,0.0006384530431,0.0009870996068,17.26636162
30,0.5450455821,0.2167271536,0.3083945301,0.2953014775,0,0,0.6352269718,0.2492698569,0.3608651436,0.07177167209,0.001130020637,0.0009861987752,17.36689108
31,0.6889195671,0.2729267851,0.38754522,0.4216345881,0,0,1.150427557,0.5863057856,0.5384517473,0.1035125355,0.0009268720588,0.0009852679835,17.39407658
32,0.6677247022,0.3020842626,0.3444244489,0.3144521622,0,0,0.5980250881,0.2590756118,0.3203140704,0.06295799341,0.0007887680782,0.000984307289,17.44691838
33,0.5210240907,0.2272285813,0.274707891,0.2829066102,0,0,0.4537545741,0.2004669928,0.2366902255,0.06910956618,0.0005550522031,0.000983316751,17.47804644
34,0.5324674295,0.228381798,0.2839425298,0.298550286,0,0,0.9162222605,0.4766606585,0.4247640566,0.05483292338,0.0005455224821,0.0009822964305,17.36646609
35,0.7821242099,0.3440113755,0.4097921585,0.4197541578,0,0,1.046235447,0.6019422802,0.4220353869,0.08325509518,0.0008416930633,0.0009812463906,17.27450672
36,0.600494222,0.2577695176,0.3188980474,0.3531461037,0,0,0.7336126658,0.3271583605,0.3780923784,0.1571429302,0.0006423375243,0.000980166696,17.19691737
37,0.647523692,0.2892263113,0.3360652442,0.3295128672,0,0,0.6949954652,0.3202409813,0.3590769114,0.05770577004,0.0005761255696,0.0009790574133,17.29857694
38,0.5004540097,0.2127814625,0.2713617098,0.2417506662,0,0,0.4927737575,0.1968531695,0.2783315262,0.0730617131,0.0006221450772,0.0009779186109,17.25479404
39,0.4872391178,0.1931323762,0.2780401942,0.2381297909,0,0,0.4665566454,0.2000555476,0.2513358192,0.06910503977,0.000471527474,0.0009767503591,17.27664558
40,0.5989780128,0.263020751,0.3156275119,0.3013167731,0,0,0.7372533175,0.3575271448,0.365088652,0.06217011645,0.0004758034972,0.0009755527299,17.2422213
41,0.6386603644,0.2659914803,0.3508512641,0.323369115,0,0,0.6432799307,0.269023889,0.3577009004,0.05691130707,0.000646266141,0.0009743257972,17.2816852
42,0.6033534855,0.2507881144,0.3326067134,0.2958167167,0,0,0.5237848942,0.2096830039,0.292583845,0.1088667513,0.000574313472,0.0009730696367,17.28584708
43,0.6587411796,0.2946699949,0.3405393895,0.3487758361,0,0,0.5609596578,0.256775511,0.2884146525,0.07019006658,0.0004928027326,0.0009717843259,17.24606834
44,0.4637463242,0.1966614855,0.2475119227,0.2900993469,0,0,0.5296644247,0.2188485655,0.2846446461,0.09082374111,0.001046221848,0.0009704699441,17.27253067
45,0.5233945101,0.2259574653,0.2739234922,0.3485053451,0,0,0.5324709438,0.2340425792,0.2841749409,0.04461184025,0.0005832354724,0.0009691265723,17.31532831
46,0.5311401509,0.2350829467,0.2805832481,0.2293467441,0,0,0.5965190484,0.270366538,0.3049518902,0.09599749461,0.0006446638005,0.0009677542934,17.29361136
47,0.5722053968,0.244491004,0.3104775353,0.2554754334,0,0,0.4864356976,0.2111091304,0.2558231067,0.06080211062,0.0008708942635,0.0009663531921,17.36239489
48,0.4486673933,0.1850012097,0.2481758875,0.2295889614,0,0,0.3971959731,0.1698518963,0.2148428221,0.04825537915,0.0004638047703,0.0009649233547,17.4288434
49,0.4440916868,0.1753593273,0.2525343872,0.2400778541,0,0,0.5831068594,0.2067496645,0.3529109393,0.1058834717,0.0007180371042,0.0009634648695,17.44699284
