epoch,train_loss,train_p_rel_l2,train_tau_rel_l2,train_head,train_force,train_sym,val_loss,val_p_rel_l2,val_tau_rel_l2,val_cl_mae,val_cd_mae,lr,epoch_time_s
0,1.760002303,0.8166194677,0.8554242492,1.455004919,0,0,1.653639293,0.8114002585,0.756388402,0.4337321714,0.00347218453,0.001,7.034019042
1,1.588524103,0.7732146144,0.7493721008,1.090731883,0,0,1.593084216,0.7663278937,0.7718942165,0.2382167026,0.002573502238,0.0009999845942,6.487436997
2,1.546783638,0.7299372792,0.75624336,1.00249027,0,0,1.461950493,0.686831367,0.7185490131,0.2525322936,0.002590813371,0.0009999383779,6.769658675
3,1.575997674,0.7753376961,0.7484206021,0.8641397595,0,0,1.523442841,0.7331515193,0.7273275614,0.2813370773,0.002881236561,0.0009998613539,6.990154273
4,1.526599789,0.7550537407,0.7176924646,0.8908420861,0,0,1.406864643,0.6803837419,0.6721109509,0.2339431353,0.002569859987,0.0009997535269,6.931233735
5,1.341173029,0.6091223568,0.6884547591,0.7211609006,0,0,1.345745587,0.6155725241,0.6820349932,0.202520955,0.002317249379,0.0009996149036,6.736996881
6,1.224392903,0.5569310814,0.6262106001,0.6823751271,0,0,1.34925518,0.6692563653,0.6343744874,0.1996866338,0.002125772368,0.0009994454925,6.567926641
7,1.308563101,0.6463234812,0.6169692457,0.7488590837,0,0,1.93646009,1.026698041,0.8524145246,0.2729392852,0.002472237148,0.0009992453042,6.432710106
8,1.289044225,0.6151700646,0.6300339639,0.7252016008,0,0,1.28877573,0.6242573619,0.622893858,0.1813957168,0.001946557197,0.0009990143508,6.314933612
9,1.210159928,0.5531300038,0.6145603895,0.7025280535,0,0,1.113442004,0.5024492145,0.5700270176,0.1856321109,0.001851047389,0.0009987526468,6.231194787
10,1.053348511,0.4726725399,0.5420304775,0.6392708182,0,0,1.062869906,0.4786368906,0.5415994763,0.2005555799,0.00185935318,0.0009984602082,6.166377305
11,0.9860967338,0.4263067037,0.5211790502,0.6387002796,0,0,1.032304144,0.4461833596,0.5417834163,0.1636669636,0.00234243283,0.0009981370531,6.158070222
12,0.9322483182,0.3964127481,0.4968866944,0.6442899168,0,0,1.01160202,0.46109851,0.5119922101,0.1740471976,0.001744358917,0.0009977832013,6.200020431
13,0.9480740428,0.4173169523,0.4951706976,0.5886677504,0,0,1.022614229,0.4413330555,0.5416110337,0.1601054685,0.001971438131,0.0009973986748,6.223653691
14,0.9857866347,0.4498349428,0.4996657282,0.6002401769,0,0,1.006814837,0.4704159558,0.4996924698,0.150451709,0.001803146699,0.0009969834972,6.283571912
15,1.041375905,0.4781789303,0.5241744846,0.6455073446,0,0,1.128367782,0.5213064373,0.5645270586,0.1950564381,0.001900830376,0.0009965376942,6.355505029
16,1.094917113,0.5242258757,0.5345224559,0.5983018041,0,0,0.9979959488,0.4481749773,0.5096864998,0.1670156189,0.001948665921,0.0009960612933,6.416842472
17,1.080411291,0.5274385989,0.518574211,0.5690175354,0,0,0.997029078,0.4715723634,0.4877245367,0.1539608082,0.001859866106,0.0009955543238,6.452431832
18,0.9519728363,0.4252644122,0.4889269233,0.624979046,0,0,0.9533753276,0.405812937,0.5069864511,0.2082067313,0.001611851971,0.000995016817,6.457248193
19,0.9741375923,0.4328128099,0.5043139935,0.6122300655,0,0,1.098601687,0.5164566278,0.5427853644,0.1830863271,0.001735400897,0.0009944488061,6.427382538
20,1.097781324,0.4895106316,0.5692773014,0.6450258583,0,0,0.9725065827,0.4100021601,0.5246086001,0.1433824196,0.001970307203,0.0009938503261,6.412405364
21,0.9835771799,0.4509589911,0.4956031591,0.6122998625,0,0,1.375657248,0.6795683265,0.6584982991,0.1726725837,0.001677292865,0.000993221414,6.398441488
22,1.176426828,0.5642275363,0.572040692,0.6643004239,0,0,1.7912817,0.8966148734,0.8476421237,0.2340243025,0.001934228605,0.0009925621084,6.370950451
23,1.185852331,0.5817983657,0.5654982477,0.6377858818,0,0,1.27832334,0.5932882309,0.6411260366,0.1727514008,0.002222717914,0.0009918724502,6.37444145
24,1.071984702,0.504992494,0.5291386306,0.6261711299,0,0,1.317647338,0.6870547175,0.5804094195,0.2553465482,0.002013136423,0.0009911524817,6.36472851
25,1.037902707,0.481561783,0.5148273379,0.6867147356,0,0,1.203288841,0.5949165463,0.5737953901,0.1552791592,0.001575132902,0.0009904022476,6.357060767
26,0.9000024617,0.4077662259,0.4595968693,0.5399181187,0,0,0.8828215957,0.3909777939,0.4550094366,0.1464180976,0.001850925619,0.0009896217939,6.330787178
27,0.8243023157,0.3450297654,0.4455379844,0.558035028,0,0,0.8855453849,0.3879617274,0.4587991953,0.1573093865,0.001920336462,0.0009888111689,6.349548111
28,0.990211314,0.4623831958,0.4899954319,0.6258255631,0,0,0.9824912786,0.4349951863,0.5057036638,0.1831718707,0.001944900304,0.0009879704226,6.334820709
29,0.8584441662,0.37522237,0.4455388576,0.6233486354,0,0,0.8783482432,0.3806646228,0.4407400906,0.2527842438,0.00262079949,0.0009870996068,6.321014385
30,0.8519641638,0.3511636555,0.4593847632,0.6850965858,0,0,0.8293136001,0.3174115181,0.4724007189,0.1812371805,0.001764481037,0.0009861987752,6.324167314
31,0.8661452889,0.3693052143,0.4642438591,0.5392042935,0,0,0.8179656267,0.3260612547,0.4522927821,0.1422319323,0.002129084535,0.0009852679835,6.319776608
32,0.806767261,0.3420029283,0.4314279109,0.5514487684,0,0,0.8536791921,0.3705471873,0.4458846152,0.1685078973,0.001685537095,0.000984307289,6.313187579
33,0.7336972058,0.298132354,0.4020116091,0.5550354034,0,0,0.6634070694,0.2615397662,0.3666426599,0.1483529344,0.001694174716,0.000983316751,6.315706705
34,0.7401887417,0.3046626538,0.3975023896,0.6289853245,0,0,0.7474072337,0.3033302069,0.3923179865,0.1989090325,0.002663112432,0.0009822964305,6.322912345
35,0.802236259,0.3438604236,0.4178616911,0.6701820582,0,0,0.7869665146,0.3232640088,0.4278943837,0.1608870242,0.001630504872,0.0009812463906,6.313954723
36,0.8231138051,0.3490229607,0.4403273433,0.5585132748,0,0,0.8413934827,0.3558754802,0.449924624,0.1409700783,0.001793254004,0.000980166696,6.301355555
37,0.7922442257,0.3363845676,0.4238395721,0.5296739817,0,0,0.9138189077,0.4232962728,0.4547115624,0.1446630399,0.001778452517,0.0009790574133,6.340000076
38,1.105342042,0.5404369622,0.5327320606,0.5322035491,0,0,0.813756901,0.3355933458,0.442343694,0.1664294316,0.001581067068,0.0009779186109,6.327833639
39,0.8483103514,0.3577444285,0.4584217519,0.5317268103,0,0,0.8596128345,0.3733849585,0.4488262057,0.138249563,0.001974320388,0.0009767503591,6.286791355
40,0.7817562878,0.3334921658,0.4169149011,0.5185767144,0,0,0.8020102501,0.355390209,0.4163648009,0.1450824365,0.001294411975,0.0009755527299,6.326753485
41,0.6991447866,0.2869930401,0.3834014297,0.4755859494,0,0,0.6686467767,0.2871216685,0.350220108,0.1457830915,0.00137877001,0.0009743257972,6.336497889
42,0.6473043531,0.2721435979,0.3447976977,0.5022636175,0,0,0.6958467126,0.2902307808,0.3735173285,0.1339634255,0.001554962283,0.0009730696367,6.325943826
43,0.7600730002,0.328012839,0.4010876894,0.5123446584,0,0,0.829143095,0.3508959413,0.4379834116,0.1670961959,0.001959108002,0.0009717843259,6.341890503
44,0.7818709314,0.3282078356,0.4226114452,0.5136543632,0,0,0.7762888789,0.3347582459,0.4081584692,0.1463902666,0.00155191957,0.0009704699441,6.332546596
45,0.8793742537,0.4152213842,0.427119866,0.6125975728,0,0,0.8646812558,0.3859531641,0.4441161335,0.1461456928,0.001661310578,0.0009691265723,6.349220785
46,0.8735145807,0.4246074498,0.4148714781,0.5630153954,0,0,0.9154332638,0.44087044,0.4434723973,0.1415175842,0.001399053214,0.0009677542934,6.362911945
47,0.8236883938,0.3894685566,0.4054545611,0.4758333802,0,0,0.7801501215,0.3651557863,0.3838284373,0.1419305491,0.001401817752,0.0009663531921,6.33705916
48,0.8644185901,0.399050653,0.4294416606,0.5942901164,0,0,0.8747376323,0.3822927177,0.4530107379,0.1458485324,0.002080827567,0.0009649233547,6.379728731
49,0.8347250581,0.3940424323,0.4114616781,0.4833708212,0,0,0.9683673024,0.4462191522,0.4888371348,0.1533426424,0.001483345369,0.0009634648695,6.348590363
50,0.7863900512,0.3537915334,0.4037650257,0.4769615233,0,0,0.6968505025,0.3081169486,0.3535194069,0.1510663753,0.00166856515,0.0009619778265,6.349337819
51,0.6563499272,0.2911344856,0.3373675644,0.4606577992,0,0,0.6997510791,0.3138969481,0.3501022458,0.133481355,0.00187512727,0.0009604623173,6.357456216
52,0.5815845281,0.2561129838,0.2976102173,0.460880217,0,0,0.5815740407,0.2470956266,0.3027709842,0.1335540341,0.001524879178,0.0009589184355,6.354089319
53,0.5556445301,0.2273504302,0.3029762968,0.4188054591,0,0,0.6692585349,0.2762172669,0.3649451345,0.1276382595,0.001266588364,0.0009573462763,6.378918419
54,0.6793285668,0.3053550661,0.3457324386,0.4671617031,0,0,0.82593925,0.3867177069,0.3978853464,0.1710416038,0.002015890903,0.0009557459367,6.349513266
55,0.6736596107,0.3049632326,0.3384038866,0.5010964155,0,0,0.637925005,0.2723522455,0.332700175,0.1498671429,0.001477087557,0.0009541175153,6.384738126
56,0.6015347421,0.2501325384,0.3264720768,0.4123924837,0,0,0.6216148138,0.2252632052,0.3698068798,0.1323940888,0.001089194207,0.0009524611127,6.376981631
57,0.5967505693,0.2237609148,0.3490270138,0.3963883653,0,0,0.595650351,0.2232533813,0.3459065735,0.1137173804,0.001254519005,0.000950776831,6.379237688
58,0.5813699245,0.2319959149,0.3238847062,0.4216421634,0,0,0.5952772439,0.2577641249,0.3121938616,0.1308690047,0.0009971525287,0.0009490647741,6.378014385
59,0.5525478452,0.22047683,0.3073483348,0.408960861,0,0,0.5512501299,0.2220081478,0.3025558472,0.1401257058,0.001031034696,0.0009473250476,6.387030339
60,0.5716322511,0.2435468391,0.2989956915,0.4812002286,0,0,0.6905701399,0.3131679028,0.3353446126,0.1983180532,0.001829940104,0.0009455577588,6.388142652
61,0.6185750365,0.2675260514,0.3181400791,0.5443771094,0,0,0.56142627,0.2389983475,0.2983290613,0.1053968525,0.001123549324,0.0009437630168,6.393413444
62,0.5639368027,0.2470921576,0.2892757729,0.4560423553,0,0,0.6948321581,0.2972032726,0.3422513247,0.2315962417,0.002678321046,0.0009419409322,6.37898271
63,0.6276956946,0.2687664807,0.3180082232,0.6769121677,0,0,0.5369056404,0.2187744051,0.2841421187,0.1314880819,0.001740906306,0.0009400916175,6.396482045
64,0.5678815126,0.2439911112,0.2981037602,0.426560837,0,0,0.8167038441,0.3843850732,0.4029687941,0.139769139,0.001264534448,0.0009382151867,6.400671314
