epoch,train_loss,train_p_rel_l2,train_tau_rel_l2,train_head,train_force,train_sym,val_loss,val_p_rel_l2,val_tau_rel_l2,val_cl_mae,val_cd_mae,lr,epoch_time_s
0,1.655863576,0.7812954593,0.7873369169,1.280649717,0,0,1.584444248,0.7587986955,0.7517529955,0.2516057301,0.003106972844,0.001,15.390824
1,1.46730463,0.6955499744,0.7133279872,0.8577674699,0,0,1.433328904,0.6459776369,0.7268721049,0.2050675778,0.002669631204,0.0009999845942,15.51638067
2,1.293662961,0.6008103454,0.6398287892,0.7784475636,0,0,1.19593585,0.5353764273,0.6004593762,0.2226236826,0.002511396173,0.0009999383779,15.63094857
3,1.178285255,0.5441288674,0.5859896636,0.7071403432,0,0,1.391579857,0.6568709108,0.6820783661,0.1842131747,0.002178552656,0.0009998613539,14.83360157
4,1.216092961,0.571651144,0.6004408884,0.6459815884,0,0,1.779012607,0.9405651826,0.7855909971,0.1869981559,0.002316090906,0.0009997535269,14.35770739
5,1.29421351,0.62737216,0.6211188388,0.6712566745,0,0,1.180757037,0.5198851434,0.601517001,0.2018173092,0.002596530004,0.0009996149036,14.27961514
6,1.101826591,0.4922425675,0.5649378586,0.6554547036,0,0,1.194774806,0.5529886186,0.5943787304,0.1709435461,0.001971062753,0.0009994454925,14.35952052
7,1.098854847,0.5073821509,0.5525340986,0.5716613328,0,0,1.088603657,0.4509546963,0.5926051415,0.1686020091,0.001803325494,0.0009992453042,14.6586776
8,0.9729296875,0.4394077229,0.4949763644,0.5658917081,0,0,0.8108532796,0.3399132158,0.4188934771,0.1901348713,0.001895644621,0.0009990143508,14.83740073
9,0.995178566,0.4378942132,0.5145608377,0.6272279024,0,0,0.9864002008,0.4359875917,0.5031724549,0.1824063342,0.001842541938,0.0009987526468,14.79031574
10,0.9530303836,0.4233141041,0.4942037988,0.5213622117,0,0,0.8160093564,0.3578042629,0.4197756831,0.1397488265,0.001497807993,0.0009984602082,14.66216304
11,0.8572862792,0.3786490738,0.441608808,0.5436174011,0,0,0.9572532681,0.4205437944,0.4991048162,0.1525876752,0.001490940335,0.0009981370531,14.58058103
12,0.8234727073,0.3546198046,0.4351750183,0.4944282866,0,0,0.8658505357,0.3890236754,0.4397741487,0.1523905613,0.001401429839,0.0009977832013,14.59107125
13,0.9119315505,0.4091500866,0.4642453504,0.5657523668,0,0,1.091137849,0.4751179264,0.5696666264,0.14971845,0.002014775504,0.0009973986748,14.57339358
14,0.9781971931,0.4487658966,0.4970851064,0.4748777032,0,0,0.7893535999,0.3345096696,0.4169966773,0.1433894109,0.001537654197,0.0009969834972,14.57129592
15,0.8111103296,0.3681086206,0.4133549976,0.4352461612,0,0,0.73053277,0.3104090301,0.3857803322,0.1389467973,0.001358401653,0.0009965376942,14.56566516
16,0.730584209,0.320748226,0.3789476597,0.4534744132,0,0,0.8738720692,0.4552681469,0.3824296066,0.1422871595,0.001398603028,0.0009960612933,14.62570311
17,0.7012234282,0.3108045155,0.3618352127,0.4196400172,0,0,0.8245914945,0.3946056435,0.3902903681,0.1485979667,0.001613025036,0.0009955543238,14.69244685
18,0.779653132,0.3450917852,0.4048364365,0.4363942862,0,0,0.7756019051,0.3653395336,0.3717781053,0.1220531288,0.001753777917,0.000995016817,14.72964382
19,0.8537255621,0.3742380363,0.4311487949,0.7096657032,0,0,0.9834041595,0.3976878065,0.4904746642,0.3856057688,0.003727669623,0.0009944488061,14.76938987
20,0.8717334414,0.3563050717,0.4601491988,0.8115588045,0,0,0.7242003267,0.3150644279,0.367525142,0.166278608,0.00166857282,0.0009938503261,14.74393565
21,0.7492516351,0.3212922078,0.3929648435,0.5137588835,0,0,0.6626875859,0.2712675769,0.3541812003,0.1307960524,0.001625985663,0.000993221414,14.76418082
22,0.6844381571,0.2945607579,0.3644818354,0.3728347147,0,0,0.6283676464,0.2627151517,0.3375160488,0.1078354861,0.001052909659,0.0009925621084,14.75121189
23,0.9033670163,0.4182528561,0.4510013509,0.5008134758,0,0,0.836229847,0.3674434011,0.4159853206,0.2153981225,0.001757011488,0.0009918724502,14.73293783
24,0.7366179395,0.3114853776,0.3967897999,0.4161028147,0,0,0.638213866,0.255009062,0.3489213563,0.1286044235,0.001387365338,0.0009911524817,14.68296462
25,0.6407363176,0.2732738614,0.34085374,0.3906451613,0,0,0.7000741982,0.30656542,0.3590902938,0.1119152807,0.001510898564,0.0009904022476,14.698526
26,0.7592712736,0.3494243634,0.3815162134,0.4159256721,0,0,0.8047079902,0.3534496885,0.419956056,0.1260423863,0.00114584527,0.0009896217939,14.72772484
27,0.7085904455,0.3093208331,0.3732270718,0.3823329681,0,0,0.5156505016,0.2192636247,0.2700188745,0.1046302458,0.001021464113,0.0009888111689,14.69420231
28,0.5767137265,0.246064133,0.3103104299,0.2986011904,0,0,0.683098777,0.2715729166,0.3863295202,0.08133393766,0.001155634491,0.0009879704226,14.70003083
29,0.7167779505,0.3183771408,0.376609388,0.3199219447,0,0,0.5663369344,0.2432053914,0.2996387975,0.08806586292,0.0009711355931,0.0009870996068,14.68615016
30,0.6023829401,0.2657717216,0.3106546634,0.3810707188,0,0,0.6875233238,0.3178784733,0.3296125417,0.1380828278,0.001736149957,0.0009861987752,14.69267692
31,0.6662476742,0.2970584059,0.340496394,0.4212428916,0,0,0.557659493,0.2300040722,0.2963559788,0.1331609459,0.00121498977,0.0009852679835,14.68858977
32,0.5577522135,0.233972041,0.3009253383,0.3355340815,0,0,0.8506716238,0.396798104,0.4267765398,0.1068430069,0.001037861658,0.000984307289,14.70351619
