epoch,train_loss,train_p_rel_l2,train_tau_rel_l2,train_head,train_force,train_sym,val_loss,val_p_rel_l2,val_tau_rel_l2,val_cl_mae,val_cd_mae,lr,epoch_time_s
0,2.028272358,1.071473899,0.9203180183,2.957409447,0,0,1.41206341,0.6898193526,0.7017543709,0.4325424147,0.002622888088,0.001,7.825215288
1,1.58476586,0.8429601382,0.7220497673,1.601582275,0,0,1.836171212,1.089307017,0.7271883798,0.4158674824,0.002515001344,0.0009999845942,3.103761395
2,1.212054396,0.6168521588,0.5777649724,1.413609558,0,0,0.9806073689,0.473488704,0.4925509715,0.2787119731,0.00207562319,0.0009999383779,3.126444877
3,1.148637418,0.5942681696,0.5364914347,1.449324365,0,0,1.03105412,0.4100338089,0.607470628,0.2690409613,0.001858838024,0.0009998613539,3.109309525
4,1.157985182,0.6456244866,0.4987968613,1.099597277,0,0,1.544560642,0.9352561569,0.5990402496,0.2031610971,0.001412830837,0.0009997535269,3.105491853
5,1.109629008,0.5364644168,0.559132108,1.13759087,0,0,0.9442293739,0.4123667085,0.5150677872,0.3723099556,0.002019939376,0.0009996149036,3.10322966
6,0.8699692799,0.4771699499,0.3811273798,0.946225016,0,0,0.7687029409,0.3970193422,0.361607995,0.2028416429,0.001361888521,0.0009994454925,3.12167135
7,0.749806463,0.379832305,0.3581755385,0.95649454,0,0,0.6761432505,0.2677669966,0.3985874021,0.2001254271,0.001300768661,0.0009992453042,3.244483293
8,0.7200564715,0.3288199231,0.3798738583,0.9211538312,0,0,0.9104399657,0.5710298645,0.3283203858,0.2229012865,0.001501572123,0.0009990143508,3.191757704
9,0.9294182333,0.5443856154,0.3747963763,0.8298350078,0,0,0.989582777,0.6139799643,0.3667826557,0.1767174254,0.001198413763,0.0009987526468,3.151856611
10,0.7411534962,0.37342209,0.3582975922,0.7647833316,0,0,0.6993183994,0.3827230608,0.3083526826,0.1725958503,0.001065449561,0.0009984602082,3.166136418
11,0.6457506127,0.3400936953,0.2967906242,0.718775439,0,0,0.5724215353,0.2376147038,0.326894989,0.1586968951,0.001073692893,0.0009981370531,3.221413735
12,0.5635137531,0.2644541555,0.2895980677,0.7670304084,0,0,0.5171198571,0.2407004404,0.2664547712,0.1915353074,0.001413266999,0.0009977832013,3.196064997
13,0.5603198396,0.2599153905,0.2916725911,0.7078775411,0,0,0.632619133,0.2550614256,0.3667578614,0.1606474141,0.00187514185,0.0009973986748,3.119691105
14,0.5676908581,0.246125501,0.3127775351,0.7124144029,0,0,0.5356042492,0.1882269087,0.3396768218,0.1534040519,0.001052727131,0.0009969834972,3.13783081
15,0.4530823454,0.1873875955,0.2585313117,0.5807278326,0,0,0.4137952423,0.1843876976,0.2231581759,0.129435501,0.0008182013314,0.0009965376942,3.1401456
16,0.4147752686,0.188727666,0.2193290286,0.5446636541,0,0,0.3639549643,0.14431133,0.2136801967,0.1287216365,0.0007426616037,0.0009960612933,3.12925529
17,0.4630064165,0.216962515,0.2380817956,0.6454745477,0,0,0.4605667174,0.1804334536,0.2661587322,0.2356477319,0.002223137212,0.0009955543238,3.136212693
18,0.4274547493,0.189339822,0.2290292155,0.7365640551,0,0,0.4365410018,0.1855337518,0.2440921515,0.14432619,0.000897295312,0.000995016817,3.120790289
19,0.4883716682,0.2395218037,0.242504955,0.5143711296,0,0,0.36364932,0.1458931348,0.2111626446,0.1117747348,0.001044616206,0.0009944488061,3.108579427
20,0.3980586508,0.1958780174,0.1969333264,0.4253904914,0,0,0.3415941924,0.1531242174,0.1835642245,0.1124225827,0.0005631593848,0.0009938503261,3.110584447
21,0.3790124526,0.1721361232,0.2014013603,0.4438465129,0,0,0.3413392514,0.1426815429,0.1928928095,0.1144055618,0.0007913170895,0.000993221414,3.119385132
22,0.4694250741,0.2213862345,0.2418685288,0.5002164847,0,0,0.7514672208,0.3516311121,0.3934406543,0.1195470282,0.0009318059916,0.0009925621084,3.112114793
23,0.4314353696,0.1870661728,0.2370694425,0.5917788195,0,0,0.4411017883,0.2327267766,0.2003265375,0.1630269473,0.001080606603,0.0009918724502,3.119491847
24,0.3901605965,0.1829931191,0.2019413408,0.4236738004,0,0,0.3399484211,0.1401699603,0.1959517518,0.08444686903,0.0004630500963,0.0009911524817,3.118787378
25,0.3650864176,0.1607642863,0.1978436671,0.5251980451,0,0,0.3147802883,0.1161736903,0.1947526318,0.08028401174,0.0005012042588,0.0009904022476,3.094598443
26,0.4168450575,0.1947823077,0.2178871821,0.3385063196,0,0,0.588963604,0.2857625824,0.298945685,0.09721541118,0.0004907029821,0.0009896217939,3.117391313
27,0.4120251049,0.1939040107,0.2135168731,0.3732566505,0,0,0.3454944217,0.1522704816,0.1892351767,0.09765278649,0.0004122092435,0.0009888111689,3.133800504
28,0.3259773671,0.1446711108,0.177965203,0.2708537443,0,0,0.3584364456,0.16953821,0.1859952387,0.05609667104,0.0004095546901,0.0009879704226,3.120214062
