epoch,train_loss,train_p_rel_l2,train_tau_rel_l2,train_head,train_force,train_sym,val_loss,val_p_rel_l2,val_tau_rel_l2,val_cl_mae,val_cd_mae,lr,epoch_time_s
0,3.382926226,1.701107452,1.629886796,5.25991861,0,0,1.66418153,0.729525586,0.8820561916,2.558618252,0.004073966198,0.001,3.285556567
1,1.81270653,0.886566336,0.8934296121,3.313083887,0,0,2.122303247,0.8117791067,1.295153727,0.5149681581,0.00315447627,0.0009999845942,0.957046337
2,1.77058808,0.884994328,0.8664803306,1.935899556,0,0,1.608291924,0.7087136308,0.8845734298,0.4619194058,0.003423848694,0.0009999383779,0.927372124
3,1.530326794,0.7033287187,0.8094388743,1.778480262,0,0,1.396957636,0.6713706106,0.7117750694,0.4282925253,0.003125518483,0.0009998613539,0.924957012
4,1.579898228,0.7499339134,0.8114260683,1.877640237,0,0,1.439379613,0.6820546736,0.7423158387,0.4299084259,0.003696096169,0.0009997535269,0.938507152
5,1.449531198,0.7282428145,0.7056213965,1.586827755,0,0,1.306766003,0.7179982265,0.5761283487,0.414954892,0.002665892263,0.0009996149036,0.934742989
6,1.332754393,0.6569943577,0.66088368,1.506748786,0,0,1.339775721,0.530648912,0.7971134434,0.4072435958,0.002425441868,0.0009994454925,0.934593374
7,1.342712412,0.5602113182,0.768746535,1.393127124,0,0,1.533675482,0.5302116945,0.9912824978,0.3662294745,0.002853547436,0.0009992453042,0.929519705
8,1.488470952,0.5316606387,0.9425008148,1.449335178,0,0,1.401299357,0.4368508831,0.9502561341,0.364573393,0.003848960022,0.0009990143508,0.928333498
9,1.229272803,0.516109546,0.6980647147,1.529251784,0,0,1.160364941,0.5531491538,0.5973003705,0.3298477816,0.002054857866,0.0009987526468,0.932729168
10,1.253423606,0.5062440087,0.7365315259,1.078488449,0,0,2.294616779,1.083443657,1.203098233,0.2712329763,0.001651370393,0.0009984602082,0.977333836
11,1.761363258,1.028090234,0.7194850246,1.396515643,0,0,1.200359821,0.3345646212,0.8540208588,0.4616741772,0.001849379245,0.0009981370531,0.932139328
