epoch,train_loss,train_p_rel_l2,train_tau_rel_l2,train_head,train_force,train_sym,val_loss,val_p_rel_l2,val_tau_rel_l2,val_cl_mae,val_cd_mae,lr,epoch_time_s
0,3.755524218,2.216403782,1.470351607,5.777367055,0,0,2.293630323,0.9777176332,1.204780982,1.594627539,0.02391018329,0.001,2.463762829
1,2.381534517,1.142788917,1.166761249,6.047504425,0,0,2.474432774,1.488996553,0.9353306746,0.7735041177,0.0103804493,0.0009999845942,0.622004135
2,2.206260383,1.190459073,0.9566024095,4.97338438,0,0,1.849892468,0.8605787194,0.931351943,0.5625945382,0.01444344039,0.0009999383779,0.586525445
3,1.895413369,0.8881633282,0.9688804895,3.223480105,0,0,1.782595491,0.8475139189,0.887429831,0.5355094239,0.01133918608,0.0009998613539,0.567974619
4,1.905681074,0.8678256869,1.002796873,2.945312858,0,0,2.087085223,1.023489025,1.031541328,0.5421426004,0.006294122371,0.0009997535269,0.57546813
5,1.77087301,0.8699509352,0.8709529638,2.517750442,0,0,2.004883986,0.9052704501,1.073848433,0.5329558206,0.004346547551,0.0009996149036,0.566473109
6,1.752257407,0.8211102784,0.9051229656,2.186327845,0,0,1.860033331,0.9538882303,0.8777250099,0.5312809837,0.00520934938,0.0009994454925,0.567858554
7,1.616819322,0.7976454943,0.7889465243,2.539439797,0,0,1.804774437,0.9269103575,0.8473030663,0.8268058068,0.003728595278,0.0009992453042,0.584535464
8,1.626472026,0.7965766042,0.8028016239,2.276183397,0,0,1.685369487,0.8347159266,0.8231028891,0.7010188993,0.003686430124,0.0009990143508,0.612222871
9,1.440846056,0.6675715595,0.7487034798,2.064246863,0,0,1.743720274,0.8449453926,0.8721746182,0.5353665125,0.004596417877,0.0009987526468,0.593089488
10,1.580445886,0.7259868085,0.8348542601,1.647025526,0,0,1.671049004,0.8166530883,0.8250730538,0.5464005303,0.005387701886,0.0009984602082,0.590785014
11,1.571522236,0.7741877735,0.7777200043,1.647833586,0,0,1.658952312,0.7938429475,0.8401051712,0.5457881904,0.004008707241,0.0009981370531,0.5648227
12,1.668750942,0.8590817451,0.7905222028,1.60856086,0,0,1.885378323,1.101326501,0.7604889297,0.5327222759,0.003642775672,0.0009977832013,0.576336769
13,1.74104628,0.9025957286,0.8212074339,1.448617429,0,0,2.089089112,1.107146533,0.9560884285,0.6113023697,0.003800683846,0.0009973986748,0.566666295
14,1.745402098,0.9384063184,0.7890728712,1.505727142,0,0,1.740683255,0.825317378,0.8914077616,0.5415498239,0.00370467369,0.0009969834972,0.56598815
15,1.621652752,0.8573364913,0.7458065003,1.55503276,0,0,1.614729748,0.8563134027,0.733401475,0.5241223377,0.004170973036,0.0009965376942,0.579327678
16,1.636343002,0.846137017,0.7707462758,1.634837925,0,0,1.741033216,0.9403234482,0.7656429315,0.7108261591,0.006022323566,0.0009960612933,0.582127543
17,1.727274299,0.974032253,0.7307411581,1.890334427,0,0,1.909584932,0.894400506,0.9900465083,0.5233062041,0.004216368315,0.0009955543238,0.561422576
18,1.573532209,0.7632801831,0.7874375284,1.916677177,0,0,1.637268496,0.7755929351,0.8378938985,0.5216409618,0.003794109109,0.000995016817,0.56576149
19,1.503354102,0.7008176595,0.7841563672,1.54413566,0,0,1.776018519,0.8787654686,0.8720003772,0.609870903,0.003618502137,0.0009944488061,0.571447956
20,1.542376488,0.7573339492,0.7666831613,1.542399913,0,0,1.599648151,0.7370854962,0.8378363514,0.5163046676,0.004135843138,0.0009938503261,0.570180222
21,1.370450139,0.6777715683,0.6731079668,1.644153386,0,0,1.931359978,1.111395819,0.7925313306,0.5133092773,0.005024842373,0.000993221414,0.579084828
22,1.591767579,0.8849994838,0.6809027791,2.172981948,0,0,1.607566118,0.8007061696,0.7742151356,0.6915767935,0.005387551417,0.0009925621084,0.578752459
23,1.496530116,0.7866131365,0.690917477,1.596174061,0,0,1.679938512,0.9164154625,0.7372474813,0.6373996364,0.003744361871,0.0009918724502,0.583764072
24,1.474195898,0.8188744336,0.6360938996,1.615332872,0,0,1.599131064,0.8678500462,0.7077119291,0.5167464989,0.003761888244,0.0009911524817,0.57686186
25,1.532782525,0.861350581,0.6562733501,1.273488969,0,0,1.548328333,0.8415944791,0.6835268414,0.5226986569,0.003602259574,0.0009904022476,0.612945761
26,1.249115616,0.6824653447,0.5481946841,1.550478131,0,0,1.597317696,0.885760076,0.6883220005,0.5005273244,0.003773968634,0.0009896217939,0.566892063
27,1.550872147,0.8897912353,0.6439297199,1.440899491,0,0,1.537643676,0.826265254,0.6869884634,0.570751261,0.003628927399,0.0009888111689,0.562187578
28,1.317350149,0.6700565219,0.6311157942,1.359119892,0,0,1.432023621,0.6953406107,0.7129153538,0.5549755375,0.003545234515,0.0009879704226,0.592994451
29,1.191116631,0.5782497823,0.596774891,1.351907581,0,0,1.477907352,0.7914479709,0.6646624339,0.4761443195,0.003491860083,0.0009870996068,0.592464653
30,1.257133842,0.6367799789,0.6047778875,1.308556139,0,0,1.31947726,0.6638043177,0.6325689745,0.4925334683,0.00379040333,0.0009861987752,0.561097679
31,1.233579129,0.6235373169,0.5924204588,1.480393887,0,0,1.278147805,0.6366622698,0.6209436917,0.4449724524,0.00331831641,0.0009852679835,0.569499565
32,1.309739321,0.5229175016,0.7698667347,1.424418181,0,0,1.366688633,0.6865034008,0.653200748,0.6118158194,0.004159023506,0.000984307289,0.590317168
33,1.36364615,0.6636793464,0.684224993,1.322492033,0,0,1.384706445,0.6894911814,0.6724638796,0.4853090221,0.003730419106,0.000983316751,0.593522041
34,1.208183378,0.6397335976,0.5475075841,1.759384438,0,0,1.309019642,0.6946149349,0.5941459262,0.4307036197,0.003332246034,0.0009822964305,0.573466804
35,1.191718131,0.60886015,0.5631212145,1.658116683,0,0,1.258812408,0.6021149087,0.630642184,0.6580917777,0.003522101403,0.0009812463906,0.577518325
36,1.064078644,0.5112568438,0.5353975296,1.463839412,0,0,1.192600534,0.5638320768,0.605876193,0.5306228131,0.003443344547,0.000980166696,0.589821536
37,1.097091466,0.5317919105,0.5490250885,1.36723879,0,0,1.499323111,0.8662710595,0.6103039777,0.5408493501,0.003322176519,0.0009790574133,0.578658763
38,1.192165136,0.6380119771,0.5366958082,1.466616601,0,0,1.745013437,1.086207268,0.6368843579,0.5136434853,0.003256940399,0.0009779186109,0.583478454
39,1.357500762,0.7689168304,0.5729174465,1.316164911,0,0,1.296973844,0.6867595816,0.5871303689,0.5261038621,0.003537855134,0.0009767503591,0.606988405
40,1.134841084,0.5408748388,0.5735187531,1.717823416,0,0,1.41644433,0.8180861211,0.5772244632,0.4936038329,0.003151400066,0.0009755527299,0.583055253
41,1.161853224,0.6858416274,0.4591067582,1.420196146,0,0,1.771907039,1.189823148,0.5615849161,0.4649241593,0.003158315127,0.0009743257972,0.567512668
42,1.444284499,0.8581498265,0.5715181679,1.227954417,0,0,1.967872338,1.290180497,0.6587252355,0.4146444175,0.003036036645,0.0009730696367,0.564838451
43,1.62972492,0.92789644,0.6886902303,1.103762716,0,0,2.078126516,1.080685282,0.9786276484,0.4055361345,0.003053794964,0.0009717843259,0.572679573
44,1.576076895,0.8082439601,0.7485999018,1.615798116,0,0,1.651401215,1.027765965,0.6051761031,0.3927249718,0.003034163802,0.0009704699441,0.585866669
45,1.427942008,0.8198962659,0.5866675377,1.796013713,0,0,1.762851019,1.188086898,0.5499045241,0.5729325777,0.003763380605,0.0009691265723,0.58834076
46,1.348536134,0.865156889,0.4665216357,1.416228861,0,0,1.688021631,1.097032819,0.5725690103,0.402172742,0.002952305754,0.0009677542934,0.59500925
47,1.434298038,0.8730270416,0.5473995432,1.165361762,0,0,1.625714431,0.8920211077,0.7127923822,0.4870134743,0.003125147545,0.0009663531921,0.599653632
48,1.331904873,0.7667999417,0.5517289713,1.123731688,0,0,1.875150661,1.199000647,0.6576102114,0.4132560913,0.002909492604,0.0009649233547,0.578321161
49,1.490731299,0.8796221614,0.5938284993,1.451772183,0,0,1.830564547,1.226392589,0.5889319563,0.3230915336,0.002513432209,0.0009634648695,0.578075191
50,2.179044276,1.520388126,0.6488081664,0.8273407668,0,0,1.580734253,0.8747055984,0.6930077457,0.2519097149,0.002324399161,0.0009619778265,0.583860058
51,2.015901625,1.303219438,0.7031490356,0.8008888513,0,0,2.320828586,1.58781508,0.7183350039,0.3090221891,0.002436707215,0.0009604623173,0.575585831
52,1.711528987,0.9977986515,0.7016703486,1.013175115,0,0,1.739177651,0.9550709224,0.7690288019,0.2616949674,0.002911625593,0.0009589184355,0.578468105
53,1.384102166,0.6850841045,0.6875992268,0.9593137056,0,0,1.349452596,0.5869016767,0.7475670481,0.3117699794,0.002514377264,0.0009573462763,0.5697604
54,1.07804741,0.4980793893,0.5597838312,1.695699126,0,0,1.232057426,0.641669513,0.5622854686,0.8938180202,0.002449712926,0.0009557459367,0.567618879
55,1.049361005,0.5137129128,0.5069259629,2.412985712,0,0,1.293308501,0.5862006474,0.6778811514,0.9101976062,0.002689785752,0.0009541175153,0.576443346
56,1.174203545,0.5814291388,0.5711612254,1.815754056,0,0,1.246065705,0.6030254638,0.6149555397,0.3809490694,0.006204043375,0.0009524611127,0.561477325
57,1.104461133,0.5452886522,0.5294623226,2.49598974,0,0,1.360572941,0.8108305883,0.5207411397,0.486963169,0.005720422277,0.000950776831,0.569518822
58,1.046191856,0.582568042,0.4431135133,1.723099858,0,0,1.080112875,0.5364133668,0.5239719272,0.4299913712,0.003167299232,0.0009490647741,0.571188539
59,1.069895238,0.619140543,0.4367152601,1.179470003,0,0,1.111316521,0.4925239015,0.5949378622,0.4785167731,0.004133680407,0.0009473250476,0.569070007
60,0.9258006215,0.4226929322,0.4876502156,1.298602998,0,0,1.246936975,0.6779141665,0.550164516,0.4079979728,0.003050065241,0.0009455577588,0.60915403
61,0.9796222299,0.5285529494,0.4387414008,1.03568089,0,0,1.08235718,0.5608906078,0.5044322991,0.3557520522,0.002848776667,0.0009437630168,0.581304455
62,0.8631926924,0.4245700464,0.4274629429,0.9375420511,0,0,1.00487988,0.5008118033,0.4886136645,0.3055621146,0.002710620561,0.0009419409322,0.583681655
63,0.8004112393,0.3808726147,0.4101032391,0.7926796675,0,0,1.165529342,0.5801537061,0.5712861264,0.259124286,0.00261383886,0.0009400916175,0.581353389
64,0.9416827857,0.4293509573,0.5035577044,0.7371247709,0,0,1.13699873,0.5787153661,0.5442588568,0.2752157286,0.002475034911,0.0009382151867,0.578013734
65,1.020732909,0.4891405255,0.5201932564,0.9576528966,0,0,1.145460601,0.5563595283,0.5691195512,0.3625525363,0.003743064436,0.0009363117555,0.597863566
66,1.039526105,0.5306819975,0.4920124263,1.414052889,0,0,1.389985952,0.8257527328,0.5440763605,0.3364489026,0.003990616682,0.0009343814415,0.594685819
67,1.26361385,0.6892805248,0.5579845309,1.373483449,0,0,1.519840178,0.9259702945,0.5711607206,0.6643814872,0.002404053072,0.0009324243635,0.584889748
68,1.282872677,0.7195670456,0.5441720784,1.607437968,0,0,1.770269728,1.121550221,0.6328942311,0.2914011836,0.002933251685,0.0009304406425,0.580368077
69,1.406354517,0.791388154,0.6014717221,1.133701339,0,0,1.540180511,0.8690401101,0.6584214163,0.2319139127,0.002374272929,0.0009284304007,0.585272655
70,1.218627155,0.6401237249,0.569082126,0.7914951146,0,0,1.543402724,0.8559027886,0.6741372657,0.2263994099,0.002620906252,0.0009263937621,0.601506095
71,1.141046315,0.5813287497,0.5494730771,0.860653013,0,0,1.523011632,0.8870887613,0.621171025,0.3094539753,0.002457025493,0.0009243308524,0.583500701
72,1.154828355,0.6633030623,0.4734166414,1.521331772,0,0,1.408107424,0.8436594105,0.5389247859,0.6402978021,0.00348211356,0.0009222417988,0.615466838
73,0.9844374508,0.5395758003,0.4252185822,1.650241017,0,0,1.557243385,0.9804388857,0.5588254213,0.3755628759,0.003006201233,0.0009201267302,0.602374551
74,1.216572076,0.7146431059,0.4898769557,1.012506023,0,0,1.220446844,0.6526674473,0.5507207739,0.3552825002,0.002860016949,0.000917985777,0.581415341
