epoch,train_loss,train_p_rel_l2,train_tau_rel_l2,train_head,train_force,train_sym,val_loss,val_p_rel_l2,val_tau_rel_l2,val_cl_mae,val_cd_mae,lr,epoch_time_s
0,2.35330884,1.170750214,1.150642877,3.382191863,0,0,1.698103261,0.9021719909,0.7761340761,0.7663121611,0.003653638051,0.001,11.6741673
1,1.514259084,0.7893378342,0.7083903687,1.751819712,0,0,1.363706837,0.6992480791,0.6490634859,0.5166334945,0.003536406667,0.0009999845942,3.1791679
2,1.296421802,0.6989923973,0.584014791,1.421579775,0,0,1.257969441,0.5999254715,0.6445059299,0.4911496427,0.002786787557,0.0009999383779,3.111744687
3,1.106319526,0.5675599013,0.5283532657,1.102787718,0,0,0.9556803703,0.4659997582,0.4794201481,0.3000517709,0.002745027016,0.0009998613539,3.082652255
4,1.038675826,0.5090136934,0.5208959938,0.9289705117,0,0,1.138278999,0.5409211934,0.5867129719,0.2848556246,0.003079640982,0.0009997535269,3.119834311
5,0.9344746443,0.4823040136,0.4430021474,0.9716075997,0,0,0.8717318368,0.4174598837,0.446285876,0.2387271436,0.002091082768,0.0009996149036,3.08828538
6,1.062195151,0.5429153632,0.5096740282,1.017946421,0,0,1.065180347,0.6036932707,0.4524085116,0.2780176662,0.002318984359,0.0009994454925,3.095947588
7,1.024548266,0.5381855734,0.4786578864,0.8164975277,0,0,0.8350073838,0.3505509913,0.4768633151,0.2235654898,0.002018108731,0.0009992453042,3.103446354
8,0.9016482491,0.5059823712,0.3888403496,0.7233188532,0,0,0.983058908,0.6094504333,0.3655382127,0.2412717637,0.002112879972,0.0009990143508,3.113356995
9,0.8028602072,0.4058543352,0.3901205364,0.7296560556,0,0,0.8280826044,0.2582086378,0.5626933527,0.210194163,0.001919240933,0.0009987526468,3.094067266
10,0.7234094129,0.3246320662,0.3909225369,0.8323939267,0,0,0.6346701288,0.2334101588,0.3931349099,0.2066196479,0.002445402783,0.0009984602082,3.121357898
11,0.770910939,0.3939067119,0.3696026243,0.7843665968,0,0,0.6696508849,0.2146904185,0.445975703,0.3069778225,0.002015930014,0.0009981370531,3.132280257
12,0.6870000505,0.2927226512,0.3881832226,0.6458153332,0,0,1.006545019,0.5535779822,0.4453307831,0.2004058973,0.002243786892,0.0009977832013,3.124744176
13,0.7374778295,0.35036235,0.3809896037,0.6491749869,0,0,0.7534197414,0.3107631058,0.4360244834,0.1925550215,0.001786537901,0.0009973986748,3.122323954
14,0.6291964935,0.2980470502,0.3244534893,0.7095877257,0,0,0.6185597956,0.3039901727,0.3084704471,0.1635462742,0.001761632385,0.0009969834972,3.145720695
15,0.5663200339,0.277829535,0.2835167711,0.527079125,0,0,0.6215121138,0.2750035924,0.3414514714,0.152343322,0.001313854312,0.0009965376942,3.112684454
16,0.547169686,0.2521482472,0.2894120094,0.5944458815,0,0,0.6105412948,0.3331836665,0.2700022924,0.2348972454,0.001794196605,0.0009960612933,3.121954535
17,0.5498937666,0.2637528498,0.2804195867,0.606304101,0,0,0.563565563,0.1554034653,0.4035475039,0.1409533276,0.001181904939,0.0009955543238,3.098543433
18,0.5105901841,0.2319068982,0.2744954543,0.4437949759,0,0,0.5380328906,0.2602074683,0.2738951522,0.1221438193,0.0009882776998,0.000995016817,3.107469618
19,0.4303653586,0.1808406912,0.2448636266,0.4939427958,0,0,0.5042186868,0.2174723136,0.2813159436,0.1591861561,0.001449483638,0.0009944488061,3.117277557
20,0.4514396611,0.1922268405,0.2548305531,0.4644004628,0,0,0.4429008341,0.210473395,0.2284295169,0.1282998098,0.0009697492933,0.0009938503261,3.127506263
21,0.3554046648,0.1526234832,0.1990487017,0.3955399824,0,0,0.378365429,0.1723728251,0.202168026,0.119204767,0.000958672096,0.000993221414,3.125102167
22,0.3688189062,0.1626331379,0.2024930353,0.3913285803,0,0,0.5079837084,0.2238705146,0.2772313672,0.2044124119,0.001813391284,0.0009925621084,3.155964379
23,0.4678848819,0.2078582245,0.2544847605,0.5872890583,0,0,0.4280489624,0.1776116607,0.2451705968,0.2073020528,0.0009418440564,0.0009918724502,3.130828962
24,0.3327493966,0.1415334774,0.1877480058,0.3675036268,0,0,0.3415075254,0.1533129632,0.1850419882,0.09483772017,0.0008202271303,0.0009911524817,3.121753483
25,0.3257523365,0.1404828792,0.1825334845,0.2899381996,0,0,0.329275769,0.1375962692,0.1876834947,0.1100143773,0.001129064239,0.0009904022476,3.146890657
26,0.3239407069,0.1347903516,0.1859398344,0.340227331,0,0,0.3305548412,0.1280670074,0.1993576393,0.1135120579,0.0006447770866,0.0009896217939,3.122937423
27,0.3343841962,0.1346012577,0.1969884583,0.2961381999,0,0,0.3691876799,0.1527609015,0.2136301979,0.0987512812,0.0005994002381,0.0009888111689,3.132252755
28,0.4015644687,0.1712390808,0.2272870205,0.3219836165,0,0,0.4747656786,0.2214709622,0.250662756,0.07312022679,0.0007378749456,0.0009879704226,3.155896938
29,0.3438251909,0.1501730044,0.1905685745,0.3267781284,0,0,0.3087316865,0.1315495381,0.1750016829,0.05439448342,0.0006654999079,0.0009870996068,3.143695161
30,0.2985907915,0.1313751648,0.165245807,0.2087466663,0,0,0.4037129098,0.1845650521,0.217336126,0.04713187613,0.0005359884771,0.0009861987752,3.173072279
31,0.2959271845,0.1308160868,0.1623923836,0.2881090685,0,0,0.3108989209,0.1328587648,0.1753712493,0.05880689904,0.0008827245235,0.0009852679835,3.166998109
32,0.2837317305,0.1209487829,0.1603359788,0.2593115881,0,0,0.4230677128,0.2081744617,0.2125441569,0.06516878188,0.0006593904039,0.000984307289,3.141995422
33,0.29192291,0.1228504701,0.1666174707,0.260159228,0,0,0.3016180724,0.111912217,0.1869946301,0.05870733835,0.0009057682008,0.000983316751,3.145140552
34,0.309030565,0.1326232867,0.1739489528,0.260515362,0,0,0.3631500036,0.1473532495,0.2138732141,0.04678493343,0.0005976053514,0.0009822964305,3.178796321
35,0.3243500899,0.1378301658,0.183845115,0.2834561953,0,0,0.4681423199,0.198276782,0.2670377618,0.08290380307,0.0007546925917,0.0009812463906,3.12665347
36,0.3129091744,0.1380416202,0.1717349249,0.3319726878,0,0,0.3326781714,0.131241004,0.1993211487,0.04933901168,0.0006760604074,0.000980166696,3.152315407
37,0.2850605317,0.1159361875,0.1670259644,0.2223706289,0,0,0.3181624871,0.1150495996,0.2011345804,0.05327776141,0.000569379502,0.0009790574133,3.173666294
