epoch,train_loss,train_p_rel_l2,train_tau_rel_l2,train_head,train_force,train_sym,val_loss,val_p_rel_l2,val_tau_rel_l2,val_cl_mae,val_cd_mae,lr,epoch_time_s
0,3.224991108,1.945172109,1.235099745,3.221356739,0,0,2.14013483,0.8236421227,1.286099126,0.5950214158,0.005607543113,0.001,12.1685083
1,1.559566013,0.7791796923,0.7567750094,1.700844033,0,0,1.259283035,0.6158303332,0.6184896326,0.5112522322,0.004407961876,0.0009999845942,7.5724277
2,1.301021617,0.6849083067,0.5945078913,1.556349009,0,0,1.24658143,0.7087848949,0.5180461907,0.3959153551,0.003562713549,0.0009999383779,7.464201728
3,1.099415755,0.597224392,0.4866708334,1.118024739,0,0,1.521089158,1.004959116,0.495056777,0.4399998805,0.00364734964,0.0009998613539,7.306393531
4,1.224042189,0.7141111446,0.4946471737,1.100976261,0,0,0.8846667337,0.4023666859,0.4692147386,0.2457716477,0.002505413317,0.0009997535269,7.41585061
5,0.9607576159,0.5158189095,0.4312764108,0.9841650223,0,0,0.7426194429,0.3490984958,0.3781437403,0.3448357579,0.002453105836,0.0009996149036,7.403464808
6,1.088939839,0.6126512797,0.4633089649,0.9349866692,0,0,0.8521832013,0.4607390034,0.3774985737,0.2840102475,0.00247654865,0.0009994454925,7.286238043
7,0.9515803578,0.4992467734,0.4406175986,0.8439624364,0,0,0.6596036518,0.3144719428,0.3327996242,0.2408307678,0.002280474086,0.0009992453042,7.35954166
8,0.8397540735,0.4450315132,0.3832144842,0.8289860284,0,0,0.701362797,0.3727302086,0.3174827981,0.2237727363,0.002008969071,0.0009990143508,7.428719454
9,0.73156517,0.3117149838,0.4096839509,0.7323261682,0,0,0.83690238,0.2840328854,0.5423454297,0.2102531891,0.001904656072,0.0009987526468,7.268644162
10,0.6408319182,0.2955145033,0.3350145194,0.742170596,0,0,0.6249160194,0.315588702,0.2983507586,0.2286426053,0.001904575513,0.0009984602082,7.445116031
11,0.55659053,0.2715121247,0.2756458677,0.6794744317,0,0,0.5274861491,0.2515314829,0.2668179971,0.1781742875,0.001691796095,0.0009981370531,7.588718612
12,0.5347774957,0.2667255903,0.2597444142,0.5984313346,0,0,0.6103192544,0.3380163336,0.2634590292,0.1785065966,0.00158461527,0.0009977832013,7.662110225
13,0.5513255874,0.2550282096,0.2880047702,0.5973592495,0,0,0.5366634405,0.2311826104,0.2939693975,0.2124882449,0.00223670037,0.0009973986748,7.539822337
14,0.4973022856,0.2320263806,0.2575176748,0.5588652884,0,0,0.4798326409,0.1961444467,0.2752236658,0.1570133118,0.001637951732,0.0009969834972,7.485311259
15,0.5163470967,0.2226910857,0.283404332,0.7384809466,0,0,0.6445356846,0.2440384489,0.391881932,0.1933647068,0.001372936177,0.0009965376942,7.536472725
16,0.5471404222,0.2240394693,0.3162830069,0.4911320836,0,0,0.5376559341,0.2503380007,0.2791085696,0.1785834927,0.00135795766,0.0009960612933,7.363143832
17,0.4738188853,0.2029963369,0.2646627267,0.4437237226,0,0,0.4685752058,0.2123466468,0.2493529361,0.1264184597,0.001340316972,0.0009955543238,7.244533437
18,0.422821773,0.1959060188,0.2208852497,0.4344084933,0,0,0.5781346869,0.2501655501,0.3219998366,0.1258295844,0.001022700975,0.000995016817,7.485110371
19,0.519571433,0.2115573914,0.3011118048,0.4972037544,0,0,0.4977877903,0.1700975665,0.3214692086,0.1304465267,0.001071870178,0.0009944488061,7.200450974
20,0.5155573386,0.2226162952,0.2858607136,0.5100327317,0,0,0.4243472898,0.2029708868,0.2154547894,0.1259165545,0.001004954488,0.0009938503261,7.432430267
