epoch,train_loss,train_p_rel_l2,train_tau_rel_l2,train_head,train_force,train_sym,val_loss,val_p_rel_l2,val_tau_rel_l2,val_cl_mae,val_cd_mae,lr,epoch_time_s
0,2.386513193,1.23192915,1.113497374,2.882268838,0,0,1.631056871,0.75922019,0.8441748857,0.6479458522,0.003912942228,0.001,8.093509022
1,1.913832296,1.108685598,0.7716876268,2.347185631,0,0,1.854592838,1.151116674,0.6798111248,0.5104785457,0.003732021931,0.0009999845942,3.102361086
2,1.680726628,1.056020738,0.603299804,1.501657403,0,0,1.599653816,0.6503606987,0.9259369779,0.4891574886,0.003811812191,0.0009999383779,3.111236525
3,1.564248141,0.8684022623,0.6779873635,1.252791009,0,0,1.05598212,0.4684021628,0.5703448296,0.3317965262,0.003068557396,0.0009998613539,3.101816882
4,1.62699053,0.8438096216,0.7629626969,1.418327395,0,0,1.345589657,0.7752822423,0.5509909177,0.4277535637,0.002949124216,0.0009997535269,3.102508908
5,0.9943996803,0.5391864316,0.4389299229,1.142290241,0,0,0.961206522,0.498454653,0.4504535389,0.2289756943,0.002257828587,0.0009996149036,3.120575092
6,1.211019333,0.6297711879,0.562051918,1.346633791,0,0,1.004583497,0.4455211294,0.5454041564,0.2664317979,0.002401073021,0.0009994454925,3.101165886
7,0.9957438287,0.4987339733,0.4834636565,0.9502787576,0,0,1.381627591,0.9745384622,0.3923274255,0.3252353692,0.002268228312,0.0009992453042,3.113049634
8,1.129466116,0.6527306465,0.462764465,0.9800791673,0,0,0.8191027141,0.2935806203,0.5133703876,0.2376191574,0.002131189881,0.0009990143508,3.161016323
9,0.8648087369,0.4289026552,0.4249856872,0.7660759511,0,0,0.6160307968,0.2659040815,0.3375059205,0.2416924186,0.002258171816,0.0009987526468,3.132046694
10,1.014277919,0.6332502091,0.3674513085,0.952397507,0,0,1.198533852,0.6601240945,0.5245074666,0.2828670243,0.002341623018,0.0009984602082,3.144267906
11,0.894130551,0.387462361,0.4952525016,0.8008208302,0,0,0.8641046262,0.411336689,0.4418424129,0.2100959104,0.001947230678,0.0009981370531,3.177894253
12,0.7558262389,0.3660098335,0.3795997954,0.7167048488,0,0,0.6963010728,0.2843654633,0.4012626624,0.2117238235,0.001845358559,0.0009977832013,3.147497367
13,0.61047379,0.2840014388,0.316832918,0.6762156832,0,0,0.4908870721,0.1897273573,0.2912212795,0.2085958817,0.001618038877,0.0009973986748,3.100008306
14,0.5482946526,0.2724189379,0.2672187923,0.607291265,0,0,0.9126897311,0.5374459004,0.3656335026,0.182359153,0.001734270169,0.0009969834972,3.11650895
15,0.7009702061,0.3739964329,0.3190948228,0.5527156679,0,0,0.7503320313,0.444281038,0.2959196031,0.1967718533,0.001788628516,0.0009965376942,3.100457173
16,0.6889806803,0.3163151284,0.3591585955,0.9475260905,0,0,0.6356647766,0.2318326229,0.3912676823,0.2389583656,0.0022626109,0.0009960612933,3.105040358
17,0.5340364968,0.2348705611,0.2889587635,0.7160431804,0,0,0.5692916286,0.2859892851,0.2748251808,0.1626302505,0.001514233993,0.0009955543238,3.107347232
18,0.5113541023,0.2633676079,0.239739628,0.5785256509,0,0,0.5725067365,0.2906163746,0.2731397122,0.178533048,0.001469658599,0.000995016817,3.119998412
19,0.4546332231,0.1968051024,0.2504548288,0.5172432126,0,0,0.5622302866,0.2809704804,0.2706770515,0.171523809,0.002166536977,0.0009944488061,3.189347818
20,0.493068521,0.2328094517,0.2528501126,0.5197449001,0,0,0.7161460364,0.2051610929,0.4942263997,0.2895757933,0.003273436003,0.0009938503261,3.148923253
21,0.5506037684,0.2561257021,0.2863048874,0.5733559287,0,0,0.5672666538,0.2915824842,0.2686820346,0.1322810863,0.001268746015,0.000993221414,3.200634221
22,0.5298069865,0.2603082081,0.2631778514,0.443418873,0,0,0.526467886,0.2701257128,0.2499193347,0.1211686701,0.001165255043,0.0009925621084,3.147607593
23,0.4223945283,0.1928220855,0.2238900208,0.3986272602,0,0,0.564539535,0.2557302791,0.3004909712,0.1610553105,0.001472940203,0.0009918724502,3.20323476
24,0.4677313119,0.2128634895,0.2457705025,0.6381856027,0,0,0.5382411277,0.2550378263,0.2717124957,0.2830193488,0.001503929473,0.0009911524817,3.110319171
25,0.4227138419,0.1918907438,0.2238609154,0.4884035926,0,0,0.4473491061,0.1850080472,0.2540872341,0.1435666277,0.001603916422,0.0009904022476,3.085197699
26,0.3673096052,0.1532264597,0.2086879601,0.3784772293,0,0,0.447960152,0.2173639944,0.2248175249,0.1158163881,0.0009887560317,0.0009896217939,3.152988821
27,0.3758557429,0.1552420623,0.2150307823,0.3916454959,0,0,0.3516560185,0.127299979,0.2187943417,0.1039306249,0.001017729021,0.0009888111689,3.114219312
28,0.3326836926,0.1407671191,0.1873617121,0.3195280927,0,0,0.3825938809,0.13961685,0.2358870429,0.1397134013,0.001234050398,0.0009879704226,3.109282839
29,0.3628225523,0.153794512,0.2038296793,0.3646699373,0,0,0.4042657924,0.1801765963,0.2196407813,0.1004512017,0.00066211625,0.0009870996068,3.239284557
