epoch,train_loss,train_p_rel_l2,train_tau_rel_l2,train_head,train_force,train_sym,val_loss,val_p_rel_l2,val_tau_rel_l2,val_cl_mae,val_cd_mae,lr,epoch_time_s
0,2.276274929,1.123629604,1.106260728,3.749841951,0,0,1.848968248,1.002495272,0.7992178178,1.709003667,0.004086336377,0.001,5.575894609
1,1.731914131,0.8905646205,0.8171217854,1.958627082,0,0,1.590209794,0.819238596,0.7462639809,0.7616049564,0.003265664228,0.0009999845942,1.994947657
2,1.654702054,0.8946432632,0.7396551485,1.649479513,0,0,1.562339778,0.8615742636,0.6815434527,0.5092046586,0.003253699183,0.0009999383779,1.977915683
3,1.429979223,0.7380001637,0.673158178,1.521525525,0,0,1.857359076,1.093219018,0.74701823,0.4505392846,0.002924117609,0.0009998613539,1.974949601
4,1.707435058,0.9656822143,0.7243331992,1.408246517,0,0,1.531927047,0.7892359447,0.7275167131,0.4114258663,0.002487715441,0.0009997535269,1.988230812
5,1.246260097,0.6232224107,0.6099645667,1.056861325,0,0,1.053567131,0.4513207614,0.5924714231,0.249195763,0.001738022417,0.0009996149036,1.996123331
6,1.098119846,0.5739534589,0.5131903474,0.8873305,0,0,1.033141341,0.5530439961,0.4709065402,0.2093482978,0.00184772844,0.0009994454925,2.008281088
7,1.026186682,0.4800682125,0.5321158893,1.132002104,0,0,1.194478228,0.4574456382,0.7145874715,0.6262328857,0.003528431752,0.0009992453042,2.001817189
8,1.015023452,0.4050909716,0.5952409483,1.187699361,0,0,0.9132527757,0.3713625324,0.5295093429,0.2972853839,0.002358357958,0.0009990143508,1.997309434
9,0.9442505516,0.3570305493,0.5765588857,0.8618703977,0,0,0.8739254308,0.3981293762,0.4622293293,0.3916232738,0.00202059248,0.0009987526468,1.995306701
10,0.9281556171,0.4483908289,0.468967589,0.8728711662,0,0,0.8512180829,0.4664076102,0.3764600444,0.1937758331,0.001648229877,0.0009984602082,2.006587104
11,0.8393895672,0.4226670907,0.407862559,0.7162573338,0,0,0.776915586,0.3496055448,0.4188841689,0.187226688,0.001734139877,0.0009981370531,1.985660805
12,0.802659264,0.400498796,0.3938493362,0.6718915816,0,0,0.9485785723,0.4329428089,0.5082686591,0.1722135504,0.001443386194,0.0009977832013,1.988279418
13,0.8615583869,0.3451804828,0.5049260385,0.9257966761,0,0,0.7633486366,0.280929364,0.4721364498,0.3071570063,0.001443109214,0.0009973986748,1.985108862
14,0.6918340876,0.3088872891,0.3737436223,0.7440064102,0,0,0.8355868006,0.4685390019,0.3580988151,0.2372427792,0.00151325393,0.0009969834972,1.973703141
15,0.8509951669,0.4142497491,0.4256649556,0.8957712008,0,0,0.6551652241,0.2888701242,0.3584894049,0.1663828127,0.001666952893,0.0009965376942,1.986627521
16,0.6354381809,0.2645650833,0.362716151,0.6594272955,0,0,0.6547705245,0.2536884069,0.3931178665,0.1650775935,0.001740910462,0.0009960612933,2.009089288
17,0.6176160413,0.2516328033,0.3583112898,0.6202189418,0,0,0.6669690704,0.3535806769,0.3059145749,0.1684709348,0.001517674159,0.0009955543238,1.993182163
18,0.6709545541,0.3140841499,0.3489858508,0.637406348,0,0,0.6281223679,0.2824383658,0.3393979949,0.1538811475,0.001172191594,0.000995016817,1.974624693
19,0.696271047,0.3334602989,0.354980157,0.6330444916,0,0,0.6140956259,0.2421716732,0.3642465615,0.1771872779,0.001523688412,0.0009944488061,1.99998956
20,0.7262166142,0.3367411294,0.3823927893,0.5725821142,0,0,0.7203636575,0.3369928265,0.3769777036,0.1526223449,0.001225381396,0.0009938503261,1.993002394
21,0.5444711389,0.2354234314,0.302506213,0.5288302543,0,0,0.4570628107,0.2007349509,0.2492290944,0.1485845714,0.001539345323,0.000993221414,1.982291348
22,0.4893309806,0.2217928045,0.2613859813,0.4973579568,0,0,0.4644896221,0.2186559552,0.2399373567,0.1360614447,0.001170379105,0.0009925621084,1.971809893
23,0.4526365468,0.198020088,0.2487100466,0.4774884089,0,0,0.4583634245,0.2210192657,0.2318455821,0.1344951923,0.001026291866,0.0009918724502,1.967041291
24,0.4341850544,0.1942301244,0.2343205437,0.4554970047,0,0,0.4028139597,0.1751484209,0.2227144146,0.1243666745,0.0008961928124,0.0009911524817,1.964350347
25,0.4876446277,0.1881109373,0.2929851906,0.5293963345,0,0,0.4367247736,0.2041385537,0.2271074557,0.1223035577,0.001122776913,0.0009904022476,1.990429613
26,0.544523183,0.2442653483,0.2935682713,0.5407999146,0,0,0.5336213386,0.2633939821,0.2653306758,0.1263985587,0.0008572476124,0.0009896217939,1.992744437
27,0.5059026113,0.2245887644,0.2755950454,0.4623220792,0,0,0.5031830406,0.2537474245,0.2434010792,0.1674127624,0.0009568112344,0.0009888111689,1.986604937
28,0.4549311869,0.1871135688,0.2623329638,0.4433924831,0,0,0.4664528906,0.2022150627,0.2590145171,0.1560819947,0.0007325596549,0.0009879704226,2.002152029
29,0.4472963948,0.1937635306,0.2475694556,0.482096217,0,0,0.4890635419,0.2468396086,0.2375852823,0.1273635377,0.0007468190184,0.0009870996068,2.030669392
30,0.636790655,0.3296423205,0.2995054997,0.617865136,0,0,0.5612858522,0.2828835768,0.2706887805,0.1882162105,0.001443601497,0.0009861987752,1.99945746
31,0.5164658496,0.2365893707,0.2731588185,0.5430718935,0,0,0.4694699121,0.1807979807,0.2828118497,0.1737860974,0.0008331961744,0.0009852679835,1.979062324
32,0.4657608328,0.2040878328,0.2541905974,0.6048953911,0,0,0.4122042954,0.1946100265,0.2120155323,0.1327727929,0.00107277202,0.000984307289,1.983704647
33,0.3951134773,0.170478074,0.219450985,0.4191207507,0,0,0.3706655329,0.1748266289,0.1913652802,0.105876203,0.0008653565822,0.000983316751,1.986166537
34,0.3574822866,0.1487175848,0.204020307,0.3835483927,0,0,0.357593407,0.1615017956,0.1922607219,0.1024809251,0.0006399080111,0.0009822964305,2.003448184
35,0.4135788026,0.1681986523,0.2391860932,0.5007421976,0,0,0.4280422759,0.1645590603,0.2595517337,0.1051831782,0.0006566153513,0.0009812463906,1.973650531
36,0.4024714243,0.1481555156,0.2491252932,0.4196217461,0,0,0.3277918071,0.1285024643,0.1957289088,0.09516241808,0.0005954458378,0.000980166696,1.960542174
37,0.3895552731,0.1622240351,0.2233244782,0.3239160971,0,0,0.3385245079,0.1172866309,0.2176364994,0.09909659002,0.000577991968,0.0009790574133,1.954485367
38,0.4407296089,0.2043538211,0.2316115762,0.3851507587,0,0,0.3580630314,0.1288999361,0.2258775926,0.08063352052,0.000610918384,0.0009779186109,1.961615696
39,0.3701310456,0.171135037,0.1954797185,0.2842654425,0,0,0.3459479731,0.168703835,0.1739110753,0.07429697766,0.000683975732,0.0009767503591,1.981892929
40,0.3286951734,0.1387390308,0.1863426383,0.2921245098,0,0,0.3119518483,0.1267969564,0.1822167191,0.07293917078,0.0005392325437,0.0009755527299,1.964630511
41,0.3334933296,0.1418072868,0.1885754243,0.2514698941,0,0,0.308379755,0.1255157784,0.1798368365,0.08671423332,0.0004565749411,0.0009743257972,1.958490693
42,0.3121920423,0.1290768548,0.1796444173,0.2805853561,0,0,0.3430981773,0.1558307716,0.1840686664,0.08023853607,0.0005799420644,0.0009730696367,1.955692442
43,0.416149387,0.1961740278,0.2141044097,0.4746217441,0,0,0.5390739703,0.2915083373,0.2367363906,0.2930893153,0.001779860402,0.0009717843259,1.951397123
44,0.4758046396,0.2013704221,0.2671892918,0.5856967133,0,0,0.4837494767,0.1725116915,0.3062345886,0.1061147993,0.00107300885,0.0009704699441,1.970342977
45,0.3532810343,0.1357771751,0.2133415539,0.3364912014,0,0,0.2969564253,0.1214173844,0.1719205919,0.0941657634,0.0006269494584,0.0009691265723,1.958187322
46,0.3549363808,0.1425569579,0.2078949614,0.3625345797,0,0,0.3814120656,0.1237641346,0.2534778398,0.08408614758,0.0009316412313,0.0009677542934,1.947304144
47,0.3619559396,0.1309383907,0.2257161685,0.4285765669,0,0,0.3227769405,0.1288729343,0.190605582,0.07021649566,0.00070517899,0.0009663531921,1.951063432
48,0.361640145,0.1506709588,0.2069195119,0.3273849923,0,0,0.3582822657,0.1603992543,0.1937432402,0.08251750994,0.0009330606693,0.0009649233547,1.952842415
49,0.3002784143,0.1134635456,0.1830565838,0.3038288257,0,0,0.3170033127,0.1305866712,0.1826547024,0.08718328685,0.0007435196685,0.0009634648695,1.962772224
50,0.3005392093,0.1244779616,0.173198869,0.2314016558,0,0,0.2654835647,0.1088762403,0.1527419329,0.1075534649,0.0006101614889,0.0009619778265,1.950905081
51,0.2696072092,0.1117408622,0.1543607511,0.2834007155,0,0,0.2943890417,0.1276676545,0.1635162938,0.08801479653,0.0005159090785,0.0009604623173,1.966390412
52,0.2506509968,0.1002037595,0.1473616915,0.2494430637,0,0,0.2497347265,0.09815152347,0.1490339789,0.06757999442,0.0004310819972,0.0009589184355,1.951808471
53,0.2664475303,0.1093612597,0.1540130784,0.2484441314,0,0,0.3471718097,0.1320413211,0.2104493481,0.1322473913,0.0007218474708,0.0009573462763,2.030416889
54,0.2984058261,0.1221018666,0.1725433085,0.3040202633,0,0,0.2513819128,0.1046960858,0.1441595966,0.05737555121,0.0005093037058,0.0009557459367,1.965315315
55,0.2507583562,0.0986957871,0.1491208337,0.2378168014,0,0,0.3470941138,0.1538994157,0.1904610348,0.05866307048,0.0005804234557,0.0009541175153,1.956029861
56,0.3189007359,0.1490972254,0.1668745457,0.2367844378,0,0,0.37348104,0.2094603753,0.1610935476,0.05949188061,0.000649932269,0.0009524611127,1.964795865
57,0.285359499,0.1319600582,0.1502999491,0.2505704695,0,0,0.2748177874,0.1057386434,0.1663283345,0.07685471296,0.0004315335164,0.000950776831,1.974977864
58,0.3133670682,0.1340894636,0.1765052201,0.2241263905,0,0,0.39281416,0.1854095098,0.2045134652,0.06904095219,0.0005539887957,0.0009490647741,1.999806746
59,0.308884071,0.1326438899,0.173261572,0.2407978627,0,0,0.2434247345,0.0884084639,0.1524715501,0.06162935115,0.0004802215658,0.0009473250476,1.988892195
60,0.2762189261,0.1168409142,0.1565515456,0.2284984795,0,0,0.3200558144,0.1278398329,0.1890917689,0.08293472126,0.0005273574498,0.0009455577588,1.977628432
61,0.3201537293,0.1460024531,0.1690807578,0.40991338,0,0,0.2549744231,0.1031155966,0.1490183014,0.07747180998,0.0004617750412,0.0009437630168,1.973888574
62,0.2619605254,0.1037019915,0.1550919798,0.2559919266,0,0,0.2592396635,0.09901089326,0.1575893295,0.06526279334,0.0004866340244,0.0009419409322,1.974678627
63,0.2422610762,0.1003950393,0.139053182,0.2273977542,0,0,0.2697453618,0.1357087901,0.1316747192,0.07129334274,0.0003251108108,0.0009400916175,1.995630997
64,0.2548612712,0.1057704509,0.1463720879,0.2197887078,0,0,0.2498704392,0.1059927462,0.1420888627,0.04899013381,0.000289077214,0.0009382151867,1.980604903
65,0.2588937225,0.1006811161,0.1554167583,0.2260230636,0,0,0.3212136817,0.1452210712,0.1734451124,0.06992328741,0.0004103458906,0.0009363117555,1.971613552
66,0.2529404754,0.09826773233,0.1519733682,0.2182238039,0,0,0.2991166931,0.1345409638,0.1623053616,0.0471666252,0.000495356801,0.0009343814415,1.971441785
67,0.2640754615,0.1140814186,0.1467726766,0.2604226828,0,0,0.2831898302,0.1247423373,0.1545506096,0.1272154705,0.0004543667194,0.0009324243635,1.975750283
68,0.2477640647,0.1008161467,0.1437042318,0.2622273255,0,0,0.2763536084,0.1195857176,0.1545061162,0.05801618765,0.0003991051903,0.0009304406425,1.981669309
69,0.2155201682,0.0856702663,0.1276279622,0.1796267087,0,0,0.2685561568,0.1005858731,0.1655029696,0.0765477531,0.000321904039,0.0009284304007,1.969214647
70,0.2524740008,0.1012520707,0.1488336259,0.1930762495,0,0,0.2492403173,0.1107334834,0.1363314369,0.05781211175,0.000366649325,0.0009263937621,1.974497814
71,0.2123808803,0.08807462912,0.1217975167,0.2028121117,0,0,0.1848597941,0.07351881415,0.1097410089,0.03797786835,0.0003085331712,0.0009243308524,1.957562206
72,0.2344069636,0.09880438705,0.1253856386,0.8259615998,0,0,0.3230724585,0.167870231,0.1494231918,0.1553668576,0.000958730788,0.0009222417988,1.963632027
73,0.2234264142,0.08987028711,0.128539539,0.4055531524,0,0,0.2307436359,0.1073529938,0.1207280412,0.07451326921,0.0004166430142,0.0009201267302,1.98334797
74,0.1959837933,0.0816920126,0.1118560857,0.1969073432,0,0,0.2009033448,0.0849104473,0.1142244643,0.04719461325,0.0002963659028,0.000917985777,1.972205368
75,0.1963852615,0.07916700525,0.1152215864,0.1614156176,0,0,0.2550189817,0.109843488,0.1427572098,0.04806458666,0.0005462428275,0.0009158190713,1.960598868
76,0.238314412,0.1029697258,0.133114258,0.1803131648,0,0,0.2584202284,0.1077867424,0.1487268397,0.0456833116,0.0003640278801,0.0009136267469,1.977576192
77,0.2092847858,0.08482165678,0.1225252364,0.1566638697,0,0,0.1962723899,0.08346391603,0.111137321,0.03996359523,0.0003197275149,0.0009114089388,1.96966558
78,0.2087137074,0.08048447064,0.1250242184,0.2591015619,0,0,0.2106010282,0.0859882538,0.1200004885,0.1288916529,0.0007233003434,0.0009091657839,1.967325465
79,0.2177085859,0.0892179574,0.1259893852,0.2022062961,0,0,0.2665832376,0.1194866806,0.1455272338,0.03586712032,0.0003144606994,0.0009068974205,1.9569845
80,0.2343446704,0.09888614557,0.1330473251,0.1949272207,0,0,0.2715517807,0.1356914076,0.1341782585,0.03387714187,0.0003761536395,0.0009046039887,1.958581842
81,0.26544374,0.1062838007,0.1566471927,0.2031365825,0,0,0.2454292244,0.0972089231,0.1465725383,0.03819489127,0.0003256013431,0.0009022856298,1.960702859
82,0.2139379864,0.08312286694,0.1284537846,0.1908960474,0,0,0.225005402,0.09640732914,0.1261238196,0.05241743332,0.0005311528873,0.0008999424869,1.989714812
83,0.2166184044,0.09441801132,0.1192699639,0.2369027275,0,0,0.1926249072,0.07869245902,0.112133109,0.03991085778,0.0003709359281,0.0008975747045,1.965337075
84,0.2092066207,0.09160521784,0.1156459024,0.1580872954,0,0,0.2235464329,0.09649208799,0.1249377865,0.05740153361,0.0003468630835,0.0008951824287,1.948313297
85,0.2113417198,0.08843450821,0.1207343268,0.1756611478,0,0,0.2487624389,0.1158542088,0.1295413899,0.07183852769,0.0007183898753,0.000892765807,1.951887238
86,0.2377986776,0.1021659311,0.1330524809,0.2085947632,0,0,0.2482068276,0.09543336108,0.1510859013,0.04214966422,0.0003075173311,0.0008903249885,1.961422751
87,0.2175868303,0.08754118159,0.128177354,0.1510372944,0,0,0.228232131,0.09309270471,0.133257241,0.04010168954,0.000402108361,0.0008878601237,2.00582
88,0.1917057129,0.07908115034,0.1101659416,0.1987608436,0,0,0.1919366974,0.08114054441,0.1077411985,0.05975686115,0.000698284395,0.0008853713648,1.961683671
89,0.1879154753,0.07544749674,0.1089497409,0.2844229427,0,0,0.1954981992,0.08711447641,0.1060888529,0.05894759215,0.0004042392178,0.0008828588651,1.980582967
90,0.1987627527,0.0804160809,0.1162688597,0.1679754263,0,0,0.2255115128,0.08381776333,0.1397312465,0.05005882669,0.0003487003921,0.0008803227798,1.981669146
91,0.1985539745,0.07997123066,0.1160970336,0.2009506372,0,0,0.2085182154,0.07187039837,0.13471562,0.03201997607,0.0004910727264,0.0008777632652,1.976110624
92,0.1807715406,0.06767194432,0.1109605271,0.1729273742,0,0,0.2212711948,0.09858249366,0.1210253024,0.03710374035,0.0003411305742,0.0008751804793,1.988375565
93,0.2044546426,0.09240403685,0.1099869423,0.1668316579,0,0,0.1987455297,0.09290057898,0.1040329322,0.04747745572,0.0003112045815,0.0008725745813,1.957027055
94,0.2159747682,0.09349314954,0.1194023109,0.2489386379,0,0,0.2481211787,0.117103858,0.1290011898,0.0420135494,0.0004387857672,0.0008699457319,1.964139163
95,0.1930042992,0.0828387124,0.1079023638,0.1829644379,0,0,0.2365766388,0.09957176968,0.1351828358,0.04477024354,0.0003383364482,0.0008672940935,1.953348791
96,0.2159194201,0.08846286527,0.1255269993,0.1559898466,0,0,0.1778125161,0.0737795037,0.1024666297,0.03106061704,0.000354431686,0.0008646198294,1.950633315
97,0.1675382982,0.06672502596,0.09861035387,0.1780892138,0,0,0.1908806702,0.07121659279,0.1176311794,0.04847957108,0.0003900903929,0.0008619231047,1.985358704
98,0.165024323,0.06714814901,0.09563405411,0.1812584254,0,0,0.1860716188,0.07788675025,0.1061277422,0.03744594045,0.0004941061744,0.0008592040857,1.998163889
99,0.1765053926,0.06758808459,0.1069671483,0.1576558463,0,0,0.2158160472,0.08361825526,0.1304251862,0.03763513362,0.0003798268689,0.0008564629402,1.988573493
100,0.1764641361,0.06830404369,0.106182544,0.1598697488,0,0,0.2261126953,0.09318568841,0.1310688263,0.04259712004,0.0003712467616,0.0008536998372,1.99123392
101,0.1797418692,0.07179931121,0.1061143468,0.1477967635,0,0,0.1856697056,0.07880056873,0.1056681913,0.02524743523,0.0002594770817,0.0008509149472,1.978761233
102,0.1898088699,0.08222047727,0.1050884772,0.202099194,0,0,0.2254694045,0.1006539276,0.1223907363,0.06206662498,0.0004289723886,0.0008481084419,2.039216286
