epoch,train_loss,train_p_rel_l2,train_tau_rel_l2,train_head,train_force,train_sym,val_loss,val_p_rel_l2,val_tau_rel_l2,val_cl_mae,val_cd_mae,lr,epoch_time_s
0,4.418761015,2.319491464,2.043865561,5.485578227,0,0,2.156306887,1.250070399,0.8680577993,0.709030477,0.01329747408,0.001,2.866582885
1,2.337992299,1.146427089,1.157387477,3.383952487,0,0,1.920083797,0.8711618423,1.028131199,0.6218636677,0.005095177935,0.0009999845942,0.801542713
2,1.795499778,0.8613682628,0.9156703234,1.827851069,0,0,1.595134521,0.7713819504,0.7976275742,0.7660769224,0.006542083342,0.0009999383779,0.802981301
3,1.65538528,0.8308977067,0.8045093656,1.978049493,0,0,1.569587326,0.7402423561,0.8117771506,0.5292773657,0.004270633589,0.0009998613539,0.781367697
4,1.867283309,0.9506510139,0.8882068276,2.814415693,0,0,2.046044707,1.161135143,0.8201531708,2.232789287,0.01317630217,0.0009997535269,0.786395111
5,1.923590422,1.0571015,0.8355764329,3.060657144,0,0,1.566856217,0.7617882073,0.7854805887,0.5415177986,0.005204075202,0.0009996149036,0.792619822
6,1.772272456,0.9279267192,0.8261308014,1.803468764,0,0,1.853452218,0.956937933,0.8748508394,0.5404604793,0.006287738774,0.0009994454925,0.783789877
7,1.754962349,0.9404291749,0.7973413348,1.702171969,0,0,1.729307067,1.070881164,0.638749963,0.543619515,0.005230716197,0.0009992453042,0.790112865
8,1.582380545,0.9158140242,0.6506550431,1.575401211,0,0,1.433372724,0.7184989721,0.697563535,0.5280762084,0.004148293729,0.0009990143508,0.782115085
9,1.6216537,0.9089731276,0.6972051859,1.532220292,0,0,1.313721073,0.5856258452,0.7103588402,0.5109803267,0.00452441785,0.0009987526468,0.785103163
10,1.45924983,0.6912742615,0.7522902191,1.553011161,0,0,1.221150488,0.5719638228,0.6331600815,0.4811969139,0.003910961794,0.0009984602082,0.782569463
11,1.350291646,0.700932771,0.635928762,1.329722154,0,0,1.090276992,0.5090479285,0.5668209225,0.4227552101,0.003605667758,0.0009981370531,0.783365137
12,1.197158027,0.5792653322,0.60501647,1.274882048,0,0,1.219500703,0.6616005301,0.5401939958,0.4388202247,0.005165687262,0.0009977832013,0.804241657
13,1.111566252,0.5340418309,0.5633648098,1.401949835,0,0,0.9608362675,0.4563853562,0.4923166573,0.3193943508,0.003370174812,0.0009973986748,0.797915033
14,1.051000088,0.4896572202,0.5482484341,1.296484369,0,0,1.054195487,0.4699784189,0.5715081602,0.3744895726,0.003165933467,0.0009969834972,0.78493985
15,1.032278222,0.5054252446,0.5142701864,1.245826715,0,0,0.9572640896,0.5015760988,0.4417674631,0.3901408984,0.003650293336,0.0009965376942,0.790327558
