sim_name,p_rel_l2,tau_rel_l2,p_mae,tau_mae,cl_head,cd_head,cl_int,cd_int,cl_true,cd_true,sym_residual,antisym_cl_gap
airFoil2D_SST_31.812_1.334_0.371_3.287_0.0_19.548,0.07043661565,0.1314059123,16.58260776,0.1330890534,0.187224865,0.01147888228,0.1704925448,0.01096998621,0.1494156718,0.01156413369,5.37004444,0.1383935213
airFoil2D_SST_31.863_-1.58_1.567_6.956_10.028,0.1998527557,0.1675267067,37.07135882,0.2106161248,0.08474433422,0.00935758464,-0.02517658845,0.01070353016,0.05126406252,0.009225948714,27.26942894,0.3047264218
airFoil2D_SST_32.137_12.122_4.854_5.202_9.247,0.0192799641,0.05053408116,34.81639482,0.2778833167,1.649915814,0.02634916827,1.758769274,0.03952741623,1.674978018,0.02423187718,0.8184797727,0.9916846752
airFoil2D_SST_32.432_14.036_6.578_2.722_5.928,0.1110185797,0.3257787448,222.6054402,1.875832408,1.722835541,0.03373927623,1.950116634,0.03401628882,1.846978068,0.03541012481,0.9823133285,0.4910168648
airFoil2D_SST_32.66_1.2_3.249_6.689_1.0_18.317,0.06931355288,0.1103682956,15.85422408,0.1093277435,0.4664279222,0.01211205963,0.3588551283,0.004796003923,0.4176615775,0.01192494482,5.97002524,0.3822584152
airFoil2D_SST_32.892_-0.128_5.528_3.635_15.155,0.1453346539,0.1720425719,35.57756932,0.1945665278,0.6048736572,0.01173981838,0.4460175633,0.007516792044,0.5279270411,0.01148022804,11.64769902,0.6677930355
airFoil2D_SST_33.012_6.968_1.841_4.84_5.618,0.0632569376,0.1185159136,65.50427911,0.6944541518,1.050486565,0.01230610535,0.9035532475,0.01029888075,0.9567072988,0.01227645855,1.565574376,0.7796530128
airFoil2D_SST_33.33_14.375_1.036_3.451_12.655,0.02614507467,0.05829276968,38.80739555,0.2825674547,1.430301428,0.02404053509,1.58035624,0.05905436352,1.477641344,0.02493859828,1.075059689,0.3346613646
airFoil2D_SST_33.984_-1.17_6.811_0.0_14.338,0.09302419949,0.1358154264,20.06728699,0.1607327815,-0.09601998329,0.01006137393,-0.1220962405,0.01206674054,-0.1185160354,0.009997952729,11.02886776,0.003832876682
airFoil2D_SST_34.806_8.99_2.295_5.593_1.0_19.795,0.04271848333,0.05710909573,17.37116643,0.1285962579,1.047384024,0.01808639243,1.058214664,0.02017301321,1.025509834,0.01789497398,1.690102859,0.3317049742
airFoil2D_SST_35.44_14.039_5.196_1.691_9.27,0.1342785188,0.1871426914,171.0676293,0.760825185,1.696573734,0.02940070629,1.770973086,0.04888093099,1.787724257,0.02860809118,1.070084294,0.3034946918
airFoil2D_SST_35.49_10.54_0.884_6.154_1.0_10.173,0.03239221832,0.04221316439,38.8126628,0.2110291327,1.184827805,0.01554802153,1.173551559,0.01940806396,1.184661388,0.01546059549,0.9295667646,0.3947482109
