epoch,train_loss,train_p_rel_l2,train_tau_rel_l2,train_head,train_force,train_sym,val_loss,val_p_rel_l2,val_tau_rel_l2,val_cl_mae,val_cd_mae,lr,epoch_time_s
0,2.751288414,1.428558724,1.28688864,3.688855653,0,0,1.567568836,0.7570784044,0.791828568,0.5401665,0.004758085737,0.001,5.278303245
1,2.200060387,1.186474705,0.9901191068,2.415240836,0,0,1.769015956,0.6771398735,1.061517348,0.6213063246,0.009811105311,0.0009999845942,1.890711742
2,1.559879832,0.7662216735,0.7671534133,2.727935967,0,0,1.638916721,0.8338943577,0.7861100101,0.5864804046,0.004507645143,0.0009999383779,1.905956056
3,1.431093245,0.7201828051,0.695105077,1.62672775,0,0,1.167275,0.5191472042,0.6307332206,0.5111373401,0.0043783609,0.0009998613539,1.884519719
4,1.286355581,0.6110941589,0.6604557204,1.523839245,0,0,1.113918302,0.5512622654,0.5467368209,0.4530462322,0.004137453343,0.0009997535269,1.890275915
5,1.197592704,0.5421700227,0.6412661612,1.457026587,0,0,1.177207165,0.5550769997,0.6062598324,0.4374802538,0.004241155038,0.0009996149036,1.88369393
6,1.4702246,0.7772894049,0.6803422475,1.296098025,0,0,1.286860063,0.8256404042,0.4471451902,0.3631952501,0.004025591442,0.0009994454925,1.868007673
7,1.301249027,0.7110196185,0.5797326219,1.0803565,0,0,1.375068784,0.7379891706,0.625974474,0.2829720542,0.003174384657,0.0009992453042,1.893509074
8,1.267563555,0.693512615,0.5646171153,0.9709522653,0,0,1.087509611,0.5715192175,0.5054970884,0.2616722507,0.003042346109,0.0009990143508,1.880526528
9,1.168468297,0.5526397216,0.6069572437,0.9130582595,0,0,1.10869503,0.5971785772,0.5013333333,0.26276626,0.002875665127,0.0009987526468,1.873817173
10,0.9253162932,0.4503688478,0.4656647503,0.955399096,0,0,0.7963722873,0.4161763406,0.3708633482,0.2232789234,0.002742533377,0.0009984602082,1.864007437
11,0.7956520581,0.3915241832,0.3947517896,0.9650109625,0,0,0.733527422,0.3612711978,0.3626507026,0.2308212939,0.00284787477,0.0009981370531,1.900260926
12,0.7907756007,0.3733753824,0.4063423824,1.138100052,0,0,0.8748856521,0.2808097738,0.5763221204,0.6513763946,0.003342856705,0.0009977832013,1.880281359
13,0.7823277783,0.342759279,0.4266875756,1.325736578,0,0,0.7002601218,0.3501154917,0.3397634727,0.2358109926,0.003211554938,0.0009973986748,1.870566747
14,0.6897592211,0.3465690774,0.3348324907,0.8601908064,0,0,0.6641233063,0.3222391754,0.3309812427,0.2549872266,0.00330253748,0.0009969834972,1.891235389
15,0.661696713,0.3000801647,0.3536512697,0.8198060536,0,0,0.8639655805,0.3511063421,0.5040444946,0.2008760111,0.002694802135,0.0009965376942,1.875445337
16,1.208182828,0.4232652056,0.775400002,0.9795780182,0,0,1.274657443,0.3343409812,0.9288408589,0.3160061112,0.003117171297,0.0009960612933,1.873042059
17,0.8540527511,0.3191371661,0.5239308965,1.13057198,0,0,0.755280062,0.3821535867,0.357486065,0.4637178326,0.003919688723,0.0009955543238,1.88848945
18,0.8005889416,0.4006359637,0.3902145469,1.002303464,0,0,0.7417140138,0.4340351069,0.2967184317,0.3041345982,0.002880308164,0.000995016817,1.892047149
19,0.6106835127,0.2816556877,0.3206581354,0.8614286804,0,0,0.6554446316,0.3461800617,0.2996567732,0.2395464794,0.002809503629,0.0009944488061,1.87984848
20,0.6138687599,0.2916557097,0.3147501004,0.7681059361,0,0,0.6633382595,0.219466309,0.4337442827,0.2793064513,0.002768192483,0.0009938503261,1.896200971
21,0.7137393093,0.2629314429,0.4424452603,0.8607015204,0,0,0.839134326,0.3049989235,0.5227716529,0.3745037053,0.002513509819,0.000993221414,1.89368387
22,0.616158874,0.2441516703,0.3648579693,0.7358175802,0,0,0.6154421449,0.3634737855,0.2444412005,0.1844762379,0.002171677746,0.0009925621084,1.896579554
23,0.5944049954,0.265229091,0.321238541,0.816933744,0,0,0.5644423437,0.3129011923,0.2431473029,0.1996967066,0.002531712404,0.0009918724502,1.883513431
24,0.6773139036,0.3407165378,0.3285734415,0.8258427703,0,0,0.6843758321,0.2551649159,0.4214944321,0.1960436089,0.002146585032,0.0009911524817,1.872565036
25,0.6335201705,0.2938490045,0.3321335644,0.7757891119,0,0,0.5282832813,0.2005516922,0.3198921913,0.1727028507,0.002405218006,0.0009904022476,1.867990391
26,0.5334557903,0.2156004101,0.31170973,0.6325257242,0,0,0.539504559,0.2921131742,0.2402666086,0.1681467172,0.002127477614,0.0009896217939,1.889429791
27,0.6958519256,0.3471652567,0.3419706571,0.6912296045,0,0,0.8678258491,0.3770420337,0.4824144745,0.2088237711,0.002441703622,0.0009888111689,1.885004987
28,0.7050050712,0.3466657686,0.3519339871,0.6592515445,0,0,0.5596104038,0.2725495774,0.2808217591,0.1491877155,0.001821370206,0.0009879704226,1.862709524
29,0.6015502894,0.2993873733,0.2969319659,0.5383829248,0,0,0.5275400233,0.2833412182,0.2376512164,0.1838600095,0.001684215908,0.0009870996068,1.86147025
30,0.5634313798,0.2733383024,0.2846998596,0.555083698,0,0,0.6330124068,0.2815879059,0.3446670204,0.1991859391,0.001710402214,0.0009861987752,1.867559275
31,0.524776541,0.2429971632,0.2762004244,0.5741995549,0,0,0.466684159,0.1808084068,0.2782959324,0.177345361,0.002312449871,0.0009852679835,1.86537331
32,0.4453539109,0.2016836381,0.2380952269,0.5737983286,0,0,0.4469220173,0.2067435783,0.2351599228,0.1245574763,0.001409859202,0.000984307289,1.908406055
33,0.4157957816,0.1935621828,0.2177010942,0.4664970803,0,0,0.4241859949,0.1823146167,0.2360986573,0.1313480972,0.001772650114,0.000983316751,1.859582859
34,0.4901712596,0.2114728862,0.2715565538,0.7350542247,0,0,0.6942721212,0.3875643206,0.2980674899,0.3109994344,0.001676462652,0.0009822964305,1.869884251
35,0.5180062664,0.2220712864,0.289650721,0.6467917252,0,0,0.4186774576,0.1525234154,0.2612135023,0.1189510424,0.001430237623,0.0009812463906,1.854602236
36,0.3971871245,0.1625719941,0.2296412569,0.5119231498,0,0,0.4516941893,0.2040548113,0.2430538946,0.1087110474,0.001368421006,0.000980166696,1.858779777
37,0.3581525695,0.1537051898,0.2001872867,0.4384596062,0,0,0.3274094462,0.1239835089,0.1989332306,0.113103918,0.00125289849,0.0009790574133,1.87427751
38,0.3710166633,0.1557885054,0.211235103,0.4109754252,0,0,0.4420937109,0.2107417315,0.2259453034,0.1651630529,0.001327749641,0.0009779186109,1.880407641
39,0.4319475996,0.1926855803,0.2341065812,0.5306110334,0,0,0.3554047346,0.1398922041,0.2093296337,0.1770810283,0.001572650301,0.0009767503591,1.878275921
40,0.4371215332,0.1801917949,0.2520840311,0.498732326,0,0,0.3956523871,0.1605424222,0.2264651614,0.2066528851,0.002595350683,0.0009755527299,1.85860055
41,0.4386134613,0.1933867472,0.2407732975,0.4583566773,0,0,0.4113533878,0.1890932694,0.217431381,0.1166522972,0.001389628571,0.0009743257972,1.862162478
42,0.37083224,0.1502201071,0.2172002476,0.3511600375,0,0,0.4578306758,0.1896176657,0.2628138161,0.1075312022,0.001774870871,0.0009730696367,1.90429584
43,0.3923531723,0.1636247742,0.225215922,0.3615129882,0,0,0.3979379404,0.1899394551,0.2031170779,0.09376013466,0.001639750083,0.0009717843259,1.865444128
44,0.359386189,0.1635290867,0.1919826406,0.3987698543,0,0,0.3238162696,0.1254505038,0.1947128409,0.07641639203,0.001168699878,0.0009704699441,1.892440544
45,0.3738210756,0.1598103881,0.2107789636,0.3326169914,0,0,0.3459167516,0.1231992373,0.2188289803,0.08783320482,0.001189499571,0.0009691265723,1.881292845
46,0.361606667,0.1551182607,0.2029453766,0.3646580136,0,0,0.3882201594,0.160099982,0.2234532636,0.0892075312,0.001558097132,0.0009677542934,1.874130095
47,0.3264595395,0.1342207035,0.1883760321,0.3975690621,0,0,0.3240365469,0.1345845982,0.1851591137,0.1186935598,0.001137997494,0.0009663531921,1.910552275
48,0.3416916078,0.1524671432,0.186222496,0.3089698571,0,0,0.3470168161,0.1549217683,0.187171587,0.123786527,0.001375262858,0.0009649233547,1.867848864
49,0.3463996822,0.1536061528,0.1896781307,0.3206446987,0,0,0.3250097239,0.1235830408,0.1977342737,0.07872692442,0.001157411027,0.0009634648695,1.866898397
50,0.366702106,0.1646987972,0.1981937015,0.3920939213,0,0,0.3273280603,0.1444837952,0.1797637287,0.06459865286,0.0009792354671,0.0009619778265,1.875936511
51,0.3514031881,0.1532899156,0.1951429689,0.3057112294,0,0,0.2499466747,0.09448236197,0.1519283244,0.08715260656,0.001016742949,0.0009604623173,1.877917345
52,0.2910008383,0.1180324844,0.1705334949,0.2506014764,0,0,0.3005275947,0.1218824589,0.1755994338,0.05842085118,0.001006613908,0.0009589184355,1.932549101
53,0.272353797,0.1124924624,0.1573068243,0.2629168355,0,0,0.2600227642,0.09190261766,0.1639978367,0.1154382048,0.001068832186,0.0009573462763,1.883088015
54,0.2657158548,0.09748045012,0.1657970881,0.2509573245,0,0,0.2806240147,0.1050885856,0.1723310679,0.06278884388,0.001053419477,0.0009557459367,1.898311963
55,0.3351475978,0.1522607177,0.1807281643,0.222180686,0,0,0.5066545421,0.2417540222,0.2606498253,0.1117428375,0.001176886707,0.0009541175153,1.894144036
56,0.3762040287,0.1709419221,0.2024475336,0.2896828347,0,0,0.323969776,0.1293727601,0.191414001,0.06691926417,0.001019153554,0.0009524611127,1.879403957
57,0.2795229328,0.118328881,0.1586930686,0.2574077874,0,0,0.2735690469,0.1085152459,0.1616440734,0.07256679308,0.001095699127,0.000950776831,1.956854382
58,0.2747615284,0.1136274451,0.1583521131,0.2863276649,0,0,0.3355264091,0.1346635699,0.1962335223,0.1359617618,0.001156413885,0.0009490647741,1.883204464
59,0.2548279381,0.1041107389,0.1481818834,0.2609408981,0,0,0.2798393297,0.1037568054,0.1733651537,0.04924198799,0.0009149326088,0.0009473250476,1.87243573
60,0.3348851103,0.1486416641,0.1827740628,0.357078234,0,0,0.304168815,0.1112348297,0.1872445136,0.1480260546,0.001590664033,0.0009455577588,1.870861189
61,0.3130838889,0.1509963056,0.1587726533,0.3411815029,0,0,0.2684267211,0.1199007121,0.1458182386,0.05855513892,0.0008477225843,0.0009437630168,1.879679985
62,0.2719659954,0.1187889862,0.150853121,0.2391804391,0,0,0.2864433652,0.1271449667,0.1561512336,0.07019452682,0.0009745343598,0.0009419409322,1.89827947
63,0.2521854419,0.1061586314,0.1440665513,0.2017547655,0,0,0.2232708532,0.08755881205,0.1327614769,0.05945767215,0.0009470773785,0.0009400916175,1.893342747
64,0.2464648765,0.1014526144,0.1428418046,0.2233891195,0,0,0.2836992121,0.11968826,0.1597254559,0.08875095415,0.001400794843,0.0009382151867,1.898151654
65,0.2429710394,0.1025173715,0.1379668516,0.2559493673,0,0,0.2350880164,0.106799348,0.1250956902,0.09193047364,0.0008072228722,0.0009363117555,1.894420151
66,0.274901253,0.1238867354,0.1483957779,0.2695273674,0,0,0.3270652491,0.1747345239,0.1490329659,0.05951583004,0.001144467026,0.0009343814415,1.889826492
67,0.2838202918,0.1352065682,0.1460154781,0.2674182707,0,0,0.2747162318,0.1051243871,0.1665868336,0.07109161025,0.0008883966485,0.0009324243635,1.959640405
68,0.2469827288,0.104494136,0.1401664561,0.2390003204,0,0,0.2532574695,0.1058435753,0.1433863652,0.08435592021,0.001308860481,0.0009304406425,1.902744349
69,0.2776650029,0.1192643911,0.154627046,0.3883851373,0,0,0.3431525695,0.1475257999,0.1925779903,0.05625152907,0.001043923442,0.0009284304007,1.891220626
