epoch,train_loss,train_p_rel_l2,train_tau_rel_l2,train_head,train_force,train_sym,val_loss,val_p_rel_l2,val_tau_rel_l2,val_cl_mae,val_cd_mae,lr,epoch_time_s
0,2.768676291,1.502135201,1.214968302,3.861475811,0,0,1.878358021,1.027575965,0.8237525916,0.5322057042,0.005309585354,0.001,7.683655922
1,1.752313037,0.9282000327,0.7976899004,1.978409972,0,0,1.824478655,0.9614682937,0.8377823758,0.5415328948,0.004586993512,0.0009999845942,4.582895307
2,1.555760279,0.8362926769,0.6957205153,1.778043404,0,0,1.492051234,0.8387128258,0.6289350522,0.5415551225,0.004296999277,0.0009999383779,4.38237473
3,1.492616663,0.8759928775,0.5960909951,1.537376416,0,0,2.116272273,1.488243239,0.6060289145,0.4817348351,0.003942189011,0.0009998613539,4.308225989
4,1.952166433,1.346304579,0.5853019655,1.539404149,0,0,2.750363336,1.881242223,0.8240394521,0.761013843,0.009869328885,0.0009997535269,4.332761745
5,1.78805687,1.061618713,0.7003059459,1.956631153,0,0,1.224185915,0.5492947161,0.6518164694,0.5180346011,0.004014687266,0.0009996149036,4.304753631
6,1.187919917,0.585684222,0.586406095,1.185227993,0,0,1.289766839,0.7469222283,0.522445749,0.4219051688,0.003846682774,0.0009994454925,4.424323552
7,1.050653067,0.5580883324,0.4740989554,1.382611916,0,0,0.9673331022,0.4844920921,0.4647516441,0.3613476948,0.003544811934,0.0009992453042,4.352875731
8,1.396930361,0.7404286432,0.6404629576,1.200890052,0,0,1.349826331,0.7601814127,0.5727803099,0.3128847308,0.003478846632,0.0009990143508,4.463675407
9,1.274848619,0.5519862497,0.7093134606,1.014465141,0,0,0.8985877132,0.3055932087,0.5765419734,0.2798364974,0.003632550351,0.0009987526468,4.448184315
10,1.183058047,0.6499630922,0.5197479117,0.9993494916,0,0,1.906607676,1.442307177,0.4375777864,0.5861955043,0.004824451351,0.0009984602082,4.393135044
11,1.416462793,0.9529730725,0.4465150774,1.27096406,0,0,1.31862071,0.5305549943,0.7719244814,0.3409726478,0.00300265449,0.0009981370531,4.374767159
12,1.439600115,0.7267104018,0.6976479936,1.141211145,0,0,1.160546157,0.2881030434,0.8578743362,0.2897666037,0.002864196303,0.0009977832013,4.524882672
13,1.093004038,0.5392505836,0.5414505649,0.9211710525,0,0,1.127255936,0.6841934967,0.430168612,0.2167313381,0.002866876278,0.0009973986748,4.397338899
14,0.9514388561,0.4393603325,0.4993220866,0.9551283407,0,0,0.7012555468,0.2714437449,0.4151354074,0.2467125368,0.003259555422,0.0009969834972,4.372366503
15,0.8509545612,0.370922628,0.4682473183,0.8823643136,0,0,0.7277039838,0.2563649178,0.4591850984,0.2064361722,0.002673382857,0.0009965376942,4.469535018
16,0.7568239331,0.3192911929,0.4260783124,0.8576417756,0,0,0.7244648027,0.3229493159,0.3884099638,0.2489321226,0.002652332087,0.0009960612933,4.566745797
17,0.6663866353,0.3290956235,0.3265019393,0.8078237271,0,0,0.7633060217,0.4374924099,0.3139905965,0.2054667372,0.002551410095,0.0009955543238,4.514845247
18,0.6693904614,0.3126159316,0.3444105208,0.9257459998,0,0,0.5395223999,0.2149538741,0.3124668115,0.1926390964,0.002791235143,0.000995016817,4.385930201
19,0.6164920199,0.3149701548,0.2872527146,1.068391494,0,0,0.6002550793,0.3152705055,0.2716422319,0.2457381585,0.00280178525,0.0009944488061,4.439357241
20,0.5768331134,0.2949185354,0.2712521482,0.7983412719,0,0,0.6089274275,0.3250041038,0.2725777429,0.198765736,0.002462418717,0.0009938503261,4.487667555
21,0.6654602742,0.347451756,0.3081872118,0.7353636837,0,0,0.5789060223,0.2094519395,0.3577549815,0.2015963191,0.002578618675,0.000993221414,4.495035968
22,0.6305022156,0.2702061546,0.3508967865,0.7037630486,0,0,0.5968267667,0.19386125,0.3917665416,0.233920851,0.002093945264,0.0009925621084,4.38900277
23,0.5973404002,0.2472590882,0.3388941973,0.8376267767,0,0,0.6105217481,0.2973616105,0.302029984,0.2122736603,0.002268558853,0.0009918724502,4.317404837
24,0.7100989401,0.368643831,0.3305379921,0.8174104023,0,0,0.6022287774,0.2503376067,0.3420090866,0.168361642,0.002160525833,0.0009911524817,4.432937389
25,0.6508725762,0.3213012725,0.3195951486,0.746956296,0,0,0.5291627753,0.2053998667,0.3141308206,0.1708311862,0.002076785437,0.0009904022476,4.283798537
26,0.6771943259,0.3365040958,0.330702908,0.7477938259,0,0,0.4571350253,0.1943174616,0.2528522164,0.1925657948,0.001990361429,0.0009896217939,4.412580081
27,0.4808928347,0.2157188582,0.2567526925,0.6305366623,0,0,0.4419729233,0.1878324556,0.2451132792,0.1686985211,0.001856508038,0.0009888111689,4.565559919
28,0.4555695152,0.2161335045,0.2317144799,0.5781433916,0,0,0.4227821052,0.186613304,0.2274111038,0.1568733805,0.00188199463,0.0009879704226,4.451895126
29,0.4736910653,0.2117802751,0.2527260625,0.6876994586,0,0,0.7258392823,0.419853518,0.2902562207,0.3398622122,0.002876518807,0.0009870996068,4.449120501
30,0.6182495391,0.2962923861,0.3113402218,0.7949344885,0,0,0.6091808045,0.2610384947,0.3180078536,0.8480293767,0.003875980035,0.0009861987752,4.356317142
31,0.660737015,0.29334705,0.3492625904,1.3572735,0,0,0.4635231614,0.1838148788,0.266705789,0.2215957527,0.002862604649,0.0009852679835,4.310818869
32,0.5724614072,0.2860102591,0.2762948471,0.7604451442,0,0,0.4128779477,0.1320042452,0.2726440567,0.1483305108,0.001741850207,0.000984307289,4.30861006
33,0.4485748577,0.1949776176,0.2461074859,0.5607894981,0,0,0.6447094715,0.3015665919,0.3345339286,0.1790031818,0.001631105694,0.000983316751,4.477177703
34,0.5066661024,0.2420004752,0.2574135709,0.542992152,0,0,0.5788734579,0.294911477,0.2727408653,0.1970821652,0.002441904636,0.0009822964305,4.361531568
35,0.6241528797,0.325828768,0.290786432,0.5643775237,0,0,0.5650185406,0.3162977737,0.2373919261,0.2665177419,0.001921319583,0.0009812463906,4.403556715
36,0.5173995256,0.2465976375,0.2643370026,0.4840528524,0,0,0.4317497945,0.1821792126,0.2400592822,0.1773986982,0.00198539298,0.000980166696,4.428845168
37,0.4757671452,0.2352747992,0.2347739929,0.4281574667,0,0,0.4716018963,0.2515733391,0.2130624467,0.1364530202,0.001348606097,0.0009790574133,4.42043614
38,0.4490860546,0.2311614203,0.2125316536,0.4037956023,0,0,0.5729494643,0.2980812263,0.2685923266,0.1177235031,0.0012824595,0.0009779186109,4.276174246
39,0.5820039558,0.3007844889,0.2757110196,0.4124405015,0,0,0.542106601,0.2938455987,0.2377228957,0.2146501926,0.001963334752,0.0009767503591,4.514694693
40,0.5318343663,0.2664964145,0.2554162174,0.7428818214,0,0,0.4261234677,0.1964339548,0.2125310367,0.2763728318,0.003871797836,0.0009755527299,4.530146338
41,0.4198805332,0.1991076177,0.2129740503,0.5839341617,0,0,0.3890366668,0.1463527367,0.2361669397,0.1183047436,0.00137948088,0.0009743257972,4.543678439
42,0.3783964336,0.1660169634,0.2064211154,0.4461275065,0,0,0.4106375712,0.172884191,0.2299750334,0.1211979486,0.001792031069,0.0009730696367,4.513016196
43,0.3951401162,0.1696924332,0.2197480404,0.4267561829,0,0,0.4168418527,0.1673083979,0.2422415173,0.1068658194,0.001699087281,0.0009717843259,4.525780463
44,0.425257746,0.1694605726,0.2500281703,0.4319494504,0,0,0.3815806127,0.1362427038,0.2396347183,0.1157590748,0.001098688706,0.0009704699441,4.556249474
45,0.4544203711,0.1799576819,0.2681846988,0.470059709,0,0,0.4341561234,0.1659042278,0.26131262,0.1586451659,0.001180425248,0.0009691265723,4.451720867
46,0.3945362604,0.1726821974,0.2164068943,0.4078525668,0,0,0.3404164231,0.1220732227,0.2126229328,0.1057334869,0.001199871611,0.0009677542934,4.315133495
