sim_name,p_rel_l2,tau_rel_l2,p_mae,tau_mae,cl_head,cd_head,cl_int,cd_int,cl_true,cd_true,sym_residual,antisym_cl_gap
airFoil2D_SST_31.382_3.588_1.994_6.206_0.0_13.271,0.03970923046,0.04038479783,6.724335333,0.0538694636,0.5866472721,0.01101997122,0.5724948049,0.0121714836,0.5692192912,0.01092164312,8.416600147,0.3389574289
airFoil2D_SST_31.68_0.424_0.273_4.301_1.0_11.616,0.03049799147,0.05807331606,5.380333277,0.05869520759,0.06712061167,0.009465035051,0.0774044171,0.00912949536,0.06675511599,0.009451651946,14.35806379,0.1074727774
airFoil2D_SST_31.803_7.291_3.243_6.962_0.0_10.641,0.04327362223,0.02957162953,18.47373028,0.0846120839,1.049081564,0.01335561648,1.096002102,0.01105080452,1.10050714,0.01345183328,2.472573431,0.4682476521
airFoil2D_SST_31.812_1.334_0.371_3.287_0.0_19.548,0.03526352364,0.07411114873,7.481001165,0.07361401632,0.1755139232,0.01148576103,0.1559862494,0.009071116336,0.1494156718,0.01156413369,4.88191244,0.08259236813
airFoil2D_SST_32.499_12.136_1.194_6.108_1.0_8.121,0.03725253086,0.03108721973,65.60997275,0.2313581832,1.343748569,0.02033715136,1.35683012,0.03093246743,1.349646211,0.01973366365,0.9105232617,0.3366816044
airFoil2D_SST_32.642_-0.627_0.31_3.451_0.0_8.252,0.0442153583,0.04110266377,7.283398283,0.05969612447,-0.0350073576,0.008760300465,-0.04590649158,0.009019898251,-0.04785453156,0.008720623329,27.54030396,0.01496976614
airFoil2D_SST_32.66_1.2_3.249_6.689_1.0_18.317,0.04214468965,0.1007451571,9.597270862,0.1007151456,0.4734551013,0.01201044023,0.4156227708,0.009177718312,0.4176615775,0.01192494482,5.98277309,0.2485850453
airFoil2D_SST_32.677_5.679_0.493_6.223_1.0_9.86,0.02697159356,0.03796362007,10.05383797,0.1071119238,0.6547438502,0.01057364326,0.6588448882,0.01054236852,0.6611272693,0.01061729621,4.170124567,0.3422688842
airFoil2D_SST_32.706_8.859_2.638_5.49_0.0_18.856,0.08706568712,0.05571976142,29.03563414,0.1279371679,1.125120521,0.01741425879,1.070343971,0.009752948768,1.055125594,0.01774419099,1.643560741,0.3516308069
airFoil2D_SST_32.717_11.377_2.913_6.33_1.0_13.804,0.03918035085,0.03845920421,28.47212713,0.1416323826,1.365153551,0.01910002157,1.396750689,0.02479952946,1.386225343,0.02006067149,1.138673307,0.2058634758
airFoil2D_SST_32.902_8.203_2.59_6.258_1.0_14.519,0.06152461256,0.04722749948,21.96408515,0.1105551661,1.075299025,0.01489060372,1.076366067,0.01739337854,1.079285979,0.01491541509,1.906436129,0.30174613
airFoil2D_SST_32.966_-0.849_3.413_3.675_1.0_19.214,0.1097100388,0.19485972,21.22696191,0.1836347074,0.1759932041,0.01104857214,0.1329424977,0.01477400959,0.1367206424,0.01144481823,7.094207625,0.1129685044
airFoil2D_SST_33.137_-2.653_2.78_5.876_1.0_14.328,0.06233625039,0.09093488299,12.75097384,0.1357016547,-0.03111326694,0.01010911167,-0.02953419648,0.01131008565,-0.02958230674,0.01020305511,13.31554159,0.01671749353
airFoil2D_SST_33.163_-1.909_2.306_3.054_0.0_11.764,0.06873980335,0.05558947593,12.0318547,0.08878224124,-0.05623996258,0.009470770136,-0.05792763084,0.009465992451,-0.06056886166,0.009507825598,16.60413214,0.01726716757
airFoil2D_SST_33.187_10.15_2.61_7.828_0.0_5.27,0.06259817581,0.1114593268,109.237055,0.9154299206,1.367492437,0.01935411431,1.311147809,0.02289502695,1.322238684,0.01932104491,0.8682299435,0.5479778051
airFoil2D_SST_33.191_2.869_2.039_7.426_1.0_13.149,0.04061432333,0.0422976166,8.214965572,0.05900631782,0.5386883616,0.01065349206,0.5294451714,0.01153346803,0.5230796933,0.01059215888,8.110674743,0.2735570073
airFoil2D_SST_33.243_9.415_0.453_6.549_1.0_9.924,0.02346176069,0.02246179547,22.53480819,0.1207354342,1.036784172,0.0138697112,1.030427575,0.01616021991,1.040150523,0.01391228475,0.9441190142,0.3388470411
airFoil2D_SST_33.798_10.426_3.185_5.957_0.0_11.232,0.02580313303,0.03609263159,22.42095702,0.1302048747,1.296465993,0.01651022956,1.341566801,0.01653024927,1.357674122,0.01717693731,1.069342493,0.1928231716
airFoil2D_SST_33.846_6.261_0.922_3.023_1.0_12.36,0.03103991816,0.03931714944,10.54987464,0.1038226969,0.7089152336,0.01126253512,0.7222921848,0.01375985518,0.7245303392,0.01148311514,3.249505146,0.2697195411
airFoil2D_SST_33.941_-4.025_1.706_6.295_1.0_12.199,0.03540402627,0.04827845791,8.052838028,0.1120586279,-0.2577649951,0.01002111752,-0.2635689676,0.01082827523,-0.2691526115,0.009948133491,15.57357044,0.1628348827
airFoil2D_SST_34.136_14.393_2.103_3.685_0.0_6.065,0.02413996399,0.08634023061,77.71959808,0.7612510017,1.526405334,0.03046560287,1.517431259,0.02915797383,1.502096057,0.0345864445,1.031844666,0.1482462883
