epoch,train_loss,train_p_rel_l2,train_tau_rel_l2,train_head,train_force,train_sym,val_loss,val_p_rel_l2,val_tau_rel_l2,val_cl_mae,val_cd_mae,lr,epoch_time_s
0,2.585980282,1.348774822,1.190654056,3.769002991,0,0,2.028579102,1.011833014,0.9551812029,2.119651118,0.006523345226,0.001,5.257321753
1,1.659603939,0.8441311789,0.7843440056,2.520317483,0,0,1.470633345,0.6749690056,0.7711286235,0.5268187666,0.005184963103,0.0009999845942,1.874071637
2,1.500728717,0.7917721009,0.6887157977,1.638784695,0,0,1.590217838,0.7815786409,0.7817797661,0.5106064525,0.006227632386,0.0009999383779,1.858397396
3,1.472399654,0.7370957601,0.7140547776,1.720421276,0,0,2.028419876,1.254940965,0.752871654,0.4804962013,0.004051426421,0.0009998613539,1.860583721
4,1.248237009,0.636682781,0.5957896769,1.276366868,0,0,1.070182076,0.5294486237,0.5256722116,0.3343040609,0.00310942285,0.0009997535269,1.865240035
5,1.100310309,0.5596884716,0.5246873641,1.290123796,0,0,1.223939896,0.6508627629,0.5518142974,0.5257375227,0.003944433118,0.0009996149036,1.861628132
6,1.154912748,0.5992864919,0.5401844788,1.250233216,0,0,1.166798184,0.6721912777,0.4804463685,0.2553975178,0.003373605822,0.0009994454925,1.883097331
7,1.09846287,0.5434669054,0.5403504574,1.185763881,0,0,0.9143654633,0.3841890204,0.5104154694,0.4218573671,0.00418670552,0.0009992453042,1.86886836
8,0.9703020096,0.4804028308,0.4768568552,1.055962927,0,0,1.019158151,0.517918818,0.484786042,0.3524169624,0.003488008774,0.0009990143508,1.883618164
9,1.072962077,0.5176801801,0.5423743963,1.045047691,0,0,1.111382172,0.5049597871,0.5934062624,0.2482402887,0.00302023155,0.0009987526468,1.872461654
10,0.9906834173,0.4711331093,0.5085256243,0.8926064348,0,0,0.8548976731,0.4085806668,0.4332940972,0.2402975206,0.003128121175,0.0009984602082,1.866974926
11,0.8463801146,0.4196287179,0.4152551663,0.9307849407,0,0,0.9115555215,0.4633759487,0.4354243267,0.2436182014,0.002928528303,0.0009981370531,1.862557411
12,0.8464187264,0.4220906937,0.4133977175,0.8849655056,0,0,0.8664321423,0.3836757457,0.4708598256,0.229133697,0.002733839557,0.0009977832013,1.857293643
13,0.8978558874,0.4074724644,0.4801586699,0.8278402209,0,0,0.619784807,0.2552545542,0.3535683858,0.1984941271,0.002589633912,0.0009973986748,1.881988313
14,1.001881883,0.5252405691,0.4669340634,0.7859402871,0,0,0.7461475492,0.4084713948,0.3264036024,0.2196056957,0.002551778443,0.0009969834972,1.874730416
15,0.7046304154,0.3406740391,0.3546639371,0.7523565292,0,0,0.672923708,0.2642660165,0.3972078633,0.197643757,0.002824855066,0.0009965376942,1.872141959
16,0.7254793525,0.3372754496,0.3767815542,0.924802978,0,0,0.620046773,0.2803849179,0.3267906898,0.279511836,0.002718880796,0.0009960612933,1.873427238
17,0.7389971232,0.3558108354,0.3728199977,0.8392989182,0,0,0.8891425967,0.3878272295,0.485330354,0.3250004375,0.003507591295,0.0009955543238,1.882429515
18,0.8507843995,0.4187763697,0.4192863882,1.029998791,0,0,1.225697272,0.7104415107,0.5007516825,0.2593276587,0.003539878585,0.000995016817,1.897648474
19,0.871016345,0.4857844931,0.37558599,0.7809704161,0,0,0.8372548068,0.407389701,0.4165852898,0.3260233087,0.002474125052,0.0009944488061,1.904157811
20,0.765200088,0.4064208072,0.3497738713,0.7291164994,0,0,0.6764886677,0.3826455498,0.2809248996,0.279413921,0.002738915769,0.0009938503261,1.871806932
21,0.7090261579,0.3887020123,0.3117036986,0.6979489839,0,0,0.6256078982,0.3409092468,0.2741443682,0.1975398818,0.002481345567,0.000993221414,1.873932311
