epoch,train_loss,train_p_rel_l2,train_tau_rel_l2,train_head,train_force,train_sym,val_loss,val_p_rel_l2,val_tau_rel_l2,val_cl_mae,val_cd_mae,lr,epoch_time_s
0,1.849845926,0.8820842753,0.9020612637,1.457353234,0,0,1.561839461,0.7359814147,0.7768832147,0.3585244256,0.002208240582,0.001,2.479210471
1,1.623342087,0.7702364822,0.8066061139,1.031442742,0,0,1.381228626,0.6358823478,0.6955464184,0.3495886886,0.002371840528,0.0009999845942,0.94632222
2,1.45435968,0.676917846,0.7370145867,0.896749109,0,0,1.367704233,0.5951132178,0.7358345191,0.2711197097,0.001640100692,0.0009999383779,0.951115273
3,1.43716988,0.6687776049,0.7294416179,0.8639955645,0,0,1.363795598,0.657007734,0.6731631259,0.2298014822,0.001654127419,0.0009998613539,0.957231538
4,1.339113673,0.6169782281,0.6839473148,0.8470815917,0,0,1.217991829,0.538868318,0.6437365115,0.2511957994,0.00166189982,0.0009997535269,0.952182926
5,1.187172353,0.5119611695,0.6361848414,0.865674759,0,0,1.10331583,0.4519429555,0.6062333087,0.3348931869,0.00199779645,0.0009996149036,0.956159404
6,1.121524662,0.4944933305,0.5866783212,0.8951026748,0,0,1.016441246,0.4208926062,0.5518570244,0.3083620677,0.002066971152,0.0009994454925,0.958920418
7,1.033796603,0.4490039324,0.5462596466,0.8547316343,0,0,0.9911942184,0.425785775,0.5296817521,0.2590468603,0.001631938581,0.0009992453042,0.963333658
8,1.062986587,0.483238476,0.5461523434,0.7452146709,0,0,0.8851896822,0.3783497016,0.4741245061,0.2468885691,0.001412726861,0.0009990143508,0.964652431
9,0.9083318661,0.3949461232,0.4801193078,0.7379094164,0,0,0.8983241121,0.3627731154,0.4995828271,0.2469774556,0.00175961658,0.0009987526468,0.964887603
10,0.8413711091,0.3556760897,0.4538922484,0.7054426769,0,0,0.8103332222,0.3341265271,0.444984898,0.2262740598,0.001427079493,0.0009984602082,0.969784532
11,0.7693714549,0.3207541381,0.4208068699,0.6168855652,0,0,0.6582779388,0.2382317856,0.3928498626,0.1861871292,0.00133518799,0.0009981370531,0.974696358
12,0.740187481,0.30408313,0.4099947562,0.5791576877,0,0,0.7459987005,0.2902600492,0.4293764929,0.1902231478,0.001211975565,0.0009977832013,0.969728039
13,0.7519079397,0.3257324559,0.3976688534,0.632328103,0,0,0.7525970936,0.3074980577,0.4204123567,0.1835007559,0.001089644366,0.0009973986748,0.980484975
14,0.7327455332,0.320586695,0.3874337549,0.5484471172,0,0,0.7156330446,0.2958804493,0.3915803631,0.2102033021,0.00123679246,0.0009969834972,0.975502685
15,0.6727858931,0.2786824356,0.3695683827,0.5442319438,0,0,0.597669214,0.2355165606,0.3325409194,0.2093273884,0.001398035092,0.0009965376942,0.9785345
16,0.5717780367,0.2260838399,0.3201146449,0.5674002816,0,0,0.5354549636,0.1980015238,0.3026073277,0.1857328887,0.002156613026,0.0009960612933,0.991472336
17,0.5938791831,0.241365054,0.3256639491,0.5955852767,0,0,0.6290680468,0.2497514039,0.3398659378,0.2759548832,0.001887240166,0.0009955543238,0.991892743
18,0.5932222158,0.2413335542,0.3207151939,0.69148352,0,0,0.630525291,0.278227066,0.3273164034,0.1711026247,0.001225831239,0.000995016817,0.996950927
19,0.6271617313,0.2853767512,0.3175398509,0.537800466,0,0,0.682953606,0.3442155421,0.3151099185,0.1801331492,0.001004936309,0.0009944488061,0.997109452
20,0.671021983,0.292486608,0.3548568288,0.5252329806,0,0,0.5799721678,0.2410522774,0.3170505961,0.1557726534,0.001022562074,0.0009938503261,1.004024375
21,0.5427366222,0.2178086936,0.3015902961,0.5176706289,0,0,0.4732421686,0.1737365921,0.2776185224,0.1573725588,0.001010956767,0.000993221414,1.004927232
22,0.7180113519,0.3315316625,0.3575545376,0.6416119461,0,0,0.5379051864,0.2159417644,0.2997762039,0.1608148121,0.001013984564,0.0009925621084,0.992869137
23,0.6435415521,0.2698095664,0.3431101541,0.6792472452,0,0,0.9006121258,0.4168526282,0.4596285671,0.189276251,0.0009815022543,0.0009918724502,0.997979742
24,0.7527112017,0.320769793,0.3997900213,0.7131756494,0,0,0.6555426816,0.261757349,0.3575107505,0.2526891027,0.001744155617,0.0009911524817,1.010640316
25,0.7175195416,0.3196900313,0.3674891641,0.6730035096,0,0,0.6804780761,0.2970057031,0.3553606818,0.1927934935,0.001377267026,0.0009904022476,1.014503857
26,0.5839744682,0.2468984437,0.3098661962,0.6035629635,0,0,0.4443458219,0.1798706005,0.2389935479,0.1793750677,0.001209432822,0.0009896217939,1.013170269
27,0.5384399047,0.2252357192,0.2891528308,0.5335022931,0,0,0.6047775745,0.2660225679,0.3149828116,0.1711736672,0.001095950875,0.0009888111689,1.010293737
28,0.5121126448,0.2116371877,0.2786434119,0.4842739751,0,0,0.5987483859,0.2864436035,0.2884924561,0.1798243254,0.001027226875,0.0009879704226,1.007058488
29,0.5085417827,0.2200225542,0.2674627192,0.4670710117,0,0,0.4759145081,0.1808577975,0.2708643377,0.1643440453,0.001198501869,0.0009870996068,1.012347718
30,0.4771416758,0.1965849958,0.2555459303,0.5547834014,0,0,0.5725842019,0.2454430511,0.3072289725,0.1501032993,0.0008612440433,0.0009861987752,1.013906439
31,0.6227364664,0.28557555,0.3119705195,0.5587680588,0,0,0.678546836,0.3036732847,0.3498227646,0.1804508,0.001154299496,0.0009852679835,1.006222704
32,0.6513048162,0.285522646,0.341526702,0.5380300432,0,0,0.5899949272,0.2430543428,0.3235975852,0.1655433485,0.001097601043,0.000984307289,1.003332081
33,0.5344361017,0.2387444476,0.2743352689,0.4737230316,0,0,0.4881770959,0.2027289545,0.265881295,0.1601401378,0.0007396214836,0.000983316751,1.006701318
34,0.4770888239,0.2040609618,0.2539565874,0.4230352317,0,0,0.4903019766,0.1968684966,0.2685063879,0.1637168441,0.001282318825,0.0009822964305,1.000636776
35,0.4826321552,0.2076043213,0.2556659182,0.4294822688,0,0,0.3955116073,0.1663520858,0.2115362162,0.1092126064,0.0009617431012,0.0009812463906,0.998296044
36,0.428613993,0.1739961045,0.2356802722,0.4200703502,0,0,0.4185243348,0.1499097509,0.2440436905,0.2053258729,0.000893059206,0.000980166696,0.995381192
37,0.5086258923,0.2136109931,0.2723203227,0.5034064551,0,0,0.4875502487,0.2248441478,0.2439425439,0.1165149341,0.001021977068,0.0009790574133,0.998403559
38,0.4466567462,0.1885185974,0.2401804825,0.3983333881,0,0,0.3636372238,0.135608883,0.211214222,0.1174412213,0.0008058079208,0.0009779186109,0.987755084
39,0.4809329063,0.203803096,0.2557078339,0.475178053,0,0,0.457326288,0.1971018414,0.2426290264,0.1418538345,0.0006832618189,0.0009767503591,0.983554464
40,0.4724710782,0.1981138649,0.2503717368,0.532040976,0,0,0.4530200809,0.1886631623,0.2460563034,0.1242655984,0.0009070795107,0.0009755527299,0.990351843
41,0.4130450636,0.1742490735,0.2224322731,0.3629767398,0,0,0.3768616219,0.157307076,0.2028542856,0.1014937962,0.0009282399551,0.0009743257972,0.983309764
42,0.3639576361,0.1463651558,0.1964416554,0.4691633259,0,0,0.4313615312,0.1766046435,0.2199475666,0.1892008483,0.002123410949,0.0009730696367,0.990350301
43,0.4292342638,0.1787163205,0.2268902101,0.5241057053,0,0,0.3433216214,0.1313334219,0.1947224538,0.1169443705,0.0008582702527,0.0009717843259,0.979855559
44,0.4586322779,0.190302136,0.2457082545,0.5017944177,0,0,0.4195369929,0.1661588748,0.2362300927,0.1014349484,0.0009765917008,0.0009704699441,0.98395705
45,0.4879496495,0.2080774295,0.2613186377,0.4115518381,0,0,0.4704833825,0.2195566073,0.2346957078,0.1175610839,0.0007424821961,0.0009691265723,0.98632119
46,0.4836145267,0.2208114639,0.2466634847,0.3580048084,0,0,0.5272281468,0.2435362885,0.2674046655,0.1174840725,0.0007491303259,0.0009677542934,0.977762825
47,0.4520050411,0.2005583631,0.2343050676,0.3802316412,0,0,0.3993669103,0.1738243351,0.2086704671,0.1246022194,0.0007515636583,0.0009663531921,0.979016994
48,0.4138399263,0.1739144586,0.2220459071,0.3966009133,0,0,0.4393574744,0.1748056809,0.2456465537,0.1110670975,0.001083098565,0.0009649233547,0.97553664
49,0.4230723331,0.1897113696,0.2123689813,0.4656399339,0,0,0.3693136772,0.1424624411,0.2114316523,0.09900924113,0.0008123346876,0.0009634648695,0.983311707
50,0.4004280095,0.1708584242,0.2136047843,0.3541280329,0,0,0.4261504263,0.193851769,0.2190393234,0.08810430113,0.0006734947092,0.0009619778265,0.976185412
51,0.3793395211,0.1628809373,0.198273922,0.4033685029,0,0,0.3626704713,0.1623184408,0.1855689337,0.07696685785,0.0009303520783,0.0009604623173,0.970829623
52,0.3901767333,0.1600239289,0.2027325705,0.6082301388,0,0,0.3942986776,0.1618698736,0.2128522967,0.1320302269,0.0009779081835,0.0009589184355,0.97783464
53,0.3762084593,0.1588043322,0.1992190008,0.4033788467,0,0,0.4077637593,0.1597390473,0.2335620498,0.1021066317,0.0006839187117,0.0009573462763,0.979564916
54,0.3606043234,0.1483258003,0.1982023902,0.3122340006,0,0,0.3694313318,0.1618412808,0.1870003541,0.0933355346,0.00141278829,0.0009557459367,0.971728831
55,0.3386595572,0.1440480171,0.1797786057,0.3290211807,0,0,0.3412603686,0.1431309233,0.1839605495,0.100894706,0.0006627512436,0.0009541175153,0.966485289
56,0.3796525598,0.1676553935,0.1990423885,0.2873602149,0,0,0.3399915944,0.1313701421,0.195957693,0.08241519829,0.0006578579002,0.0009524611127,0.966890939
57,0.3645097489,0.1599264132,0.1898927838,0.3258627231,0,0,0.3908171157,0.1637308151,0.2084522247,0.1360397781,0.0008433427817,0.000950776831,0.969154006
