sim_name,p_rel_l2,tau_rel_l2,p_mae,tau_mae,cl_head,cd_head,cl_int,cd_int,cl_true,cd_true,sym_residual,antisym_cl_gap
airFoil2D_SST_31.382_3.588_1.994_6.206_0.0_13.271,0.3089963254,0.2102546128,60.05084883,0.3353019485,0.5636693239,0.01151654217,0.6498672962,0.02757165954,0.5692192912,0.01092164312,6.102425355,0.2904445231
airFoil2D_SST_31.68_0.424_0.273_4.301_1.0_11.616,0.2361562202,0.2627612553,44.42665964,0.3157652564,0.1308641434,0.009889764711,0.06779202819,0.01085539721,0.06675511599,0.009451651946,10.66443369,0.1406699419
airFoil2D_SST_31.803_7.291_3.243_6.962_0.0_10.641,0.2404124148,0.1237129561,94.36599663,0.388086964,1.050298929,0.01349324547,1.272235513,0.05618831143,1.10050714,0.01345183328,2.417393265,0.4537984729
airFoil2D_SST_31.812_1.334_0.371_3.287_0.0_19.548,0.2532751596,0.235935598,63.02712116,0.2428820136,0.274977833,0.01219769008,0.1928806752,0.01652395725,0.1494156718,0.01156413369,4.393028912,0.1353853047
airFoil2D_SST_32.499_12.136_1.194_6.108_1.0_8.121,0.2262359967,0.1393663476,365.5773026,0.9178910319,1.316903353,0.01632686518,1.377606034,0.08141823113,1.349646211,0.01973366365,1.007015953,0.3460909724
airFoil2D_SST_32.642_-0.627_0.31_3.451_0.0_8.252,0.2565912702,0.3770009061,41.75091938,0.4860005526,0.01744234562,0.009155851789,-0.08218078315,0.006339358166,-0.04785453156,0.008720623329,19.69838185,0.06694281101
airFoil2D_SST_32.66_1.2_3.249_6.689_1.0_18.317,0.2229902533,0.2217277208,62.9259352,0.2380884128,0.5262778401,0.01281928737,0.547262609,0.01869360171,0.4176615775,0.01192494482,5.330908414,0.3444243073
airFoil2D_SST_32.677_5.679_0.493_6.223_1.0_9.86,0.3483670287,0.1738175536,117.1094441,0.5221647176,0.617795527,0.01080641802,0.6539501548,0.03194439784,0.6611272693,0.01061729621,4.505837583,0.2912585437
airFoil2D_SST_32.706_8.859_2.638_5.49_0.0_18.856,0.1931168578,0.110057672,72.79200459,0.2609173325,1.036044598,0.01765865646,1.185846686,0.05644145235,1.055125594,0.01774419099,1.832644255,0.3357869387
airFoil2D_SST_32.717_11.377_2.913_6.33_1.0_13.804,0.1770366762,0.1121499898,128.9705485,0.4265037014,1.29395628,0.0179240033,1.521841764,0.08108267933,1.386225343,0.02006067149,1.237807654,0.3053798676
airFoil2D_SST_32.902_8.203_2.59_6.258_1.0_14.519,0.2141446238,0.1178874391,85.70433571,0.3400113943,1.010301709,0.01474862453,1.181544781,0.05253981799,1.079285979,0.01491541509,1.996119879,0.3116865754
airFoil2D_SST_32.966_-0.849_3.413_3.675_1.0_19.214,0.3072303817,0.2553077246,80.02290616,0.2638276879,0.27347821,0.0118191475,0.1612122655,0.01641616039,0.1367206424,0.01144481823,5.556284237,0.1908661723
airFoil2D_SST_33.137_-2.653_2.78_5.876_1.0_14.328,0.3463348318,0.1764423648,79.91397316,0.3071275668,0.1561114788,0.01051049214,0.1309654713,0.01131274085,-0.02958230674,0.01020305511,8.713447675,0.1390096545
airFoil2D_SST_33.163_-1.909_2.306_3.054_0.0_11.764,0.2879721645,0.1622737938,55.83522561,0.2990288482,0.0527189374,0.009770209901,-0.02926657349,0.01385722589,-0.06056886166,0.009507825598,10.71286739,0.01789689064
airFoil2D_SST_33.187_10.15_2.61_7.828_0.0_5.27,0.2036135347,0.1851582652,392.1838913,1.528075141,1.427200317,0.01739726774,1.539256215,0.09035927802,1.322238684,0.01932104491,0.8563717386,0.5951482654
airFoil2D_SST_33.191_2.869_2.039_7.426_1.0_13.149,0.2064576531,0.1600832356,46.45738974,0.2631129075,0.5352993608,0.01114088483,0.610950768,0.0220558513,0.5230796933,0.01059215888,6.574227658,0.2806974649
airFoil2D_SST_33.243_9.415_0.453_6.549_1.0_9.924,0.2590634575,0.1489171204,228.189236,0.6949102803,0.9881489873,0.01314153895,1.033041477,0.05401310325,1.040150523,0.01391228475,1.134924702,0.3138244748
airFoil2D_SST_33.798_10.426_3.185_5.957_0.0_11.232,0.1637799585,0.09938776015,129.5792253,0.4196633117,1.303184986,0.01620130055,1.477389693,0.06362771988,1.357674122,0.01717693731,1.17825959,0.3295636177
airFoil2D_SST_33.846_6.261_0.922_3.023_1.0_12.36,0.2498284317,0.1258600544,80.64210968,0.3666135218,0.6629108191,0.01151470747,0.7164319158,0.0287378449,0.7245303392,0.01148311514,3.350571569,0.2094451189
airFoil2D_SST_33.941_-4.025_1.706_6.295_1.0_12.199,0.4257315734,0.1706500524,108.3091565,0.4092739852,-0.09653156996,0.009772626683,-0.1263174862,0.01392239891,-0.2691526115,0.009948133491,11.9953151,0.02542465925
airFoil2D_SST_34.136_14.393_2.103_3.685_0.0_6.065,0.1066708459,0.135917099,279.1691463,1.223570392,1.562929153,0.02162896469,1.584392309,0.08972225338,1.502096057,0.0345864445,1.035768884,0.2184807062
airFoil2D_SST_34.283_1.149_2.438_6.56_0.0_11.452,0.1596473592,0.1798377276,40.34389636,0.2493040778,0.4059329927,0.01020472031,0.4294079542,0.0139572667,0.3659406304,0.009723678231,8.385174098,0.2023523748
airFoil2D_SST_34.55_9.924_0.765_3.332_0.0_6.065,0.2776407274,0.1919723351,469.6462723,1.484007778,1.108827472,0.01376254577,1.073823571,0.05811326951,1.093092084,0.01613582857,0.8983318299,0.2664590478
airFoil2D_SST_34.806_8.99_2.295_5.593_1.0_19.795,0.1316752544,0.07965776184,57.24047668,0.1989666564,1.034487963,0.01793109626,1.132074594,0.04563995823,1.025509834,0.01789497398,1.658655451,0.2568051219
airFoil2D_SST_34.878_7.93_3.081_6.388_1.0_15.071,0.1596589363,0.09966375136,67.0585576,0.2880138358,1.04880476,0.01512031537,1.16824317,0.04154670611,1.093785763,0.0151553005,1.984794425,0.2933899164
airFoil2D_SST_35.112_7.306_1.701_4.965_1.0_14.943,0.1779864764,0.0981479888,65.94556255,0.2896088282,0.8425228,0.01325086597,0.9301691055,0.03330306709,0.893651247,0.01324825548,2.243501624,0.1741235852
airFoil2D_SST_35.424_-3.014_1.51_5.078_1.0_5.743,0.2269413419,0.1496399728,88.32331046,0.6516595344,-0.1121515632,0.008906661533,-0.1586976051,0.01230414119,-0.2039197981,0.008673842065,14.54509743,0.05930167437
airFoil2D_SST_35.429_-0.673_3.556_7.908_1.0_10.289,0.1582384665,0.1142219475,42.89525391,0.1902260193,0.4285312593,0.01004409976,0.4718585014,0.01072273776,0.3331289887,0.009499906562,10.28259378,0.2753890455
airFoil2D_SST_35.486_8.246_3.212_7.038_0.0_8.761,0.1174089723,0.08021574939,91.26736506,0.3779335349,1.201772213,0.01378024928,1.340241432,0.04324636608,1.203431129,0.01371342223,1.230585502,0.3759735227
airFoil2D_SST_35.49_10.54_0.884_6.154_1.0_10.173,0.1761495603,0.103800282,206.4006036,0.5869526915,1.150753975,0.01445988379,1.187075734,0.04986120015,1.184661388,0.01546059549,1.064220303,0.2351423502
airFoil2D_SST_35.507_5.777_1.428_6.645_0.0_10.474,0.1981567643,0.1024171056,73.01088507,0.3443303353,0.7171102762,0.01107433438,0.7838916779,0.02598983049,0.765158236,0.01096434426,3.640056589,0.2205659747
airFoil2D_SST_35.516_-1.874_3.784_5.907_1.0_18.714,0.2265363488,0.1652179279,69.06638428,0.2264142009,0.2829372585,0.01158952527,0.2331628203,0.01342913881,0.1334129274,0.01132505853,6.342132818,0.2048791945
airFoil2D_SST_35.655_-1.157_0.274_7.435_1.0_6.16,0.3135382448,0.3096772796,52.99802809,0.5761352942,-0.06584686041,0.008652191609,-0.1319932789,0.005543894134,-0.09714650363,0.00825944636,32.00787776,0.007790148258
airFoil2D_SST_35.823_8.293_0.329_6.252_0.0_11.422,0.1668536923,0.0991375194,116.627177,0.4250548797,0.8766945601,0.01244992297,0.9176293612,0.03574341163,0.9117211103,0.01262109075,1.357405548,0.20884341
airFoil2D_SST_35.839_-2.434_2.439_5.397_1.0_6.142,0.176153904,0.1198503999,68.5546688,0.4895017448,0.0437951088,0.00901703909,0.02314593829,0.01093638875,-0.05456737429,0.008642389439,13.07264257,0.02700209618
airFoil2D_SST_35.856_7.149_0.902_4.514_0.0_12.985,0.1679238435,0.09355870169,73.68895513,0.3231369515,0.7670300007,0.01207106654,0.8287766576,0.02856251411,0.8258786201,0.01215830725,2.150210791,0.1521421075
airFoil2D_SST_36.026_2.687_1.952_5.57_1.0_8.173,0.1638098498,0.1472799676,38.34725522,0.2922055925,0.4483768344,0.009471520782,0.4697400033,0.01367376465,0.4688556194,0.009180890396,11.02186812,0.1310726702
airFoil2D_SST_36.077_-4.685_0.316_7.601_1.0_18.579,0.3123024289,0.1770304404,90.31621893,0.3213788243,-0.2413465381,0.01069250889,-0.3613905311,0.02394778281,-0.4319538176,0.0118119549,6.921394985,0.1542057395
airFoil2D_SST_36.155_8.69_3.296_7.636_1.0_8.571,0.1021583437,0.07249811933,101.2146612,0.3777493168,1.296488523,0.01464332733,1.420229197,0.04590307176,1.273425817,0.01437043864,1.076846484,0.4056578279
airFoil2D_SST_36.198_-2.544_2.402_5.395_1.0_14.297,0.2290544019,0.1275499791,61.99006929,0.2442146825,0.06801432371,0.01011692919,0.03421714157,0.01120029017,-0.06277164817,0.01000546478,8.648738177,0.0236440897
airFoil2D_SST_36.228_6.699_2.659_3.41_0.0_9.235,0.2734418926,0.1562432306,107.156999,0.4718606709,0.8173469901,0.01117349789,0.8344982862,0.02474177815,0.9002946615,0.01155564375,2.672407637,0.08747220039
airFoil2D_SST_36.385_2.558_2.975_3.104_1.0_9.306,0.2554276016,0.3107704814,60.36017117,0.4353644382,0.4210516512,0.009627984837,0.3748481572,0.01467268169,0.4694668651,0.009466820396,7.868609216,0.02046978474
airFoil2D_SST_36.564_-3.341_0.981_5.647_1.0_9.449,0.2509947776,0.11179755,66.36165494,0.3351261389,-0.1746191978,0.009159832262,-0.2113825083,0.01039122045,-0.2763627768,0.009171822108,15.8949864,0.1080362797
airFoil2D_SST_36.604_9.036_0.085_4.97_1.0_10.625,0.1751569195,0.1049658543,164.0517828,0.5267110112,0.9494659901,0.0127800554,0.9521954656,0.03717455268,0.9660923481,0.01315669436,1.128147641,0.196919024
airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,0.1241670629,0.09825062132,87.18630899,0.3397636189,1.321837664,0.02056583948,1.43130064,0.05568357557,1.388164997,0.02275856957,1.317629402,0.1533493996
airFoil2D_SST_36.967_-1.05_1.254_4.888_0.0_16.448,0.1431824983,0.1373387828,44.0597491,0.1992224655,0.08654177189,0.01044509746,0.03835397959,0.01068119425,-0.008563157171,0.01035994943,6.428467249,0.007690131664
airFoil2D_SST_37.104_0.913_0.585_4.275_1.0_12.237,0.1113450767,0.1392685331,29.87691547,0.216411811,0.1541559696,0.009604177438,0.1309850216,0.009357308038,0.1432472765,0.00939839147,8.550266599,0.02667987347
airFoil2D_SST_37.159_9.69_0.909_5.832_0.0_9.423,0.1447517723,0.08489244251,173.8249623,0.5114181535,1.103759289,0.01364346035,1.101140738,0.0354857184,1.107712865,0.01410299633,1.035386724,0.2019470334
airFoil2D_SST_37.191_-4.384_1.742_3.249_0.0_5.697,1.261320941,0.8536608405,241.3545893,2.271955893,-0.2081782222,0.008947916329,-0.2598527968,0.0236655362,-0.3303033113,0.03460441902,10.69413592,0.1435388327
airFoil2D_SST_37.261_4.879_3.571_7.018_1.0_9.35,0.1160022571,0.0674309204,40.35939697,0.2003484188,0.901311934,0.01137559675,0.9979045987,0.02508437447,0.8974567652,0.01111952681,4.386690575,0.2857551575
airFoil2D_SST_37.311_0.727_1.911_6.377_1.0_11.313,0.1024655184,0.1251074062,30.2246712,0.1950048908,0.2810548842,0.009644053876,0.2846513391,0.01034145616,0.2653165162,0.009360581636,9.126177738,0.07643195987
airFoil2D_SST_37.323_7.282_1.878_4.063_1.0_7.355,0.1618810827,0.1074542677,120.8860308,0.5106621385,0.9105346203,0.0112294415,0.9020711184,0.02268073708,0.9240567088,0.01144622359,1.395484371,0.130936861
airFoil2D_SST_37.382_11.168_3.389_5.307_1.0_16.094,0.1214897193,0.09190492067,88.53970147,0.3345459751,1.28800869,0.01936659962,1.368348598,0.04797202349,1.348965406,0.02084124275,1.308109059,0.1103492975
