epoch,train_loss,train_p_rel_l2,train_tau_rel_l2,train_head,train_force,train_sym,val_loss,val_p_rel_l2,val_tau_rel_l2,val_cl_mae,val_cd_mae,lr,epoch_time_s
0,2.070854962,1.052553788,0.9519129544,1.372257173,0,0,1.935145057,0.9177143711,0.92349825,0.5280075684,0.003618207551,0.001,1.812920969
1,1.890310973,0.9147491455,0.8967081457,1.629922062,0,0,1.876058157,0.8856988503,0.8980228534,0.514346301,0.003599058143,0.0009999845942,0.433405642
2,1.838821381,0.9206299037,0.8535187542,1.336798459,0,0,1.871089935,0.9124633349,0.8692885867,0.504400706,0.003443409982,0.0009999383779,0.42991957
3,1.717052698,0.870293349,0.7799088508,1.3818129,0,0,1.781533755,0.8665523437,0.8312940277,0.4710454205,0.003247445733,0.0009998613539,0.426593247
4,1.558759212,0.7949731052,0.7130270004,1.049200848,0,0,1.730927394,0.8419666107,0.8118065917,0.4169312869,0.003120417502,0.0009997535269,0.4191672
5,1.483523667,0.7220744342,0.7138656676,0.9835618287,0,0,1.698187003,0.8393706588,0.8036599664,0.2685015275,0.002465762137,0.0009996149036,0.424332788
6,1.563535631,0.7762223333,0.7406914085,0.9636841416,0,0,1.61551382,0.794097286,0.7685241562,0.2442711054,0.002406966123,0.0009994454925,0.425745354
7,1.427866161,0.7124263495,0.6784572303,0.7644380331,0,0,1.65871169,0.8270109571,0.7729778565,0.275051465,0.002643220215,0.0009992453042,0.424880345
8,1.477900505,0.7328129411,0.6917981952,1.101502031,0,0,1.628367397,0.7974100801,0.7696803487,0.3049496091,0.002719021388,0.0009990143508,0.423092641
9,1.388910174,0.6577857137,0.6894577146,0.8612603247,0,0,1.623768889,0.8218385852,0.7507522886,0.2401356395,0.002297667102,0.0009987526468,0.429062085
10,1.335766941,0.6558856815,0.632733345,0.9745561033,0,0,1.554461167,0.7539396882,0.7386280986,0.3063971274,0.002724980381,0.0009984602082,0.430376937
11,1.326629907,0.657554552,0.6237282902,0.9373339862,0,0,1.528710558,0.7344166407,0.7285436988,0.3307912058,0.002851265967,0.0009981370531,0.424736898
12,1.394831777,0.6948360056,0.6553922743,0.9219635129,0,0,1.445208366,0.6970502001,0.6976858698,0.2209791624,0.002427212228,0.0009977832013,0.433581709
13,1.253205836,0.5921886563,0.6275018007,0.6927697062,0,0,1.375359251,0.6476855553,0.6753967175,0.277294814,0.00214472665,0.0009973986748,0.427265246
14,1.228138477,0.606245175,0.5893690139,0.6722841561,0,0,1.344675651,0.63141644,0.6650202366,0.2231465422,0.002236270276,0.0009969834972,0.42984158
15,1.14325127,0.5404418483,0.5699911416,0.6783614308,0,0,1.340192694,0.6400365279,0.6510329659,0.2248212957,0.002285479936,0.0009965376942,0.426886188
16,1.245094091,0.6032200456,0.6020848677,0.8224505559,0,0,1.410755588,0.6923820697,0.6695794922,0.2177259876,0.002325545666,0.0009960612933,0.427469625
17,1.16911152,0.5660173297,0.5724410117,0.6336070076,0,0,1.252903333,0.5740327514,0.6304004697,0.2505069308,0.002040217058,0.0009955543238,0.427325852
18,1.021379113,0.4667708278,0.5212418586,0.6896909624,0,0,1.238924292,0.575045173,0.6129423884,0.2649916388,0.002107992121,0.000995016817,0.42307288
19,1.072778732,0.4900042117,0.5497584641,0.6824482605,0,0,1.212808481,0.5491019327,0.6128952091,0.2520467418,0.002233266211,0.0009944488061,0.424463737
20,1.035418332,0.4687301815,0.5283714682,0.7920141369,0,0,1.337790948,0.6521852521,0.6283797026,0.2835197176,0.002504233499,0.0009938503261,0.434615644
21,1.245631814,0.6058575809,0.6044233739,0.7307082862,0,0,1.395797592,0.6248405759,0.7237390738,0.2453370951,0.001988869323,0.000993221414,0.431465887
22,1.365770519,0.6268600225,0.687631011,1.05995737,0,0,1.257042793,0.5662299303,0.6375010105,0.2725511061,0.00223964348,0.0009925621084,0.426368193
23,1.110796914,0.5198789313,0.5595900714,0.6475541778,0,0,1.243023267,0.5966889675,0.5898244748,0.2698279583,0.002504733368,0.0009918724502,0.4319152
24,1.086751699,0.4893883616,0.5553146079,0.8691556305,0,0,1.147245866,0.521736819,0.5792993422,0.2191167514,0.00209493754,0.0009911524817,0.429415521
