epoch,train_loss,train_p_rel_l2,train_tau_rel_l2,train_head,train_force,train_sym,val_loss,val_p_rel_l2,val_tau_rel_l2,val_cl_mae,val_cd_mae,lr,epoch_time_s
0,1.626628542,0.7621517886,0.7842474837,1.078961601,0,0,1.343788926,0.610870962,0.6696716409,0.2328859024,0.002227039291,0.001,6.73719702
1,1.211441404,0.5481893386,0.6043299992,0.792411985,0,0,1.235677572,0.5566499371,0.602988995,0.2610063268,0.002696676259,0.0009999845942,3.480705392
2,1.073100496,0.4734201011,0.5422344228,0.7725609202,0,0,1.008640427,0.4072695008,0.5435148065,0.2303266349,0.001842836323,0.0009999383779,3.532619055
3,0.7980267216,0.3407119966,0.4072295759,0.6735690378,0,0,0.7067515713,0.2838282562,0.3784778095,0.1756214947,0.001441560551,0.0009998613539,3.546858913
4,0.6780381325,0.2816178917,0.3531838391,0.5814637345,0,0,0.5925805546,0.2266888343,0.3215513894,0.1642713983,0.001510768509,0.0009997535269,3.581673567
5,0.6005958732,0.2471360087,0.3113463054,0.566363248,0,0,0.5755303777,0.2284582234,0.3108625664,0.1647987528,0.001010076208,0.0009996149036,3.653531067
6,0.5932344496,0.2526905052,0.2956877778,0.6032472138,0,0,0.5369109007,0.2256597017,0.2696622129,0.1516864653,0.001459629121,0.0009994454925,3.656514336
7,0.6312251003,0.2801349492,0.308865661,0.5678552003,0,0,0.5315985771,0.2167911289,0.2661794883,0.1596160953,0.001906541279,0.0009992453042,3.66597458
8,0.5412334908,0.2284664178,0.2740180191,0.521115849,0,0,0.4266047088,0.1655728238,0.2305700424,0.1231121087,0.0009769970039,0.0009990143508,3.684121486
9,0.5431863076,0.2404593226,0.2740769512,0.3852993263,0,0,0.7790115522,0.3617135837,0.3778334329,0.1574856063,0.00128789376,0.0009987526468,3.676929702
10,0.6141914481,0.269686491,0.3083323748,0.4864661633,0,0,0.5355162185,0.2297201214,0.2748598582,0.1498249681,0.0007638139743,0.0009984602082,3.649152932
11,0.5312937871,0.2229268903,0.2685484917,0.5354969468,0,0,0.5209714197,0.2077936163,0.2675280571,0.1579051837,0.00163988709,0.0009981370531,3.620062515
12,0.5048231543,0.2123763299,0.2597635676,0.4395400255,0,0,0.5268569428,0.2141566139,0.2803313549,0.1351262729,0.0009872291749,0.0009977832013,3.589627184
13,0.4401166913,0.1873677503,0.2216509408,0.4182207686,0,0,0.4361359981,0.1923181564,0.2099261731,0.1471572291,0.001017455966,0.0009973986748,3.558167227
14,0.4508405748,0.1893903772,0.2265298566,0.4696254764,0,0,0.4215922562,0.1854347518,0.2092548872,0.1159237826,0.0007782026986,0.0009969834972,3.532663732
15,0.4506512305,0.1917537376,0.2277534049,0.4188405709,0,0,0.6134562607,0.2681635905,0.3025655036,0.1915116818,0.001212458266,0.0009965376942,3.542876805
16,0.4665788995,0.2033783648,0.2321979295,0.4169379022,0,0,0.4227082867,0.1809518503,0.2114459276,0.09843765102,0.001174154612,0.0009960612933,3.53195822
17,0.3857211911,0.1639383747,0.1991950456,0.3037711314,0,0,0.3823774686,0.1544670147,0.1922455969,0.1164972042,0.001403559973,0.0009955543238,3.511395221
18,0.4323697144,0.1826617189,0.221537459,0.3788508356,0,0,0.4913270726,0.2139928559,0.2359835918,0.1593747167,0.001402260922,0.000995016817,3.499673496
19,0.432300804,0.1793771097,0.2170446749,0.4825182395,0,0,0.3946486987,0.1547442491,0.2095776968,0.1131915983,0.001052426002,0.0009944488061,3.485282421
20,0.3997414999,0.1735895964,0.1972313889,0.3889369206,0,0,0.5069735898,0.2305725744,0.2382941911,0.166934256,0.001123805125,0.0009938503261,3.489996404
