epoch,train_loss,train_p_rel_l2,train_tau_rel_l2,train_head,train_force,train_sym,val_loss,val_p_rel_l2,val_tau_rel_l2,val_cl_mae,val_cd_mae,lr,epoch_time_s
0,1.750926527,0.7948466516,0.8456980173,1.254486261,0,0,1.575711635,0.7268059896,0.773148853,0.2468107394,0.002017780715,0.001,4.673598927
1,1.422698589,0.6327954152,0.7185433301,0.8110024723,0,0,1.32527223,0.6180884105,0.6384192843,0.2359511164,0.001733238264,0.0009999845942,2.107129522
2,1.299095667,0.5750044745,0.656811556,0.7646309091,0,0,1.535628796,0.7106941205,0.766018652,0.1815880813,0.001641781493,0.0009999383779,2.113578573
3,1.133922898,0.4899428258,0.5880984905,0.6350923089,0,0,0.9920318035,0.4283576103,0.5046932445,0.1746379935,0.001772975759,0.0009998613539,2.135328969
4,0.9173480089,0.3909209737,0.4733722611,0.6029658283,0,0,0.9429055682,0.4209601123,0.4661879929,0.195792454,0.001366244718,0.0009997535269,2.151540799
5,0.8757187403,0.3666629688,0.4585225009,0.5743088894,0,0,0.7850693189,0.3478237574,0.3937365573,0.1504701049,0.001134801679,0.0009996149036,2.163385004
6,0.8267175166,0.3458038649,0.4210123489,0.6807763806,0,0,0.8506937256,0.3289119636,0.4576145869,0.1954309934,0.001832089792,0.0009994454925,2.1756702
7,0.7746194441,0.3155348851,0.3988134368,0.6849794709,0,0,0.7113493566,0.2997023119,0.3623484476,0.1757150683,0.001181677929,0.0009992453042,2.177537755
8,0.743768433,0.3111972929,0.3838715141,0.5534697072,0,0,0.7354275584,0.3153076436,0.3749080633,0.1544957173,0.001133981058,0.0009990143508,2.20737016
9,0.6394032492,0.2496729573,0.34485079,0.510054194,0,0,0.6312529307,0.242291478,0.3485447168,0.1528548642,0.0009163667029,0.0009987526468,2.228330327
10,0.6323497238,0.2563636194,0.3296644413,0.5264442368,0,0,0.590868982,0.2443033491,0.3063972122,0.1576933592,0.0008650122443,0.0009984602082,2.23077426
11,0.5473290017,0.2122309672,0.2905497505,0.5062897962,0,0,0.5249510132,0.2088159919,0.2708111084,0.1561725741,0.001099661249,0.0009981370531,2.255024579
12,0.5245805429,0.1993109134,0.281295127,0.4997688016,0,0,0.6480322389,0.273017732,0.3406106027,0.1303306906,0.0008075812133,0.0009977832013,2.257161075
13,0.657751794,0.2708137316,0.3413722297,0.5178542194,0,0,0.7275334734,0.3448094749,0.3272650196,0.1428180546,0.001805910282,0.0009973986748,2.226742532
14,0.565933615,0.2350006963,0.2849028139,0.5231307883,0,0,0.5542645615,0.2382166798,0.2778827009,0.1352285404,0.0008971759584,0.0009969834972,2.205321257
15,0.5207513502,0.2155348323,0.2666520499,0.4382840183,0,0,0.6326199495,0.2865166572,0.3140504704,0.1224660002,0.0007154023275,0.0009965376942,2.184603266
16,0.6097569672,0.2626189068,0.3095239699,0.4274828887,0,0,0.6139815014,0.2949848072,0.2871890767,0.1137579003,0.0007861140324,0.0009960612933,2.176717995
17,0.506447039,0.2002132787,0.2634675526,0.4860366858,0,0,0.4997701072,0.2121313249,0.2581119961,0.1020132837,0.0007320831995,0.0009955543238,2.164630754
18,0.633259207,0.2768610045,0.3107752049,0.5185039003,0,0,0.6214798964,0.2539329345,0.3262314579,0.1490813323,0.0009484285489,0.000995016817,2.147117365
19,0.5278468419,0.2117806616,0.2799040549,0.4109814396,0,0,0.6031302328,0.2768954749,0.2905871627,0.1051855202,0.001073582135,0.0009944488061,2.149930883
20,0.5315402299,0.2307488296,0.2670822121,0.3831038807,0,0,0.4937852552,0.2155899314,0.2510166283,0.08788405106,0.0007374095591,0.0009938503261,2.134872737
21,0.4693818941,0.1917024753,0.2410745265,0.4160133898,0,0,0.4403807017,0.1684259216,0.2357518421,0.1130043172,0.001004089508,0.000993221414,2.128216742
22,0.4807774344,0.1984140778,0.248189682,0.3883827644,0,0,0.4621009529,0.1962288687,0.238241339,0.09519555569,0.000663196221,0.0009925621084,2.126705035
23,0.4202548563,0.1706968322,0.2207535454,0.3273620084,0,0,0.5046222806,0.2204826818,0.250491344,0.1222730849,0.0008154313685,0.0009918724502,2.114107763
24,0.478473488,0.2072069777,0.2419212862,0.3335075178,0,0,0.6450119431,0.287692227,0.3342266633,0.06896071756,0.0006478031678,0.0009911524817,2.101404179
25,0.5279912284,0.2274754626,0.2646583342,0.4075185066,0,0,0.4823811467,0.2209578214,0.2153742336,0.1347789332,0.001367395171,0.0009904022476,2.133008936
26,0.4347580454,0.1769937383,0.2261690715,0.3590788555,0,0,0.4810571946,0.207427018,0.2447335926,0.1361859688,0.0004391010897,0.0009896217939,2.109122107
27,0.4438165403,0.1747373941,0.2330106354,0.4099175053,0,0,0.4460784976,0.18272635,0.2271657598,0.151692698,0.0007274851995,0.0009888111689,2.094015168
28,0.4409690694,0.1754640934,0.2297727443,0.4060956165,0,0,0.4451496624,0.1610823755,0.2502624587,0.1127472181,0.0008428272652,0.0009879704226,2.117522811
29,0.4514430589,0.1859213297,0.2326975677,0.373045601,0,0,0.4266603956,0.1762193075,0.2138702044,0.1420696863,0.0007655720692,0.0009870996068,2.107900664
30,0.3894270452,0.1549385445,0.2016221554,0.3735249538,0,0,0.4202694366,0.1664755803,0.2241182912,0.07874618731,0.0008820512472,0.0009861987752,2.115932132
31,0.4008254088,0.1623621486,0.2098402576,0.3252995129,0,0,0.4333504049,0.1941353633,0.2183208099,0.06523142806,0.0005684080208,0.0009852679835,2.114068905
32,0.4253868208,0.1808053731,0.2161135725,0.3235364946,0,0,0.4907896519,0.2075204356,0.2440497589,0.1321796469,0.0009769196156,0.000984307289,2.128946998
33,0.4405517888,0.1823644661,0.2247518891,0.379992657,0,0,0.4772514999,0.2036641401,0.2316061488,0.1546594363,0.0009248492448,0.000983316751,2.12460509
34,0.4253012057,0.177497372,0.2147280482,0.3759052616,0,0,0.5183966939,0.2275312004,0.2576377243,0.1088605974,0.0008944534604,0.0009822964305,2.124204871
35,0.4161225271,0.1703561501,0.2148877107,0.3509350663,0,0,0.368101418,0.1480631909,0.193242057,0.09585129807,0.0006385225058,0.0009812463906,2.137811244
36,0.3485856859,0.139476771,0.181293076,0.3161260554,0,0,0.3430750015,0.1312161191,0.1959244093,0.05665153189,0.0003959935065,0.000980166696,2.133807392
37,0.39729669,0.1621108955,0.2069832127,0.3205214418,0,0,0.4170828828,0.1729684552,0.2222501177,0.08666086215,0.0004619358573,0.0009790574133,2.145884695
38,0.4050289198,0.1676876886,0.215324207,0.2502227752,0,0,0.5255696109,0.2274837448,0.2612962929,0.1070329706,0.001100701056,0.0009779186109,2.135209678
39,0.4141244258,0.180600683,0.2081481757,0.2883925191,0,0,0.4555476675,0.2073239237,0.20176704,0.137414091,0.001335873669,0.0009767503591,2.142797333
40,0.3824052708,0.1646630684,0.1835671388,0.3883984565,0,0,0.3890802952,0.150251647,0.2129628188,0.08424388297,0.000696922252,0.0009755527299,2.143278813
41,0.3894920876,0.1595577944,0.2018256675,0.3194535965,0,0,0.4022647624,0.1882982311,0.1918034473,0.06807531118,0.0006614886271,0.0009743257972,2.158229931
42,0.4073799402,0.1850897549,0.1987014711,0.2680850103,0,0,0.4039335526,0.1755399463,0.2040938471,0.0704818087,0.0007285875361,0.0009730696367,2.180344047
43,0.3757230376,0.1636190807,0.18565659,0.300573478,0,0,0.5046409391,0.2427458454,0.2304336108,0.1148035713,0.0007205234282,0.0009717843259,2.15324958
44,0.3701181056,0.1523566607,0.1916333832,0.296944577,0,0,0.4766293283,0.2350207533,0.2152822625,0.08265571387,0.0007290853187,0.0009704699441,2.155938208
45,0.3132886399,0.132962647,0.1599016267,0.2321222768,0,0,0.2996811236,0.112744775,0.1609896341,0.07764469743,0.0007500188425,0.0009691265723,2.167931923
46,0.2953072706,0.1211250081,0.15052347,0.2688814212,0,0,0.3273115341,0.1384955381,0.168985439,0.07449679382,0.0004496506369,0.0009677542934,2.167215475
47,0.3098817387,0.1299866449,0.1611682349,0.2128301727,0,0,0.422451464,0.2017114965,0.192611966,0.08105051201,0.0008121847687,0.0009663531921,2.153090448
48,0.3611100316,0.1541558983,0.178540643,0.3229184248,0,0,0.335859599,0.1227944155,0.1838105046,0.09804780146,0.0007143889088,0.0009649233547,2.148644283
49,0.2889703535,0.1151905759,0.1533340949,0.2323644849,0,0,0.2960534405,0.1160576303,0.1574512835,0.05387697712,0.0007202857453,0.0009634648695,2.16142024
50,0.3173875184,0.1297114251,0.1640422705,0.2685975948,0,0,0.3188677831,0.1237298818,0.1562767791,0.1358892463,0.0009107280523,0.0009619778265,2.148083172
51,0.312881143,0.12657392,0.1605936667,0.292233709,0,0,0.3660250123,0.1542359608,0.1866116822,0.09799533531,0.0005554702925,0.0009604623173,2.155774941
52,0.3533767038,0.1455195836,0.1802037616,0.3142795414,0,0,0.316411995,0.1198109996,0.1678337375,0.1109972716,0.0005969661893,0.0009589184355,2.151604727
53,0.2881946632,0.1175423316,0.1523606969,0.2078838497,0,0,0.304532638,0.1188203211,0.1704975573,0.04164511928,0.0004613325279,0.0009573462763,2.144592462
54,0.3024838979,0.1241145587,0.1587881827,0.2225392386,0,0,0.3140933559,0.1341901158,0.1602487427,0.0624812096,0.0005056737876,0.0009557459367,2.155541975
55,0.314027553,0.1396519888,0.1550358471,0.2197952852,0,0,0.4471555329,0.2215060443,0.2047221821,0.04595752028,0.0007684230711,0.0009541175153,2.16203716
56,0.412827125,0.1864111312,0.1984116137,0.3182688244,0,0,0.5150608581,0.230215742,0.2477577512,0.1017109023,0.001190480213,0.0009524611127,2.148095301
57,0.3289659831,0.133101159,0.1720881531,0.2702210921,0,0,0.3134713666,0.1419611527,0.1546189006,0.05959719736,0.0004015741218,0.000950776831,2.139904208
58,0.3434134194,0.1469875073,0.1742692303,0.2518099813,0,0,0.3934625158,0.1765421319,0.1904140482,0.07380174216,0.0007791565498,0.0009490647741,2.14350115
59,0.3301979326,0.1358334786,0.1665859136,0.3157022555,0,0,0.345491297,0.1612705158,0.1635575988,0.06329460437,0.0005690207146,0.0009473250476,2.14323123
60,0.2955473776,0.1244295681,0.1500094797,0.239895483,0,0,0.2892434666,0.123999865,0.146754258,0.05179719136,0.0004937711079,0.0009455577588,2.144596645
61,0.2887283667,0.1243389449,0.1440810911,0.2308035688,0,0,0.3372735633,0.1345635355,0.1644637057,0.1162066169,0.00111809962,0.0009437630168,2.146459509
62,0.3254242006,0.1374423862,0.1607701996,0.309259131,0,0,0.421384816,0.2158793039,0.1813063048,0.06593431617,0.0006739964569,0.0009419409322,2.15382297
63,0.3154501605,0.1340901026,0.1581033821,0.264311352,0,0,0.276669257,0.1173917026,0.1434730366,0.04015502049,0.0004401337402,0.0009400916175,2.130157771
64,0.2768386367,0.1167739882,0.1420550381,0.204678681,0,0,0.2719028982,0.1078871884,0.1460077304,0.06402924938,0.0004213254014,0.0009382151867,2.136850228
65,0.2962574311,0.1278930361,0.1487166882,0.2232955875,0,0,0.3732637167,0.1748446547,0.1728077393,0.06179164371,0.0008068603231,0.0009363117555,2.129040993
66,0.3424724071,0.1427479899,0.1758066055,0.2718251863,0,0,0.302793857,0.1341301942,0.1453791639,0.05551558111,0.0006868464639,0.0009343814415,2.124896505
67,0.2536357693,0.1031194687,0.1309069848,0.2228592422,0,0,0.309298411,0.1380799877,0.1524921982,0.05930176301,0.0005003206246,0.0009324243635,2.123882326
68,0.2648953979,0.1102918667,0.1355627426,0.2163979689,0,0,0.2673097918,0.114731462,0.1305465893,0.06472311318,0.0006477721222,0.0009304406425,2.129057484
69,0.2683057395,0.1155563584,0.1317482347,0.238677369,0,0,0.3617981581,0.1659123622,0.1681847847,0.08004401329,0.0007908823015,0.0009284304007,2.127082447
70,0.2747807296,0.117548211,0.1373888607,0.2255225213,0,0,0.2649086175,0.1046268034,0.1342068429,0.06576726604,0.0008748274948,0.0009263937621,2.12950276
71,0.2479654356,0.0953185756,0.1284489967,0.2750079552,0,0,0.2597957792,0.1048795294,0.1375677322,0.06131243486,0.0004136937484,0.0009243308524,2.124152903
72,0.2565922399,0.1065530674,0.1322469514,0.2022080628,0,0,0.3884218335,0.1718924011,0.1957751673,0.04675330613,0.0007193682436,0.0009222417988,2.135988264
73,0.3216706274,0.1351549287,0.1648252635,0.2465111029,0,0,0.2504746008,0.09481456589,0.1392084601,0.04854030097,0.000430251793,0.0009201267302,2.12733421
74,0.2650625476,0.1135935119,0.1326104787,0.2143268929,0,0,0.4378634118,0.1990700846,0.2227570495,0.03649323036,0.0005055076024,0.000917985777,2.151169139
75,0.2933250603,0.129622619,0.1434476204,0.2301954123,0,0,0.3353297527,0.1429576891,0.1763207248,0.03924471686,0.0004840506567,0.0009158190713,2.141647387
76,0.2516743203,0.09980561957,0.1313876974,0.2327659113,0,0,0.2877864494,0.132918171,0.1350966652,0.07873159319,0.0003924560966,0.0009136267469,2.14851483
77,0.2610223104,0.1135236452,0.1280633194,0.2208820862,0,0,0.2804938429,0.1227162165,0.1386088179,0.05175827261,0.0005360737117,0.0009114089388,2.140198409
78,0.2796538684,0.1226567483,0.1378565032,0.2175324284,0,0,0.2835227045,0.1180673184,0.1488210903,0.04634694073,0.0005143915303,0.0009091657839,2.145339307
79,0.2485283671,0.1058190313,0.1246727602,0.2049851122,0,0,0.3090398346,0.1446320128,0.1426655381,0.05149715244,0.0007242238754,0.0009068974205,2.145861153
80,0.2424281371,0.1006385009,0.1216778881,0.2285694299,0,0,0.2194057886,0.08398118271,0.1090898095,0.06658875475,0.0008644296881,0.0009046039887,2.151919424
81,0.2140549198,0.0852426034,0.110113793,0.2125081529,0,0,0.262776886,0.1097185938,0.1357623797,0.05354114541,0.0004107350763,0.0009022856298,2.177736495
82,0.2431307389,0.1021811862,0.122881434,0.2053435754,0,0,0.2593014355,0.107593702,0.1325490887,0.05966239003,0.0005016165879,0.0008999424869,2.171607348
83,0.259287974,0.1078579457,0.1301292296,0.2420829271,0,0,0.247061742,0.09540001704,0.1231006556,0.07744558362,0.0009149675304,0.0008975747045,2.170962127
84,0.211616684,0.08537002682,0.1089835141,0.1961950797,0,0,0.3568225916,0.1754161372,0.1676073647,0.04339614383,0.0003864235012,0.0008951824287,2.178288883
85,0.2550775632,0.1086917591,0.1281621127,0.2071116449,0,0,0.2764103046,0.1232365857,0.135213112,0.04677440472,0.0005117731029,0.000892765807,2.152543782
86,0.2351157327,0.09508198801,0.1219026191,0.2060596986,0,0,0.2799777595,0.1202243205,0.1428029772,0.04884893652,0.0004389017774,0.0008903249885,2.149108625
87,0.2386296764,0.09701516909,0.1259851416,0.1776272477,0,0,0.2699518708,0.1228590464,0.1287582545,0.05783082047,0.0004556616489,0.0008878601237,2.158457395
88,0.2163341481,0.09470233278,0.1072240079,0.1637442433,0,0,0.2108125285,0.08287620115,0.1028928975,0.06385235474,0.0007526047528,0.0008853713648,2.15621002
89,0.2410866853,0.1038242395,0.1165834172,0.2350165004,0,0,0.2137787285,0.07926951148,0.1168645477,0.05439061038,0.0004573162226,0.0008828588651,2.166239126
90,0.1997973397,0.08231434627,0.1000907716,0.1976620521,0,0,0.2743479827,0.121903635,0.1372662903,0.05189597502,0.0003706096252,0.0008803227798,2.164698301
91,0.2425315655,0.09952626893,0.1267553837,0.1846797655,0,0,0.2702766714,0.1129528427,0.1423314901,0.05536322081,0.0003064905154,0.0008777632652,2.147206467
92,0.201934219,0.08057279913,0.1058817944,0.1759254411,0,0,0.1953059211,0.07821063927,0.1010218372,0.04637000199,0.0004218277708,0.0008751804793,2.152132726
93,0.1956426129,0.07808773635,0.1040645184,0.1533174847,0,0,0.2077761189,0.08769979901,0.1080987408,0.03973647351,0.0003098036768,0.0008725745813,2.153590329
94,0.1882592199,0.07808277369,0.09588245761,0.1624507437,0,0,0.1946136974,0.07835700392,0.1042564334,0.03233943845,0.0003390007047,0.0008699457319,2.140871637
95,0.1728538848,0.0694419223,0.08998232077,0.1526274377,0,0,0.2146441524,0.090781456,0.1071389495,0.05723327997,0.0004013057845,0.0008672940935,2.146731889
96,0.1774149571,0.07042721616,0.09228031509,0.1671494211,0,0,0.2507448747,0.1065629864,0.1237533666,0.05356597329,0.0006096469983,0.0008646198294,2.146051834
97,0.1759040642,0.06957421839,0.08784243493,0.2101088421,0,0,0.219908242,0.08668662149,0.1106725112,0.05761730395,0.0007247772114,0.0008619231047,2.129645788
98,0.2121963719,0.08707246127,0.1081324386,0.1931075325,0,0,0.2457434524,0.109764478,0.1168085566,0.05618374934,0.0005038275989,0.0008592040857,2.132957256
99,0.192086594,0.08095510992,0.09739392623,0.1561268926,0,0,0.2644108156,0.1243364272,0.1283344942,0.03857966851,0.0002697553206,0.0008564629402,2.138358086
100,0.2110542867,0.09095089897,0.1070514324,0.1483350539,0,0,0.2393884728,0.09825446858,0.125797642,0.03800361432,0.000474770572,0.0008536998372,2.144845685
101,0.1863097474,0.08124179235,0.09280963185,0.1393154725,0,0,0.1854659456,0.07714435028,0.09708612412,0.03254164454,0.0002663196484,0.0008509149472,2.14616292
102,0.1892312547,0.07815507255,0.09795273181,0.1491475621,0,0,0.2054151457,0.08409577436,0.1065519819,0.05942561548,0.0002773974929,0.0008481084419,2.122506309
103,0.1507852782,0.06124196904,0.07812790515,0.1297357042,0,0,0.1872380915,0.08457764783,0.0897416077,0.0423322932,0.0002882382972,0.0008452804945,2.121660876
104,0.180884912,0.07825623668,0.08974100936,0.1464679066,0,0,0.2801492535,0.1368986918,0.1283293779,0.05101033309,0.0003569060657,0.0008424312794,2.126902062
105,0.2141257731,0.09109209478,0.1091419702,0.1578788382,0,0,0.234728624,0.1080303714,0.112189917,0.05767645061,0.0002676764224,0.0008395609724,2.121017379
106,0.1789298464,0.07159744547,0.09301735776,0.1626900006,0,0,0.2087393988,0.0823126676,0.1126494889,0.0419376241,0.0003408981301,0.0008366697505,2.127924773
107,0.1608072571,0.06428252633,0.08053570642,0.1817147672,0,0,0.1824076061,0.0695430794,0.09862542439,0.03563623525,0.0004050597502,0.0008337577921,2.130047436
108,0.1663146512,0.06617072912,0.08669148787,0.1528864904,0,0,0.2019993548,0.08680962857,0.09701236509,0.0547779841,0.0004771459009,0.0008308252767,2.131001497
109,0.1724059189,0.07126019279,0.08813737705,0.1478394657,0,0,0.2025326743,0.08386622828,0.1018320586,0.04474210274,0.0004588357871,0.0008278723854,2.124078945
110,0.1707073542,0.07031120503,0.08553065875,0.1689458057,0,0,0.2605394263,0.1222909786,0.1239169395,0.05457875825,0.0002685482334,0.0008248993001,2.154302394
111,0.2047755128,0.08746972981,0.1022676023,0.1709084224,0,0,0.2299341697,0.09891988337,0.1183269133,0.03064105662,0.0003858213872,0.0008219062044,2.127993862
112,0.1821502029,0.07828648073,0.09167880135,0.1384812453,0,0,0.2017597923,0.08023912574,0.1074149878,0.04092243897,0.0003816199442,0.0008188932829,2.135697125
113,0.2004123342,0.08929484796,0.09599316091,0.1718874766,0,0,0.2442116325,0.106334433,0.1208853848,0.04553266606,0.0004753185483,0.0008158607213,2.148969307
114,0.174633452,0.07168966231,0.09080904923,0.1379109386,0,0,0.2081103256,0.08526165153,0.1082055867,0.03684253981,0.0003953334643,0.0008128087068,2.154766919
115,0.1487324946,0.0618243633,0.07770059888,0.1046433172,0,0,0.1689396036,0.07306851561,0.08418283354,0.03846140531,0.0002821122622,0.0008097374277,2.159848236
116,0.1550038881,0.06396186466,0.07964744075,0.1294990626,0,0,0.1789507098,0.07968081018,0.08534267602,0.03041321117,0.0004436329287,0.0008066470733,2.152247958
117,0.1781467921,0.07505961808,0.08962527892,0.1529940166,0,0,0.2509923394,0.1161830328,0.1121663944,0.05432371493,0.0007600622531,0.0008035378343,2.139945503
118,0.1926991779,0.08103702146,0.09818094826,0.1532135147,0,0,0.1927275107,0.08251941089,0.09294399562,0.06608545631,0.0003518707491,0.0008004099026,2.162043136
119,0.1579293176,0.06533958462,0.07979788459,0.1453789702,0,0,0.1822051314,0.07931622748,0.09036261015,0.03063661379,0.0003680983698,0.0007972634709,2.157200445
120,0.153494632,0.06475714752,0.07735439275,0.1293684657,0,0,0.2591095922,0.1216760742,0.1220321117,0.03731116232,0.0004607671592,0.0007940987335,2.165069591
121,0.1773893994,0.07647907189,0.08884810126,0.137086821,0,0,0.2348691603,0.106379603,0.1144060756,0.03928907823,0.0004073433951,0.0007909158856,2.166864767
122,0.1611328159,0.06694939776,0.08171499564,0.1417032334,0,0,0.1837212283,0.07422502052,0.09378224783,0.03125901951,0.0005502578709,0.0007877151234,2.164764488
123,0.1589126558,0.06448843259,0.08281920019,0.1318906932,0,0,0.1621662401,0.06606379266,0.08568437455,0.0328601652,0.0002772867866,0.0007844966444,2.159784891
124,0.1427258886,0.05888636324,0.07419582342,0.1096003852,0,0,0.1783509598,0.07991602129,0.08640426799,0.03531412003,0.0003119430365,0.0007812606472,2.158116545
125,0.1486775004,0.06021347355,0.07720917162,0.1279110903,0,0,0.1868772621,0.08916437941,0.08664555103,0.0333182233,0.0002795192972,0.0007780073314,2.16332136
126,0.148577511,0.06012654032,0.07496325342,0.1532874821,0,0,0.1566238925,0.06318633,0.08221177986,0.0379327949,0.0002896834165,0.0007747368976,2.155969669
127,0.1482296595,0.05873903904,0.07384076313,0.1778600924,0,0,0.1784728628,0.08749427102,0.07919100099,0.03736349326,0.000329638361,0.0007714495476,2.163924382
128,0.1469613752,0.06278122876,0.07325337842,0.1241823415,0,0,0.1658032559,0.07047858462,0.08223842256,0.04210034383,0.0003667526459,0.0007681454841,2.139867749
129,0.1572876277,0.06675163929,0.07737035104,0.149627052,0,0,0.1643315846,0.06329176747,0.08910991939,0.03187784287,0.0003530836431,0.000764824911,2.159581215
130,0.144602959,0.05936854519,0.0745589415,0.1213264202,0,0,0.1824221531,0.07745325938,0.09477441586,0.02655481679,0.0002933359751,0.0007614880331,2.157306709
131,0.141070351,0.05937195713,0.07282544887,0.1008407431,0,0,0.1672453938,0.07193502096,0.08134984282,0.04087762457,0.0003657794651,0.0007581350562,2.14636765
132,0.1894218781,0.07859402436,0.09747462118,0.1517590585,0,0,0.2421067575,0.1081230824,0.1138429917,0.04128998522,0.0007339868508,0.0007547661872,2.133092907
133,0.159526747,0.06473160249,0.08211308818,0.1441311647,0,0,0.1790637202,0.08224528111,0.08209931535,0.05231168848,0.0003151435079,0.0007513816338,2.14216483
134,0.1416055239,0.05989383663,0.07150135992,0.1160400246,0,0,0.1743694601,0.07583340888,0.08172875299,0.04495201061,0.0004869067343,0.0007479816049,2.145851328
135,0.1514545198,0.06515121059,0.0761328053,0.1155874319,0,0,0.2015324648,0.09355117896,0.09584777057,0.03228560927,0.0003380372329,0.0007445663101,2.131211564
136,0.1373635705,0.05811620017,0.06927526069,0.1133326933,0,0,0.1719105759,0.07404879079,0.08711559841,0.03048643981,0.0003062813543,0.0007411359602,2.135029463
137,0.1311768663,0.0547684828,0.06677415953,0.1094926386,0,0,0.1743673103,0.07969193963,0.08332766478,0.0285384215,0.0003289986774,0.0007376907667,2.1325174
138,0.1458494984,0.06274086724,0.07401096534,0.1033946999,0,0,0.1998898255,0.09361303311,0.09042840422,0.04155478537,0.0004501040466,0.0007342309422,2.129816939
