epoch,train_loss,train_p_rel_l2,train_tau_rel_l2,train_head,train_force,train_sym,val_loss,val_p_rel_l2,val_tau_rel_l2,val_cl_mae,val_cd_mae,lr,epoch_time_s
0,1.882659626,0.8884800375,0.9056685448,1.478184211,0,0,1.812009788,0.861458993,0.857191062,0.4820433982,0.003758834815,0.001,2.271654145
1,1.720158827,0.8435399473,0.7973127365,1.324457085,0,0,1.644160604,0.8096277833,0.7657099009,0.327573631,0.003023817134,0.0009999845942,0.828927043
2,1.557194901,0.7592054367,0.7465242624,0.8594978094,0,0,1.471317649,0.708071816,0.7130695343,0.2237760194,0.002341528889,0.0009999383779,0.835227445
3,1.366020131,0.6339729577,0.6856099606,0.775528127,0,0,1.501320529,0.7329586625,0.7214530468,0.1898415884,0.002365303924,0.0009998613539,0.831241622
4,1.263496447,0.5703044266,0.6411596656,0.8689694583,0,0,1.44053328,0.7144892454,0.6639249682,0.316983993,0.002535204613,0.0009997535269,0.833026552
5,1.202287984,0.5634120107,0.585663408,0.8886798024,0,0,1.130054021,0.5036187649,0.579356432,0.1832189458,0.002440426708,0.0009996149036,0.837944365
6,1.148072743,0.5291420281,0.5774274528,0.6931279659,0,0,1.098329687,0.4964890003,0.5582957864,0.1902828006,0.002067737409,0.0009994454925,0.8377896
7,1.039997566,0.4656339943,0.5319917142,0.7076337278,0,0,1.097604156,0.5015961289,0.5519582689,0.1827650296,0.002180230548,0.0009992453042,0.834027655
8,1.061347556,0.4560434937,0.5630578279,0.7055363297,0,0,1.16786418,0.4894120514,0.6288506448,0.2005756391,0.002502568997,0.0009990143508,0.84299068
9,1.096743006,0.4732913345,0.5780589104,0.7580848038,0,0,1.297286344,0.6051215529,0.6480949402,0.1748628953,0.002253920236,0.0009987526468,0.841919006
10,1.06495207,0.491010657,0.5324229777,0.6933812082,0,0,0.9853071809,0.456144923,0.4827845156,0.1886539102,0.002329773549,0.0009984602082,0.839373119
11,0.977220577,0.4395356208,0.4960454375,0.6954037428,0,0,0.9352171302,0.4213695288,0.4739129901,0.183048828,0.001818537549,0.0009981370531,0.837175122
12,0.9496554852,0.4373256236,0.473723498,0.6447482884,0,0,0.9630591393,0.4462517381,0.47517187,0.1976430623,0.001834114944,0.0009977832013,0.850472834
