epoch,train_loss,train_p_rel_l2,train_tau_rel_l2,train_head,train_force,train_sym,val_loss,val_p_rel_l2,val_tau_rel_l2,val_cl_mae,val_cd_mae,lr,epoch_time_s
0,1.754231982,0.8068637729,0.836556325,1.372718089,0,0,1.58892858,0.7532115945,0.7493105714,0.2449015492,0.003198955721,0.001,4.347988166
1,1.456188622,0.6741887426,0.708371985,0.9120890737,0,0,1.444160874,0.6937218675,0.6745131612,0.2156049058,0.00282750005,0.0009999845942,1.9463665
2,1.282094083,0.5821962357,0.6233645654,0.9480805373,0,0,1.200658665,0.5288846951,0.5863175759,0.2703026732,0.002925912526,0.0009999383779,1.95167593
3,1.143363776,0.5034510851,0.5627134538,0.9563301849,0,0,1.019264904,0.43237315,0.5108236074,0.2326337157,0.002697089008,0.0009998613539,1.962332588
4,1.017626953,0.4289734578,0.5229013741,0.8145253515,0,0,0.9413158527,0.3934388413,0.4712089759,0.2314190071,0.002605522636,0.0009997535269,1.97593228
5,1.02608264,0.4439894927,0.5194244063,0.7763290119,0,0,0.9717665911,0.4059371948,0.4939782574,0.21139381,0.002648953192,0.0009996149036,1.986841204
6,1.028698292,0.4462154579,0.525115478,0.7106565332,0,0,0.8353420588,0.3390664229,0.4295293093,0.2029559602,0.002405174899,0.0009994454925,2.005034456
7,0.8793337297,0.3847716904,0.4423759365,0.6464720356,0,0,0.8885617577,0.3892468638,0.4347966955,0.2075543173,0.002205606764,0.0009992453042,2.010466136
8,0.7136056805,0.2883493853,0.3754379714,0.6171404684,0,0,0.8088765374,0.3704901452,0.378851565,0.2129012667,0.001734960886,0.0009990143508,2.019878987
9,0.7713859153,0.3342836148,0.3864976859,0.6268809104,0,0,0.7402102535,0.3248655395,0.3464148641,0.2383661958,0.002280490844,0.0009987526468,2.0298567
10,0.7069379544,0.2997489196,0.357551353,0.6149027252,0,0,0.7338511302,0.3087667112,0.3743519623,0.1788771493,0.001497226249,0.0009984602082,2.04251907
11,0.7448792124,0.3157154351,0.3758425105,0.6605342972,0,0,0.8229395747,0.3574925248,0.4143314797,0.1686268914,0.001584769231,0.0009981370531,2.051923282
12,0.6849934936,0.2920807385,0.3424113631,0.6256021237,0,0,0.7238877691,0.3300697953,0.3413589597,0.1843953269,0.001645325892,0.0009977832013,2.057600213
13,0.6146933043,0.2508922946,0.3203581703,0.5381620026,0,0,0.8773150536,0.3760676109,0.4442979006,0.1718508098,0.00208483327,0.0009973986748,2.051135354
14,0.6288162208,0.2676510197,0.3212188584,0.4948481953,0,0,0.6424998343,0.2696347454,0.3172414544,0.1664401038,0.001973837704,0.0009969834972,2.048506748
15,0.5076406682,0.202982226,0.2577556187,0.581023798,0,0,0.6642532991,0.2924835258,0.3126259263,0.1937935385,0.001840670066,0.0009965376942,2.05880491
16,0.5684840024,0.2419220883,0.2819931656,0.5521095359,0,0,0.4645254704,0.1789847406,0.2395797039,0.162065404,0.001314819591,0.0009960612933,2.04589275
17,0.5501012599,0.2314825404,0.2729233128,0.566066649,0,0,0.5627373457,0.239627759,0.2731282791,0.1463123131,0.001855288019,0.0009955543238,2.034308859
18,0.5289633548,0.2289478141,0.2577223289,0.5239207828,0,0,0.4877116864,0.2112990543,0.2380126027,0.1069540334,0.001422324598,0.000995016817,2.029092246
19,0.4761347163,0.1986764288,0.2418189275,0.4414940524,0,0,0.4967419964,0.2174752504,0.2464195971,0.1043146953,0.001128040463,0.0009944488061,2.026104298
20,0.4971134102,0.2090435326,0.2500863403,0.4705332446,0,0,0.4508057076,0.1826074857,0.2200326862,0.1449312181,0.001737611159,0.0009938503261,2.004123165
21,0.4859301209,0.2086344081,0.2469247001,0.3762306583,0,0,0.4968884794,0.2262866635,0.2366228276,0.1179105357,0.001066499794,0.000993221414,2.001945219
22,0.4212791169,0.1801547354,0.2143620694,0.3315267664,0,0,0.4852962196,0.2078134406,0.2422132607,0.1233576461,0.001059981933,0.0009925621084,1.998010661
23,0.4601688373,0.195613164,0.2321110445,0.4019182223,0,0,0.4973202279,0.2072267131,0.2563160566,0.124695604,0.001023712506,0.0009918724502,1.99686135
24,0.5427056015,0.225887413,0.2804366016,0.4506884867,0,0,0.6171942399,0.197791448,0.3313176024,0.2802790278,0.003013290992,0.0009911524817,1.992927436
25,0.4841518676,0.1911432657,0.2519575649,0.5085329103,0,0,0.4672921942,0.1993075105,0.2372891364,0.082281166,0.001099026643,0.0009904022476,1.982045109
26,0.4958847773,0.2181665501,0.2453107679,0.4014578259,0,0,0.6182832672,0.2864712832,0.2927173651,0.1288053815,0.001288300589,0.0009896217939,1.976266493
27,0.4627967596,0.2023205164,0.2323397291,0.3485501474,0,0,0.4819640884,0.2069534361,0.2288384048,0.1632454222,0.001325541005,0.0009888111689,1.967827624
28,0.4035566431,0.1706660816,0.2013575,0.3906259382,0,0,0.3834630847,0.1573708986,0.1944602258,0.08983091136,0.001143930413,0.0009879704226,1.961448867
29,0.4337543678,0.1849783772,0.2217539388,0.3347443777,0,0,0.4258084481,0.1652189275,0.2245821735,0.12294315,0.001057004889,0.0009870996068,1.972230251
30,0.384073447,0.1598138174,0.1961180586,0.3486127275,0,0,0.4768170348,0.2146234879,0.2263421542,0.09841087685,0.001364052229,0.0009861987752,1.971912465
31,0.4942426932,0.2175866395,0.2469174957,0.3683959675,0,0,0.4793871251,0.2008398852,0.2434383585,0.09765443289,0.001342181055,0.0009852679835,1.966379453
32,0.385164305,0.1617044318,0.1988704413,0.3046094638,0,0,0.3533976605,0.1274450714,0.1867787036,0.1124733724,0.001346798846,0.000984307289,1.96125893
33,0.4201117349,0.1816490993,0.2146498436,0.2949885672,0,0,0.4249801773,0.1959455976,0.2005065909,0.08387710234,0.001052421731,0.000983316751,1.95696871
34,0.3876313531,0.1662765598,0.1944675469,0.3330744028,0,0,0.377001877,0.1686186338,0.1820260229,0.07146116015,0.0009450657265,0.0009822964305,1.961261767
35,0.3442108274,0.1425907657,0.1736779016,0.3461425006,0,0,0.3800513848,0.1599648784,0.1834178613,0.1297613351,0.001148536545,0.0009812463906,1.967676277
36,0.3622337842,0.150561856,0.1896316206,0.2730313802,0,0,0.3977049199,0.1653156991,0.2025023733,0.07999143765,0.001087143841,0.000980166696,1.967606845
37,0.3841011727,0.1687581709,0.1872864771,0.3475592017,0,0,0.3742206578,0.1662973968,0.1786192678,0.1140843063,0.0008034728971,0.0009790574133,1.968791811
38,0.3401926488,0.1471874511,0.1689328086,0.2982044727,0,0,0.3640612547,0.1452644765,0.190406193,0.07609515257,0.001108975421,0.0009779186109,1.957992782
39,0.3291267526,0.1388264424,0.1690295798,0.2634979707,0,0,0.3050419184,0.1170846212,0.1578015954,0.09717941638,0.001058839333,0.0009767503591,1.975441784
40,0.3242809975,0.1394138157,0.1651780203,0.2439057672,0,0,0.3375633359,0.150606991,0.1593156847,0.103499148,0.0007439508074,0.0009755527299,1.972674552
41,0.3497309953,0.1449045727,0.1759234565,0.3580447686,0,0,0.3280065575,0.1253638227,0.1677723773,0.09887660188,0.001246060012,0.0009743257972,1.976256802
42,0.4048475349,0.1716951665,0.2026851237,0.3774228019,0,0,0.3646990313,0.1596893611,0.1743887227,0.08489338081,0.001140795415,0.0009730696367,1.981129401
43,0.3779845214,0.1599304494,0.192030642,0.322373572,0,0,0.330528633,0.129589188,0.1664499044,0.1298394148,0.001025141716,0.0009717843259,1.98209988
44,0.3368818128,0.1405077985,0.1718820441,0.303402108,0,0,0.468545093,0.2018842926,0.2393874331,0.07305687171,0.001002981042,0.0009704699441,1.984359448
45,0.3683863926,0.1574207598,0.1871207196,0.2953865242,0,0,0.4707847031,0.2095074516,0.2254528885,0.1242826614,0.00114112937,0.0009691265723,1.979185008
46,0.3799108613,0.1682445034,0.1867023426,0.3092497247,0,0,0.429232187,0.1824114472,0.2150501586,0.1019253509,0.001037087168,0.0009677542934,1.986267202
47,0.3130586547,0.1317107104,0.1580650908,0.2884238589,0,0,0.3247915896,0.128951804,0.170638199,0.0608135228,0.0009754527104,0.0009663531921,1.985443413
48,0.2890636009,0.1213396522,0.1475595903,0.2497924119,0,0,0.3572250628,0.143033826,0.1904732791,0.06634278428,0.0008728297864,0.0009649233547,1.993490994
49,0.3261356384,0.1335736239,0.1738696539,0.2315576077,0,0,0.3293043971,0.1365547083,0.1692826622,0.05907565264,0.0008741549349,0.0009634648695,1.994368143
50,0.3199181074,0.1384106848,0.1570457673,0.303026641,0,0,0.3370250681,0.1561245316,0.1530741648,0.06340295327,0.00112233444,0.0009619778265,1.989478124
